Year,Géographie,GeoCode,Type de famille économique,Value
2015,,,,60400.0
2016,,,,60400.0
2017,,,,61900.0
2018,,,,62100.0
2019,,,,62400.0
2020,,,,66800.0
2015,Canada,,Familles économiques,83700.0
2016,Canada,,Familles économiques,84200.0
2017,Canada,,Familles économiques,85700.0
2018,Canada,,Familles économiques,87600.0
2019,Canada,,Familles économiques,87500.0
2020,Canada,,Familles économiques,92400.0
2015,Canada,,Familles de personnes âgées,62400.0
2016,Canada,,Familles de personnes âgées,61900.0
2017,Canada,,Familles de personnes âgées,64300.0
2018,Canada,,Familles de personnes âgées,65000.0
2019,Canada,,Familles de personnes âgées,64100.0
2020,Canada,,Familles de personnes âgées,68500.0
2015,Canada,,Couples de personnes âgées,60900.0
2016,Canada,,Couples de personnes âgées,60800.0
2017,Canada,,Couples de personnes âgées,62500.0
2018,Canada,,Couples de personnes âgées,63000.0
2019,Canada,,Couples de personnes âgées,63000.0
2020,Canada,,Couples de personnes âgées,65900.0
2015,Canada,,Autres familles de personnes âgées,69000.0
2016,Canada,,Autres familles de personnes âgées,67900.0
2017,Canada,,Autres familles de personnes âgées,70700.0
2018,Canada,,Autres familles de personnes âgées,71600.0
2019,Canada,,Autres familles de personnes âgées,67500.0
2020,Canada,,Autres familles de personnes âgées,80000.0
2015,Canada,,Familles de personnes non âgées,89800.0
2016,Canada,,Familles de personnes non âgées,90900.0
2017,Canada,,Familles de personnes non âgées,91900.0
2018,Canada,,Familles de personnes non âgées,94200.0
2019,Canada,,Familles de personnes non âgées,94600.0
2020,Canada,,Familles de personnes non âgées,99600.0
2015,Canada,,Couples,81000.0
2016,Canada,,Couples,81300.0
2017,Canada,,Couples,83100.0
2018,Canada,,Couples,83800.0
2019,Canada,,Couples,81600.0
2020,Canada,,Couples,86900.0
2015,Canada,,Couples avec des enfants,102200.0
2016,Canada,,Couples avec des enfants,101100.0
2017,Canada,,Couples avec des enfants,102300.0
2018,Canada,,Couples avec des enfants,104800.0
2019,Canada,,Couples avec des enfants,105700.0
2020,Canada,,Couples avec des enfants,110700.0
2015,Canada,,Couples avec d'autres personnes apparentées,124200.0
2016,Canada,,Couples avec d'autres personnes apparentées,124600.0
2017,Canada,,Couples avec d'autres personnes apparentées,127000.0
2018,Canada,,Couples avec d'autres personnes apparentées,128500.0
2019,Canada,,Couples avec d'autres personnes apparentées,136100.0
