Year,Géographie,Actifs d'infrastructures publiques essentielles,Type de municipalité par taille de population,GeoCode,Value
2016,Canada,Actifs de transport en commun,Toutes les municipalités,11124,17.12
2016,Canada,Actifs de transport en commun,Toutes les municipalités urbaines,11124,23.66
2016,Canada,Actifs de transport en commun,"Municipalités urbaines, population moins de 5 000",11124,20.0
2016,Canada,Actifs de transport en commun,"Municipalités urbaines, population plus de 5 000 à 30 000",11124,15.0
2016,Canada,Actifs de transport en commun,"Municipalités urbaines, population 30 000 et plus",11124,31.25
2016,Canada,Actifs de transport en commun,Toutes les municipalités rurales,11124,5.66
2016,Canada,Actifs de transport en commun,"Municipalités rurales, population moins de 5 000",11124,0.0
2016,Canada,Actifs de transport en commun,"Municipalités rurales, population 5 000 et plus",11124,13.33
2016,Canada,Actifs relatifs à l'eau potable,Toutes les municipalités,11124,29.45
2016,Canada,Actifs relatifs à l'eau potable,Toutes les municipalités urbaines,11124,32.43
2016,Canada,Actifs relatifs à l'eau potable,"Municipalités urbaines, population moins de 5 000",11124,22.11
2016,Canada,Actifs relatifs à l'eau potable,"Municipalités urbaines, population plus de 5 000 à 30 000",11124,36.05
2016,Canada,Actifs relatifs à l'eau potable,"Municipalités urbaines, population 30 000 et plus",11124,41.67
2016,Canada,Actifs relatifs à l'eau potable,Toutes les municipalités rurales,11124,27.61
2016,Canada,Actifs relatifs à l'eau potable,"Municipalités rurales, population moins de 5 000",11124,26.54
2016,Canada,Actifs relatifs à l'eau potable,"Municipalités rurales, population 5 000 et plus",11124,31.08
2016,Canada,Actifs relatifs aux eaux pluviales,Toutes les municipalités,11124,51.11
2016,Canada,Actifs relatifs aux eaux pluviales,Toutes les municipalités urbaines,11124,59.42
2016,Canada,Actifs relatifs aux eaux pluviales,"Municipalités urbaines, population moins de 5 000",11124,37.91
2016,Canada,Actifs relatifs aux eaux pluviales,"Municipalités urbaines, population plus de 5 000 à 30 000",11124,64.03
2016,Canada,Actifs relatifs aux eaux pluviales,"Municipalités urbaines, population 30 000 et plus",11124,77.18
2016,Canada,Actifs relatifs aux eaux pluviales,Toutes les municipalités rurales,11124,45.44
2016,Canada,Actifs relatifs aux eaux pluviales,"Municipalités rurales, population moins de 5 000",11124,44.87
2016,Canada,Actifs relatifs aux eaux pluviales,"Municipalités rurales, population 5 000 et plus",11124,46.98
2016,Canada,Actifs relatifs aux eaux usées,Toutes les municipalités,11124,35.37
2016,Canada,Actifs relatifs aux eaux usées,Toutes les municipalités urbaines,11124,39.44
2016,Canada,Actifs relatifs aux eaux usées,"Municipalités urbaines, population moins de 5 000",11124,28.21
2016,Canada,Actifs relatifs aux eaux usées,"Municipalités urbaines, population plus de 5 000 à 30 000",11124,42.15
2016,Canada,Actifs relatifs aux eaux usées,"Municipalités urbaines, population 30 000 et plus",11124,50.36
2016,Canada,Actifs relatifs aux eaux usées,Toutes les municipalités rurales,11124,33.02
2016,Canada,Actifs relatifs aux eaux usées,"Municipalités rurales, population moins de 5 000",11124,32.6
2016,Canada,Actifs relatifs aux eaux usées,"Municipalités rurales, population 5 000 et plus",11124,34.08
2016,Canada,Actifs relatifs aux déchets solides,Toutes les municipalités,11124,15.27
2016,Canada,Actifs relatifs aux déchets solides,Toutes les municipalités urbaines,11124,18.18
2016,Canada,Actifs relatifs aux déchets solides,"Municipalités urbaines, population moins de 5 000",11124,11.76
2016,Canada,Actifs relatifs aux déchets solides,"Municipalités urbaines, population plus de 5 000 à 30 000",11124,19.38
2016,Canada,Actifs relatifs aux déchets solides,"Municipalités urbaines, population 30 000 et plus",11124,23.23
2016,Canada,Actifs relatifs aux déchets solides,Toutes les municipalités rurales,11124,13.67
2016,Canada,Actifs relatifs aux déchets solides,"Municipalités rurales, population moins de 5 000",11124,16.1
2016,Canada,Actifs relatifs aux déchets solides,"Municipalités rurales, population 5 000 et plus",11124,6.92
2016,Canada,Routes,Toutes les municipalités,11124,40.06
2016,Canada,Routes,Toutes les municipalités urbaines,11124,38.62
2016,Canada,Routes,"Municipalités urbaines, population moins de 5 000",11124,36.03
2016,Canada,Routes,"Municipalités urbaines, population plus de 5 000 à 30 000",11124,39.62
2016,Canada,Routes,"Municipalités urbaines, population 30 000 et plus",11124,41.61
2016,Canada,Routes,Toutes les municipalités rurales,11124,40.86
2016,Canada,Routes,"Municipalités rurales, population moins de 5 000",11124,40.98
2016,Canada,Routes,"Municipalités rurales, population 5 000 et plus",11124,40.48
2016,Canada,Ponts et tunnels,Toutes les municipalités,11124,28.45
2016,Canada,Ponts et tunnels,Toutes les municipalités urbaines,11124,32.22
2016,Canada,Ponts et tunnels,"Municipalités urbaines, population moins de 5 000",11124,30.28
2016,Canada,Ponts et tunnels,"Municipalités urbaines, population plus de 5 000 à 30 000",11124,26.47
2016,Canada,Ponts et tunnels,"Municipalités urbaines, population 30 000 et plus",11124,41.43
2016,Canada,Ponts et tunnels,Toutes les municipalités rurales,11124,25.95
2016,Canada,Ponts et tunnels,"Municipalités rurales, population moins de 5 000",11124,26.93
2016,Canada,Ponts et tunnels,"Municipalités rurales, population 5 000 et plus",11124,23.03
2016,Canada,Logement social et abordable,Toutes les municipalités,11124,13.7
2016,Canada,Logement social et abordable,Toutes les municipalités urbaines,11124,17.5
2016,Canada,Logement social et abordable,"Municipalités urbaines, population moins de 5 000",11124,0.0
2016,Canada,Logement social et abordable,"Municipalités urbaines, population plus de 5 000 à 30 000",11124,20.0
2016,Canada,Logement social et abordable,"Municipalités urbaines, population 30 000 et plus",11124,19.35
2016,Canada,Logement social et abordable,Toutes les municipalités rurales,11124,9.09
2016,Canada,Logement social et abordable,"Municipalités rurales, population moins de 5 000",11124,13.64
2016,Canada,Logement social et abordable,"Municipalités rurales, population 5 000 et plus",11124,0.0
2016,Canada,"Installations culturelles, sportives et de loisirs",Toutes les municipalités,11124,22.03
2016,Canada,"Installations culturelles, sportives et de loisirs",Toutes les municipalités urbaines,11124,20.63
2016,Canada,"Installations culturelles, sportives et de loisirs","Municipalités urbaines, population moins de 5 000",11124,16.38
