Year,data.Geography,data.Index,GeoCode,Value
2015,,,,70.39
2016,,,,72.01
2017,,,,73.6
2018,,,,75.61
2019,,,,79.75
2020,,,,73.96
2021,,,,74.9
2022,,,,78.1
2015,data.Canada,data.Violent crime severity index,,75.34
2015,data.Canada,data.Youth crime severity index,,60.42
2015,data.Canada,data.Youth violent crime severity index,,66.39
2015,data.Newfoundland and Labrador,data.Crime severity index,10,65.78
2015,data.Newfoundland and Labrador,data.Violent crime severity index,10,67.02
2015,data.Newfoundland and Labrador,data.Youth crime severity index,10,59.62
2015,data.Newfoundland and Labrador,data.Youth violent crime severity index,10,50.24
2015,data.Prince Edward Island,data.Crime severity index,11,50.63
2015,data.Prince Edward Island,data.Violent crime severity index,11,42.16
2015,data.Prince Edward Island,data.Youth crime severity index,11,34.64
2015,data.Prince Edward Island,data.Youth violent crime severity index,11,30.44
2015,data.Nova Scotia,data.Crime severity index,12,63.26
2015,data.Nova Scotia,data.Violent crime severity index,12,70.93
2015,data.Nova Scotia,data.Youth crime severity index,12,71.34
2015,data.Nova Scotia,data.Youth violent crime severity index,12,67.34
2015,data.New Brunswick,data.Crime severity index,13,62.41
2015,data.New Brunswick,data.Violent crime severity index,13,59.82
2015,data.New Brunswick,data.Youth crime severity index,13,56.92
2015,data.New Brunswick,data.Youth violent crime severity index,13,51.15
2015,data.Quebec,data.Crime severity index,24,56.95
2015,data.Quebec,data.Violent crime severity index,24,66.47
2015,data.Quebec,data.Youth crime severity index,24,53.71
2015,data.Quebec,data.Youth violent crime severity index,24,63.82
2015,data.Ontario,data.Crime severity index,35,51.05
2015,data.Ontario,data.Violent crime severity index,35,59.98
2015,data.Ontario,data.Youth crime severity index,35,49.7
2015,data.Ontario,data.Youth violent crime severity index,35,59.44
2015,data.Manitoba,data.Crime severity index,46,106.29
2015,data.Manitoba,data.Violent crime severity index,46,138.63
2015,data.Manitoba,data.Youth crime severity index,46,117.93
2015,data.Manitoba,data.Youth violent crime severity index,46,125.78
2015,data.Saskatchewan,data.Crime severity index,47,138.33
2015,data.Saskatchewan,data.Violent crime severity index,47,137.64
2015,data.Saskatchewan,data.Youth crime severity index,47,186.74
2015,data.Saskatchewan,data.Youth violent crime severity index,47,173.02
2015,data.Alberta,data.Crime severity index,48,104.49
2015,data.Alberta,data.Violent crime severity index,48,98.9
2015,data.Alberta,data.Youth crime severity index,48,65.04
2015,data.Alberta,data.Youth violent crime severity index,48,70.86
2015,data.British Columbia,data.Crime severity index,59,92.65
2015,data.British Columbia,data.Violent crime severity index,59,81.55
2015,data.British Columbia,data.Youth crime severity index,59,38.85
2015,data.British Columbia,data.Youth violent crime severity index,59,40.16
2015,data.Yukon,data.Crime severity index,60,182.97
2015,data.Yukon,data.Violent crime severity index,60,209.02
2015,data.Yukon,data.Youth crime severity index,60,266.12
2015,data.Yukon,data.Youth violent crime severity index,60,161.22
2015,data.Northwest Territories,data.Crime severity index,61,321.91
