Year,Institutions,Caractéristiques,Niveau de confiance,Value
2019,,,,41
2019,Police,Population totale,Une certaine confiance,49
2019,Police,Population totale,Très peu confiance ou aucune confiance,9
2019,Police,Homme,Une grande confiance,41
2019,Police,Homme,Une certaine confiance,49
2019,Police,Homme,Très peu confiance ou aucune confiance,10
2019,Police,Femme,Une grande confiance,42
2019,Police,Femme,Une certaine confiance,49
2019,Police,Femme,Très peu confiance ou aucune confiance,9
2019,Police,Autochtone,Une grande confiance,27
2019,Police,Autochtone,Une certaine confiance,55
2019,Police,Autochtone,Très peu confiance ou aucune confiance,16
2019,Police,Personne non autochtone,Une grande confiance,42
2019,Police,Personne non autochtone,Une certaine confiance,49
2019,Police,Personne non autochtone,Très peu confiance ou aucune confiance,9
2019,Police,Minorité visible,Une grande confiance,35
2019,Police,Minorité visible,Une certaine confiance,52
2019,Police,Minorité visible,Très peu confiance ou aucune confiance,13
2019,Police,N’appartenant pas à une minorité visible,Une grande confiance,44
2019,Police,N’appartenant pas à une minorité visible,Une certaine confiance,48
2019,Police,N’appartenant pas à une minorité visible,Très peu confiance ou aucune confiance,8
