Year,Geography,Type of materials diverted,Sources of materials prepared for recycling,GeoCode,Value
2018,Newfoundland and Labrador,Tires,All sources of diverted materials,10,11.28129995
2018,Newfoundland and Labrador,Tires,Residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Tires,Non-residential sources of diverted materials,10,
2018,Newfoundland and Labrador,"data.Construction, renovation and demolition",All sources of diverted materials,10,0.0
2018,Newfoundland and Labrador,"data.Construction, renovation and demolition",Residential sources of diverted materials,10,0.0
2018,Newfoundland and Labrador,"data.Construction, renovation and demolition",Non-residential sources of diverted materials,10,0.0
2018,Newfoundland and Labrador,Organics,All sources of diverted materials,10,1.721972753
2018,Newfoundland and Labrador,Organics,Residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Organics,Non-residential sources of diverted materials,10,
2018,Newfoundland and Labrador,Other materials,All sources of diverted materials,10,0.0
2018,Newfoundland and Labrador,Other materials,Residential sources of diverted materials,10,0.0
2018,Newfoundland and Labrador,Other materials,Non-residential sources of diverted materials,10,0.0
2018,Prince Edward Island,All materials diverted,All sources of diverted materials,11,370.250854
2018,Prince Edward Island,All materials diverted,Residential sources of diverted materials,11,
2018,Prince Edward Island,All materials diverted,Non-residential sources of diverted materials,11,
2018,Prince Edward Island,All paper fibres,All sources of diverted materials,11,79.62397976
2018,Prince Edward Island,All paper fibres,Residential sources of diverted materials,11,30.25502621
2018,Prince Edward Island,All paper fibres,Non-residential sources of diverted materials,11,49.36895356
2018,Prince Edward Island,Glass,All sources of diverted materials,11,1.74711205
2018,Prince Edward Island,Glass,Residential sources of diverted materials,11,0.664945631
2018,Prince Edward Island,Glass,Non-residential sources of diverted materials,11,1.082166419
2018,Prince Edward Island,Ferrous metals,All sources of diverted materials,11,61.03809747
2018,Prince Edward Island,Ferrous metals,Residential sources of diverted materials,11,23.19486818
2018,Prince Edward Island,Ferrous metals,Non-residential sources of diverted materials,11,37.84322929
2018,Prince Edward Island,Copper and aluminum,All sources of diverted materials,11,10.59349657
2018,Prince Edward Island,Copper and aluminum,Residential sources of diverted materials,11,4.393856424
2018,Prince Edward Island,Copper and aluminum,Non-residential sources of diverted materials,11,6.199640147
2018,Prince Edward Island,Mixed metals,All sources of diverted materials,11,13.06422593
2018,Prince Edward Island,Mixed metals,Residential sources of diverted materials,11,4.967535007
2018,Prince Edward Island,Mixed metals,Non-residential sources of diverted materials,11,8.096690918
2018,Prince Edward Island,White goods,All sources of diverted materials,11,44.26451798
2018,Prince Edward Island,White goods,Residential sources of diverted materials,11,16.81921302
2018,Prince Edward Island,White goods,Non-residential sources of diverted materials,11,27.44530496
2018,Prince Edward Island,Electronics,All sources of diverted materials,11,2.985736264
2018,Prince Edward Island,Electronics,Residential sources of diverted materials,11,
2018,Prince Edward Island,Electronics,Non-residential sources of diverted materials,11,
2018,Prince Edward Island,Plastics,All sources of diverted materials,11,6.121411249
2018,Prince Edward Island,Plastics,Residential sources of diverted materials,11,2.327309708
2018,Prince Edward Island,Plastics,Non-residential sources of diverted materials,11,3.794101541
2018,Prince Edward Island,Gable top and aseptic containers,All sources of diverted materials,11,0.0
2018,Prince Edward Island,Gable top and aseptic containers,Residential sources of diverted materials,11,0.0
2018,Prince Edward Island,Gable top and aseptic containers,Non-residential sources of diverted materials,11,0.0
2018,Prince Edward Island,Textiles,All sources of diverted materials,11,0.0
2018,Prince Edward Island,Textiles,Residential sources of diverted materials,11,0.0
2018,Prince Edward Island,Textiles,Non-residential sources of diverted materials,11,0.0
2018,Prince Edward Island,Tires,All sources of diverted materials,11,15.34590211
2018,Prince Edward Island,Tires,Residential sources of diverted materials,11,
2018,Prince Edward Island,Tires,Non-residential sources of diverted materials,11,
2018,Prince Edward Island,"data.Construction, renovation and demolition",All sources of diverted materials,11,0.0
2018,Prince Edward Island,"data.Construction, renovation and demolition",Residential sources of diverted materials,11,0.0
2018,Prince Edward Island,"data.Construction, renovation and demolition",Non-residential sources of diverted materials,11,0.0
2018,Prince Edward Island,Organics,All sources of diverted materials,11,133.2824845
2018,Prince Edward Island,Organics,Residential sources of diverted materials,11,105.0614097
2018,Prince Edward Island,Organics,Non-residential sources of diverted materials,11,28.22107487
2018,Prince Edward Island,Other materials,All sources of diverted materials,11,2.183890062
2018,Prince Edward Island,Other materials,Residential sources of diverted materials,11,0.827922501
2018,Prince Edward Island,Other materials,Non-residential sources of diverted materials,11,1.355967561
2018,Nova Scotia,All materials diverted,All sources of diverted materials,12,330.4319881
2018,Nova Scotia,All materials diverted,Residential sources of diverted materials,12,
2018,Nova Scotia,All materials diverted,Non-residential sources of diverted materials,12,
2018,Nova Scotia,All paper fibres,All sources of diverted materials,12,76.65018792
2018,Nova Scotia,All paper fibres,Residential sources of diverted materials,12,41.59928047
2018,Nova Scotia,All paper fibres,Non-residential sources of diverted materials,12,35.05090744
2018,Nova Scotia,Glass,All sources of diverted materials,12,4.365582018
2018,Nova Scotia,Glass,Residential sources of diverted materials,12,
2018,Nova Scotia,Glass,Non-residential sources of diverted materials,12,
2018,Nova Scotia,Ferrous metals,All sources of diverted materials,12,5.776257661
2018,Nova Scotia,Ferrous metals,Residential sources of diverted materials,12,5.35055081
2018,Nova Scotia,Ferrous metals,Non-residential sources of diverted materials,12,0.425706851
2018,Nova Scotia,Copper and aluminum,All sources of diverted materials,12,0.474746611
2018,Nova Scotia,Copper and aluminum,Residential sources of diverted materials,12,0.442401237
2018,Nova Scotia,Copper and aluminum,Non-residential sources of diverted materials,12,0.032345373
2018,Nova Scotia,Mixed metals,All sources of diverted materials,12,
2018,Nova Scotia,Mixed metals,Residential sources of diverted materials,12,
2018,Nova Scotia,Mixed metals,Non-residential sources of diverted materials,12,
2018,Nova Scotia,White goods,All sources of diverted materials,12,1.143565462
2018,Nova Scotia,White goods,Residential sources of diverted materials,12,
2018,Nova Scotia,White goods,Non-residential sources of diverted materials,12,
2018,Nova Scotia,Electronics,All sources of diverted materials,12,3.306531887
2018,Nova Scotia,Electronics,Residential sources of diverted materials,12,
2018,Nova Scotia,Electronics,Non-residential sources of diverted materials,12,
2018,Nova Scotia,Plastics,All sources of diverted materials,12,15.67289854
2018,Nova Scotia,Plastics,Residential sources of diverted materials,12,11.19045582
2018,Nova Scotia,Plastics,Non-residential sources of diverted materials,12,4.482442723
2018,Nova Scotia,Gable top and aseptic containers,All sources of diverted materials,12,1.099742698
2018,Nova Scotia,Gable top and aseptic containers,Residential sources of diverted materials,12,1.014183968
2018,Nova Scotia,Gable top and aseptic containers,Non-residential sources of diverted materials,12,0.08555873
2018,Nova Scotia,Textiles,All sources of diverted materials,12,
2018,Nova Scotia,Textiles,Residential sources of diverted materials,12,
2018,Nova Scotia,Textiles,Non-residential sources of diverted materials,12,
2018,Nova Scotia,Tires,All sources of diverted materials,12,14.89139258
2018,Nova Scotia,Tires,Residential sources of diverted materials,12,
2018,Nova Scotia,Tires,Non-residential sources of diverted materials,12,
2018,Nova Scotia,"data.Construction, renovation and demolition",All sources of diverted materials,12,51.74633715
2018,Nova Scotia,"data.Construction, renovation and demolition",Residential sources of diverted materials,12,5.484105901
2018,Nova Scotia,"data.Construction, renovation and demolition",Non-residential sources of diverted materials,12,46.26327465
2018,Nova Scotia,Organics,All sources of diverted materials,12,154.7861762
2018,Nova Scotia,Organics,Residential sources of diverted materials,12,101.4131798
2018,Nova Scotia,Organics,Non-residential sources of diverted materials,12,53.37299641
2018,Nova Scotia,Other materials,All sources of diverted materials,12,
2018,Nova Scotia,Other materials,Residential sources of diverted materials,12,
2018,Nova Scotia,Other materials,Non-residential sources of diverted materials,12,
2018,New Brunswick,All materials diverted,All sources of diverted materials,13,212.5662566
2018,New Brunswick,All materials diverted,Residential sources of diverted materials,13,
2018,New Brunswick,All materials diverted,Non-residential sources of diverted materials,13,
2018,New Brunswick,All paper fibres,All sources of diverted materials,13,36.5052103
2018,New Brunswick,All paper fibres,Residential sources of diverted materials,13,21.3734631
2018,New Brunswick,All paper fibres,Non-residential sources of diverted materials,13,15.1317472
2018,New Brunswick,Glass,All sources of diverted materials,13,5.717245596
2018,New Brunswick,Glass,Residential sources of diverted materials,13,2.881990287
2018,New Brunswick,Glass,Non-residential sources of diverted materials,13,2.835255309
2018,New Brunswick,Ferrous metals,All sources of diverted materials,13,1.971956417
2018,New Brunswick,Ferrous metals,Residential sources of diverted materials,13,1.429311399
2018,New Brunswick,Ferrous metals,Non-residential sources of diverted materials,13,0.542645018
2018,New Brunswick,Copper and aluminum,All sources of diverted materials,13,2.802800464
2018,New Brunswick,Copper and aluminum,Residential sources of diverted materials,13,2.610667778
2018,New Brunswick,Copper and aluminum,Non-residential sources of diverted materials,13,0.192132686
2018,New Brunswick,Mixed metals,All sources of diverted materials,13,0.802283783
2018,New Brunswick,Mixed metals,Residential sources of diverted materials,13,
2018,New Brunswick,Mixed metals,Non-residential sources of diverted materials,13,
2018,New Brunswick,White goods,All sources of diverted materials,13,0.173957972
2018,New Brunswick,White goods,Residential sources of diverted materials,13,
2018,New Brunswick,White goods,Non-residential sources of diverted materials,13,
2018,New Brunswick,Electronics,All sources of diverted materials,13,1.117744882
2018,New Brunswick,Electronics,Residential sources of diverted materials,13,
2018,New Brunswick,Electronics,Non-residential sources of diverted materials,13,
2018,New Brunswick,Plastics,All sources of diverted materials,13,7.110207568
2018,New Brunswick,Plastics,Residential sources of diverted materials,13,4.067241247
2018,New Brunswick,Plastics,Non-residential sources of diverted materials,13,3.042966321
2018,New Brunswick,Gable top and aseptic containers,All sources of diverted materials,13,0.614045678
2018,New Brunswick,Gable top and aseptic containers,Residential sources of diverted materials,13,
2018,New Brunswick,Gable top and aseptic containers,Non-residential sources of diverted materials,13,
2018,New Brunswick,Textiles,All sources of diverted materials,13,0.0
2018,New Brunswick,Textiles,Residential sources of diverted materials,13,0.0
2018,New Brunswick,Textiles,Non-residential sources of diverted materials,13,0.0
2018,New Brunswick,Tires,All sources of diverted materials,13,14.07891201
2018,New Brunswick,Tires,Residential sources of diverted materials,13,
2018,New Brunswick,Tires,Non-residential sources of diverted materials,13,
2018,New Brunswick,"data.Construction, renovation and demolition",All sources of diverted materials,13,14.04126439
2018,New Brunswick,"data.Construction, renovation and demolition",Residential sources of diverted materials,13,0.830844047
2018,New Brunswick,"data.Construction, renovation and demolition",Non-residential sources of diverted materials,13,13.21042034
2018,New Brunswick,Organics,All sources of diverted materials,13,122.3690479
2018,New Brunswick,Organics,Residential sources of diverted materials,13,
2018,New Brunswick,Organics,Non-residential sources of diverted materials,13,
2018,New Brunswick,Other materials,All sources of diverted materials,13,5.261579564
2018,New Brunswick,Other materials,Residential sources of diverted materials,13,4.789037013
2018,New Brunswick,Other materials,Non-residential sources of diverted materials,13,0.472542552
2018,Quebec,All materials diverted,All sources of diverted materials,24,298.9552876
2018,Quebec,All materials diverted,Residential sources of diverted materials,24,
2018,Quebec,All materials diverted,Non-residential sources of diverted materials,24,
2018,Quebec,All paper fibres,All sources of diverted materials,24,130.9252919
2018,Quebec,All paper fibres,Residential sources of diverted materials,24,62.72511711
2018,Quebec,All paper fibres,Non-residential sources of diverted materials,24,68.20017477
2018,Quebec,Glass,All sources of diverted materials,24,6.911308113
2018,Quebec,Glass,Residential sources of diverted materials,24,5.356034668
2018,Quebec,Glass,Non-residential sources of diverted materials,24,1.555273445
2018,Quebec,Ferrous metals,All sources of diverted materials,24,37.63507027
2018,Quebec,Ferrous metals,Residential sources of diverted materials,24,4.641896712
2018,Quebec,Ferrous metals,Non-residential sources of diverted materials,24,32.99317356
2018,Quebec,Copper and aluminum,All sources of diverted materials,24,6.284414011
2018,Quebec,Copper and aluminum,Residential sources of diverted materials,24,
2018,Quebec,Copper and aluminum,Non-residential sources of diverted materials,24,6.284414011
2018,Quebec,Mixed metals,All sources of diverted materials,24,0.0
2018,Quebec,Mixed metals,Residential sources of diverted materials,24,0.0
2018,Quebec,Mixed metals,Non-residential sources of diverted materials,24,0.0
2018,Quebec,White goods,All sources of diverted materials,24,0.0
2018,Quebec,White goods,Residential sources of diverted materials,24,0.0
2018,Quebec,White goods,Non-residential sources of diverted materials,24,0.0
2018,Quebec,Electronics,All sources of diverted materials,24,2.545544743
2018,Quebec,Electronics,Residential sources of diverted materials,24,
2018,Quebec,Electronics,Non-residential sources of diverted materials,24,
2018,Quebec,Plastics,All sources of diverted materials,24,9.878908388
2018,Quebec,Plastics,Residential sources of diverted materials,24,7.022356565
2018,Quebec,Plastics,Non-residential sources of diverted materials,24,2.856551823
2018,Quebec,Gable top and aseptic containers,All sources of diverted materials,24,0.0
2018,Quebec,Gable top and aseptic containers,Residential sources of diverted materials,24,0.0
2018,Quebec,Gable top and aseptic containers,Non-residential sources of diverted materials,24,0.0
2018,Quebec,Textiles,All sources of diverted materials,24,6.598634711
2018,Quebec,Textiles,Residential sources of diverted materials,24,6.598634711
2018,Quebec,Textiles,Non-residential sources of diverted materials,24,0.0
2018,Quebec,Tires,All sources of diverted materials,24,10.93226187
2018,Quebec,Tires,Residential sources of diverted materials,24,
2018,Quebec,Tires,Non-residential sources of diverted materials,24,
2018,Quebec,"data.Construction, renovation and demolition",All sources of diverted materials,24,35.11178282
2018,Quebec,"data.Construction, renovation and demolition",Residential sources of diverted materials,24,0.0
2018,Quebec,"data.Construction, renovation and demolition",Non-residential sources of diverted materials,24,35.11178282
2018,Quebec,Organics,All sources of diverted materials,24,52.13207077
2018,Quebec,Organics,Residential sources of diverted materials,24,46.06189815
2018,Quebec,Organics,Non-residential sources of diverted materials,24,6.070172624
2018,Quebec,Other materials,All sources of diverted materials,24,0.0
2018,Quebec,Other materials,Residential sources of diverted materials,24,0.0
2018,Quebec,Other materials,Non-residential sources of diverted materials,24,0.0
2018,Ontario,All materials diverted,All sources of diverted materials,35,233.5106404
2018,Ontario,All materials diverted,Residential sources of diverted materials,35,
2018,Ontario,All materials diverted,Non-residential sources of diverted materials,35,
2018,Ontario,All paper fibres,All sources of diverted materials,35,92.16213049
2018,Ontario,All paper fibres,Residential sources of diverted materials,35,40.66967104
2018,Ontario,All paper fibres,Non-residential sources of diverted materials,35,51.49245945
2018,Ontario,Glass,All sources of diverted materials,35,7.977316174
2018,Ontario,Glass,Residential sources of diverted materials,35,5.865383829
2018,Ontario,Glass,Non-residential sources of diverted materials,35,2.111932344
2018,Ontario,Ferrous metals,All sources of diverted materials,35,8.083125948
2018,Ontario,Ferrous metals,Residential sources of diverted materials,35,2.694025878
2018,Ontario,Ferrous metals,Non-residential sources of diverted materials,35,5.38910007
2018,Ontario,Copper and aluminum,All sources of diverted materials,35,1.543956099
2018,Ontario,Copper and aluminum,Residential sources of diverted materials,35,0.828097765
2018,Ontario,Copper and aluminum,Non-residential sources of diverted materials,35,0.715858334
2018,Ontario,Mixed metals,All sources of diverted materials,35,2.753080871
2018,Ontario,Mixed metals,Residential sources of diverted materials,35,1.029304066
2018,Ontario,Mixed metals,Non-residential sources of diverted materials,35,1.723776805
2018,Ontario,White goods,All sources of diverted materials,35,0.797417123
2018,Ontario,White goods,Residential sources of diverted materials,35,0.70278936
2018,Ontario,White goods,Non-residential sources of diverted materials,35,0.094627764
2018,Ontario,Electronics,All sources of diverted materials,35,3.212521727
2018,Ontario,Electronics,Residential sources of diverted materials,35,
2018,Ontario,Electronics,Non-residential sources of diverted materials,35,
2018,Ontario,Plastics,All sources of diverted materials,35,8.779206101
2018,Ontario,Plastics,Residential sources of diverted materials,35,6.874490389
2018,Ontario,Plastics,Non-residential sources of diverted materials,35,1.904715712
2018,Ontario,Gable top and aseptic containers,All sources of diverted materials,35,0.628498877
2018,Ontario,Gable top and aseptic containers,Residential sources of diverted materials,35,0.513394057
2018,Ontario,Gable top and aseptic containers,Non-residential sources of diverted materials,35,0.115104821
2018,Ontario,Textiles,All sources of diverted materials,35,0.084773617
2018,Ontario,Textiles,Residential sources of diverted materials,35,0.084284404
2018,Ontario,Textiles,Non-residential sources of diverted materials,35,0.000489213
2018,Ontario,Tires,All sources of diverted materials,35,14.72558962
2018,Ontario,Tires,Residential sources of diverted materials,35,
2018,Ontario,Tires,Non-residential sources of diverted materials,35,
2018,Ontario,"data.Construction, renovation and demolition",All sources of diverted materials,35,10.92426515
2018,Ontario,"data.Construction, renovation and demolition",Residential sources of diverted materials,35,3.765052821
2018,Ontario,"data.Construction, renovation and demolition",Non-residential sources of diverted materials,35,7.159212331
2018,Ontario,Organics,All sources of diverted materials,35,80.03307359
2018,Ontario,Organics,Residential sources of diverted materials,35,73.59887487
2018,Ontario,Organics,Non-residential sources of diverted materials,35,6.434198725
2018,Ontario,Other materials,All sources of diverted materials,35,1.805685032
2018,Ontario,Other materials,Residential sources of diverted materials,35,1.315493647
2018,Ontario,Other materials,Non-residential sources of diverted materials,35,0.490191385
2018,Manitoba,All materials diverted,All sources of diverted materials,46,163.8770721
2018,Manitoba,All materials diverted,Residential sources of diverted materials,46,
2018,Manitoba,All materials diverted,Non-residential sources of diverted materials,46,
2018,Manitoba,All paper fibres,All sources of diverted materials,46,64.80069484
2018,Manitoba,All paper fibres,Residential sources of diverted materials,46,39.68288581
2018,Manitoba,All paper fibres,Non-residential sources of diverted materials,46,25.11780903
2018,Manitoba,Glass,All sources of diverted materials,46,6.66383309
2018,Manitoba,Glass,Residential sources of diverted materials,46,6.29127936
2018,Manitoba,Glass,Non-residential sources of diverted materials,46,0.37255373
2018,Manitoba,Ferrous metals,All sources of diverted materials,46,
2018,Manitoba,Ferrous metals,Residential sources of diverted materials,46,
2018,Manitoba,Ferrous metals,Non-residential sources of diverted materials,46,
2018,Manitoba,Copper and aluminum,All sources of diverted materials,46,1.90046754
2018,Manitoba,Copper and aluminum,Residential sources of diverted materials,46,1.631400957
2018,Manitoba,Copper and aluminum,Non-residential sources of diverted materials,46,0.269066583
2018,Manitoba,Mixed metals,All sources of diverted materials,46,3.103875224
2018,Manitoba,Mixed metals,Residential sources of diverted materials,46,2.429730379
2018,Manitoba,Mixed metals,Non-residential sources of diverted materials,46,0.674144845
2018,Manitoba,White goods,All sources of diverted materials,46,2.197623492
2018,Manitoba,White goods,Residential sources of diverted materials,46,1.34828969
2018,Manitoba,White goods,Non-residential sources of diverted materials,46,0.849333801
2018,Manitoba,Electronics,All sources of diverted materials,46,2.235322381
2018,Manitoba,Electronics,Residential sources of diverted materials,46,
2018,Manitoba,Electronics,Non-residential sources of diverted materials,46,
2018,Manitoba,Plastics,All sources of diverted materials,46,5.017648255
2018,Manitoba,Plastics,Residential sources of diverted materials,46,4.239277068
2018,Manitoba,Plastics,Non-residential sources of diverted materials,46,0.778371186
2018,Manitoba,Gable top and aseptic containers,All sources of diverted materials,46,
2018,Manitoba,Gable top and aseptic containers,Residential sources of diverted materials,46,
2018,Manitoba,Gable top and aseptic containers,Non-residential sources of diverted materials,46,
2018,Manitoba,Textiles,All sources of diverted materials,46,
2018,Manitoba,Textiles,Residential sources of diverted materials,46,
2018,Manitoba,Textiles,Non-residential sources of diverted materials,46,
2018,Manitoba,Tires,All sources of diverted materials,46,11.83079851
2018,Manitoba,Tires,Residential sources of diverted materials,46,
2018,Manitoba,Tires,Non-residential sources of diverted materials,46,
2018,Manitoba,"data.Construction, renovation and demolition",All sources of diverted materials,46,2.953818861
2018,Manitoba,"data.Construction, renovation and demolition",Residential sources of diverted materials,46,1.910077061
2018,Manitoba,"data.Construction, renovation and demolition",Non-residential sources of diverted materials,46,1.0437418
2018,Manitoba,Organics,All sources of diverted materials,46,41.59591965
2018,Manitoba,Organics,Residential sources of diverted materials,46,31.92800251
2018,Manitoba,Organics,Non-residential sources of diverted materials,46,9.667917136
2018,Manitoba,Other materials,All sources of diverted materials,46,4.606656441
2018,Manitoba,Other materials,Residential sources of diverted materials,46,2.60196256
2018,Manitoba,Other materials,Non-residential sources of diverted materials,46,2.004693881
2018,Saskatchewan,All materials diverted,All sources of diverted materials,47,167.591264
2018,Saskatchewan,All materials diverted,Residential sources of diverted materials,47,
2018,Saskatchewan,All materials diverted,Non-residential sources of diverted materials,47,
2018,Saskatchewan,All paper fibres,All sources of diverted materials,47,49.38942146
2018,Saskatchewan,All paper fibres,Residential sources of diverted materials,47,32.54266992
2018,Saskatchewan,All paper fibres,Non-residential sources of diverted materials,47,16.84675154
2018,Saskatchewan,Glass,All sources of diverted materials,47,
2018,Saskatchewan,Glass,Residential sources of diverted materials,47,
2018,Saskatchewan,Glass,Non-residential sources of diverted materials,47,
2018,Saskatchewan,Ferrous metals,All sources of diverted materials,47,
2018,Saskatchewan,Ferrous metals,Residential sources of diverted materials,47,
2018,Saskatchewan,Ferrous metals,Non-residential sources of diverted materials,47,
2018,Saskatchewan,Copper and aluminum,All sources of diverted materials,47,6.604594553
2018,Saskatchewan,Copper and aluminum,Residential sources of diverted materials,47,5.834216327
2018,Saskatchewan,Copper and aluminum,Non-residential sources of diverted materials,47,0.770378226
2018,Saskatchewan,Mixed metals,All sources of diverted materials,47,1.395288384
2018,Saskatchewan,Mixed metals,Residential sources of diverted materials,47,0.852150216
2018,Saskatchewan,Mixed metals,Non-residential sources of diverted materials,47,0.543138168
2018,Saskatchewan,White goods,All sources of diverted materials,47,1.596705708
2018,Saskatchewan,White goods,Residential sources of diverted materials,47,0.859897036
2018,Saskatchewan,White goods,Non-residential sources of diverted materials,47,0.736808672
2018,Saskatchewan,Electronics,All sources of diverted materials,47,2.017616269
2018,Saskatchewan,Electronics,Residential sources of diverted materials,47,
2018,Saskatchewan,Electronics,Non-residential sources of diverted materials,47,
2018,Saskatchewan,Plastics,All sources of diverted materials,47,9.272943714
2018,Saskatchewan,Plastics,Residential sources of diverted materials,47,8.532692011
2018,Saskatchewan,Plastics,Non-residential sources of diverted materials,47,0.740251703
2018,Saskatchewan,Gable top and aseptic containers,All sources of diverted materials,47,1.623389199
2018,Saskatchewan,Gable top and aseptic containers,Residential sources of diverted materials,47,
2018,Saskatchewan,Gable top and aseptic containers,Non-residential sources of diverted materials,47,
2018,Saskatchewan,Textiles,All sources of diverted materials,47,0.0
2018,Saskatchewan,Textiles,Residential sources of diverted materials,47,0.0
2018,Saskatchewan,Textiles,Non-residential sources of diverted materials,47,0.0
2018,Saskatchewan,Tires,All sources of diverted materials,47,14.68194569
2018,Saskatchewan,Tires,Residential sources of diverted materials,47,
2018,Saskatchewan,Tires,Non-residential sources of diverted materials,47,
