Year,Géographie,Groupe d'âge,Sexe,Value
2016,,,,13.0
2017,,,,12.0
2018,,,,12.0
2019,,,,11.0
2020,,,,14.0
2016,Canada,Total 15 à 29 ans,Hommes,14.0
2017,Canada,Total 15 à 29 ans,Hommes,12.0
2018,Canada,Total 15 à 29 ans,Hommes,12.0
2019,Canada,Total 15 à 29 ans,Hommes,12.0
2020,Canada,Total 15 à 29 ans,Hommes,14.0
2016,Canada,Total 15 à 29 ans,Femmes,12.0
2017,Canada,Total 15 à 29 ans,Femmes,12.0
2018,Canada,Total 15 à 29 ans,Femmes,12.0
2019,Canada,Total 15 à 29 ans,Femmes,11.0
2020,Canada,Total 15 à 29 ans,Femmes,13.0
2016,Canada,15 à 19 ans,Les deux sexes,6.0
2017,Canada,15 à 19 ans,Les deux sexes,6.0
2018,Canada,15 à 19 ans,Les deux sexes,6.0
2019,Canada,15 à 19 ans,Les deux sexes,6.0
2020,Canada,15 à 19 ans,Les deux sexes,9.0
2016,Canada,15 à 19 ans,Hommes,7.0
2017,Canada,15 à 19 ans,Hommes,7.0
2018,Canada,15 à 19 ans,Hommes,7.0
2019,Canada,15 à 19 ans,Hommes,7.0
2020,Canada,15 à 19 ans,Hommes,10.0
2016,Canada,15 à 19 ans,Femmes,5.0
2017,Canada,15 à 19 ans,Femmes,5.0
2018,Canada,15 à 19 ans,Femmes,5.0
2019,Canada,15 à 19 ans,Femmes,5.0
2020,Canada,15 à 19 ans,Femmes,8.0
2016,Canada,15 à 24 ans,Les deux sexes,11.0
2017,Canada,15 à 24 ans,Les deux sexes,10.0
2018,Canada,15 à 24 ans,Les deux sexes,10.0
2019,Canada,15 à 24 ans,Les deux sexes,9.0
2020,Canada,15 à 24 ans,Les deux sexes,12.0
2016,Canada,15 à 24 ans,Hommes,12.0
2017,Canada,15 à 24 ans,Hommes,11.0
2018,Canada,15 à 24 ans,Hommes,11.0
2019,Canada,15 à 24 ans,Hommes,10.0
2020,Canada,15 à 24 ans,Hommes,13.0
2016,Canada,15 à 24 ans,Femmes,9.0
2017,Canada,15 à 24 ans,Femmes,9.0
2018,Canada,15 à 24 ans,Femmes,9.0
2019,Canada,15 à 24 ans,Femmes,8.0
2020,Canada,15 à 24 ans,Femmes,10.0
2016,Canada,18 à 24 ans,Les deux sexes,13.0
2017,Canada,18 à 24 ans,Les deux sexes,12.0
2018,Canada,18 à 24 ans,Les deux sexes,12.0
2019,Canada,18 à 24 ans,Les deux sexes,12.0
2020,Canada,18 à 24 ans,Les deux sexes,13.0
2016,Canada,18 à 24 ans,Hommes,15.0
2017,Canada,18 à 24 ans,Hommes,13.0
2018,Canada,18 à 24 ans,Hommes,14.0
2019,Canada,18 à 24 ans,Hommes,13.0
2020,Canada,18 à 24 ans,Hommes,15.0
2016,Canada,18 à 24 ans,Femmes,11.0
2017,Canada,18 à 24 ans,Femmes,11.0
