Year,Géographie,Type de municipalité,GeoCode,Value
2016,,,,4.1
2018,,,,4.3
2020,,,,4.0
2016,Terre-Neuve-et-Labrador,Toutes les municipalités,10,19.4
2018,Terre-Neuve-et-Labrador,Toutes les municipalités,10,14.1
2020,Terre-Neuve-et-Labrador,Toutes les municipalités,10,18.9
2016,Île-du-Prince-Édouard,Toutes les municipalités,11,0.0
2018,Île-du-Prince-Édouard,Toutes les municipalités,11,0.0
2020,Île-du-Prince-Édouard,Toutes les municipalités,11,0.0
2016,Nouvelle-Écosse,Toutes les municipalités,12,3.3
2018,Nouvelle-Écosse,Toutes les municipalités,12,3.8
2020,Nouvelle-Écosse,Toutes les municipalités,12,3.4
2016,Nouveau-Brunswick,Toutes les municipalités,13,2.0
2018,Nouveau-Brunswick,Toutes les municipalités,13,4.0
2020,Nouveau-Brunswick,Toutes les municipalités,13,4.5
2016,Québec,Toutes les municipalités,24,6.1
2018,Québec,Toutes les municipalités,24,5.1
2020,Québec,Toutes les municipalités,24,3.4
2016,Ontario,Toutes les municipalités,35,1.2
2018,Ontario,Toutes les municipalités,35,0.3
2020,Ontario,Toutes les municipalités,35,0.0
2016,Manitoba,Toutes les municipalités,46,0.0
2018,Manitoba,Toutes les municipalités,46,3.4
2020,Manitoba,Toutes les municipalités,46,5.2
2016,Saskatchewan,Toutes les municipalités,47,5.4
2018,Saskatchewan,Toutes les municipalités,47,2.9
2020,Saskatchewan,Toutes les municipalités,47,2.5
2016,Alberta,Toutes les municipalités,48,0.0
2018,Alberta,Toutes les municipalités,48,0.9
2020,Alberta,Toutes les municipalités,48,0.0
2016,Colombie-Britannique,Toutes les municipalités,59,3.3
2018,Colombie-Britannique,Toutes les municipalités,59,5.0
2020,Colombie-Britannique,Toutes les municipalités,59,2.7
2016,Yukon,Toutes les municipalités,60,
2018,Yukon,Toutes les municipalités,60,0.0
2020,Yukon,Toutes les municipalités,60,0.0
2016,Territoires du Nord-Ouest,Toutes les municipalités,61,
2018,Territoires du Nord-Ouest,Toutes les municipalités,61,0.0
2020,Territoires du Nord-Ouest,Toutes les municipalités,61,
2016,Nunavut,Toutes les municipalités,62,0.0
2018,Nunavut,Toutes les municipalités,62,0.0
2020,Nunavut,Toutes les municipalités,62,0.0
2016,Canada,Toutes les municipalités urbaines,,3.8
2018,Canada,Toutes les municipalités urbaines,,3.3
2020,Canada,Toutes les municipalités urbaines,,1.3
2016,Terre-Neuve-et-Labrador,Toutes les municipalités urbaines,10,19.2
2018,Terre-Neuve-et-Labrador,Toutes les municipalités urbaines,10,13.5
2020,Terre-Neuve-et-Labrador,Toutes les municipalités urbaines,10,
2016,Île-du-Prince-Édouard,Toutes les municipalités urbaines,11,0.0
2018,Île-du-Prince-Édouard,Toutes les municipalités urbaines,11,0.0
2020,Île-du-Prince-Édouard,Toutes les municipalités urbaines,11,0.0
2016,Nouvelle-Écosse,Toutes les municipalités urbaines,12,11.1
2018,Nouvelle-Écosse,Toutes les municipalités urbaines,12,0.0
2020,Nouvelle-Écosse,Toutes les municipalités urbaines,12,0.0
2016,Nouveau-Brunswick,Toutes les municipalités urbaines,13,0.0
2018,Nouveau-Brunswick,Toutes les municipalités urbaines,13,0.0
2020,Nouveau-Brunswick,Toutes les municipalités urbaines,13,0.0
2016,Québec,Toutes les municipalités urbaines,24,3.8
2018,Québec,Toutes les municipalités urbaines,24,1.9
2020,Québec,Toutes les municipalités urbaines,24,1.9
2016,Ontario,Toutes les municipalités urbaines,35,2.8
2018,Ontario,Toutes les municipalités urbaines,35,0.0
2020,Ontario,Toutes les municipalités urbaines,35,0.0
2016,Manitoba,Toutes les municipalités urbaines,46,0.0
2018,Manitoba,Toutes les municipalités urbaines,46,0.0
2020,Manitoba,Toutes les municipalités urbaines,46,
2016,Saskatchewan,Toutes les municipalités urbaines,47,7.7
2018,Saskatchewan,Toutes les municipalités urbaines,47,3.1
2020,Saskatchewan,Toutes les municipalités urbaines,47,0.0
2016,Alberta,Toutes les municipalités urbaines,48,0.0
2018,Alberta,Toutes les municipalités urbaines,48,0.7
2020,Alberta,Toutes les municipalités urbaines,48,0.0
2016,Colombie-Britannique,Toutes les municipalités urbaines,59,1.6
2018,Colombie-Britannique,Toutes les municipalités urbaines,59,8.1
2020,Colombie-Britannique,Toutes les municipalités urbaines,59,2.2
