Year,Géographie,Type de production d'électricité,GeoCode,Value
2015,,,,63.52328797
2016,,,,64.09830392
2017,,,,65.36409266
2018,,,,65.18238494
2019,,,,64.93356971
2020,,,,66.32405648
2015,Canada,Turbine à hydraulique,,59.1074841
2016,Canada,Turbine à hydraulique,,59.05456953
2017,Canada,Turbine à hydraulique,,60.21566896
2018,Canada,Turbine à hydraulique,,59.67967267
2019,Canada,Turbine à hydraulique,,59.44459628
2020,Canada,Turbine à hydraulique,,60.37558937
2015,Canada,Turbine marémotrice,,0.002002102
2016,Canada,Turbine marémotrice,,0.002869582
2017,Canada,Turbine marémotrice,,0.000917987
2018,Canada,Turbine marémotrice,,0.003049224
2019,Canada,Turbine marémotrice,,0.000144656
2020,Canada,Turbine marémotrice,,
2015,Canada,Turbine éolienne,,4.169232998
2016,Canada,Turbine éolienne,,4.73809641
2017,Canada,Turbine éolienne,,4.807755721
2018,Canada,Turbine éolienne,,5.124418227
2019,Canada,Turbine éolienne,,5.117493392
2020,Canada,Turbine éolienne,,5.56542143
2015,Canada,Solaire,,0.222795364
2016,Canada,Solaire,,0.275258806
2017,Canada,Solaire,,0.308488351
2018,Canada,Solaire,,0.342332408
2019,Canada,Solaire,,0.344874484
2020,Canada,Solaire,,0.334272244
2015,Canada,Autres types de production électrique,,0.021773404
2016,Canada,Autres types de production électrique,,0.027509589
2017,Canada,Autres types de production électrique,,0.031261644
2018,Canada,Autres types de production électrique,,0.032912415
2019,Canada,Autres types de production électrique,,0.026460893
2020,Canada,Autres types de production électrique,,0.048773436
2015,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",10,95.4615459
2016,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",10,94.80179589
2017,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",10,94.42260066
2018,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",10,96.33916182
2019,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",10,95.98556697
2020,Terre-Neuve-et-Labrador,"Total, tous les genres de production d'électricité",10,96.22567228
2015,Terre-Neuve-et-Labrador,Turbine à hydraulique,,95.04866261
2016,Terre-Neuve-et-Labrador,Turbine à hydraulique,,94.34778221
2017,Terre-Neuve-et-Labrador,Turbine à hydraulique,,93.94343281
2018,Terre-Neuve-et-Labrador,Turbine à hydraulique,,95.86814193
2019,Terre-Neuve-et-Labrador,Turbine à hydraulique,,95.55943278
2020,Terre-Neuve-et-Labrador,Turbine à hydraulique,,95.78188212
2015,Terre-Neuve-et-Labrador,Turbine éolienne,,0.412883284
2016,Terre-Neuve-et-Labrador,Turbine éolienne,,0.454013674
2017,Terre-Neuve-et-Labrador,Turbine éolienne,,0.47916785
2018,Terre-Neuve-et-Labrador,Turbine éolienne,,0.471019888
2019,Terre-Neuve-et-Labrador,Turbine éolienne,,0.426134188
2020,Terre-Neuve-et-Labrador,Turbine éolienne,,0.443790164
2015,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",11,98.40274576
2016,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",11,98.36069105
2017,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",11,98.54603805
2018,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",11,98.72497301
2019,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",11,99.0452041
2020,Île-du-Prince-Édouard,"Total, tous les genres de production d'électricité",11,99.16918486
2015,Île-du-Prince-Édouard,Turbine éolienne,,98.40274576
2016,Île-du-Prince-Édouard,Turbine éolienne,,98.36069105
2017,Île-du-Prince-Édouard,Turbine éolienne,,98.54603805
2018,Île-du-Prince-Édouard,Turbine éolienne,,98.64568872
2019,Île-du-Prince-Édouard,Turbine éolienne,,98.95797242
2020,Île-du-Prince-Édouard,Turbine éolienne,,99.0827172
2016,Île-du-Prince-Édouard,Solaire,,
2017,Île-du-Prince-Édouard,Solaire,,
2018,Île-du-Prince-Édouard,Solaire,,0.0838197
2019,Île-du-Prince-Édouard,Solaire,,0.087768009
2020,Île-du-Prince-Édouard,Solaire,,0.087691595
2015,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",12,17.90174712
2016,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",12,18.54189025
2017,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",12,21.45924023
2018,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",12,20.74802981
2019,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",12,23.91474248
2020,Nouvelle-Écosse,"Total, tous les genres de production d'électricité",12,22.0957122
2015,Nouvelle-Écosse,Turbine à hydraulique,,9.869544491
2016,Nouvelle-Écosse,Turbine à hydraulique,,8.175485021
2017,Nouvelle-Écosse,Turbine à hydraulique,,8.424159409
2018,Nouvelle-Écosse,Turbine à hydraulique,,9.221973327
2019,Nouvelle-Écosse,Turbine à hydraulique,,10.32453091
2020,Nouvelle-Écosse,Turbine à hydraulique,,7.870536176
2015,Nouvelle-Écosse,Turbine marémotrice,,0.125439871
2016,Nouvelle-Écosse,Turbine marémotrice,,0.188869096
2017,Nouvelle-Écosse,Turbine marémotrice,,0.059050579
2018,Nouvelle-Écosse,Turbine marémotrice,,0.191871809
2019,Nouvelle-Écosse,Turbine marémotrice,,0.009205217
2020,Nouvelle-Écosse,Turbine marémotrice,,
2015,Nouvelle-Écosse,Turbine éolienne,,7.906762755
2016,Nouvelle-Écosse,Turbine éolienne,,10.17753614
2017,Nouvelle-Écosse,Turbine éolienne,,12.97603024
2018,Nouvelle-Écosse,Turbine éolienne,,11.33418468
2019,Nouvelle-Écosse,Turbine éolienne,,13.58100636
2020,Nouvelle-Écosse,Turbine éolienne,,14.22517602
2015,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",13,24.44236948
2016,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",13,26.45332672
2017,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",13,25.09276819
2018,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",13,24.80032775
2019,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",13,28.78462406
2020,Nouveau-Brunswick,"Total, tous les genres de production d'électricité",13,28.76254629
2015,Nouveau-Brunswick,Turbine à hydraulique,,18.76018356
2016,Nouveau-Brunswick,Turbine à hydraulique,,21.42109478
2017,Nouveau-Brunswick,Turbine à hydraulique,,19.28915953
2018,Nouveau-Brunswick,Turbine à hydraulique,,18.71271811
2019,Nouveau-Brunswick,Turbine à hydraulique,,22.19715474
2020,Nouveau-Brunswick,Turbine à hydraulique,,21.92671283
2015,Nouveau-Brunswick,Turbine éolienne,,5.682185917
2016,Nouveau-Brunswick,Turbine éolienne,,5.032231942
2017,Nouveau-Brunswick,Turbine éolienne,,5.80360866
2018,Nouveau-Brunswick,Turbine éolienne,,6.087609637
2019,Nouveau-Brunswick,Turbine éolienne,,6.587469319
2020,Nouveau-Brunswick,Turbine éolienne,,6.835833462
2015,Nouveau-Brunswick,Autres types de production électrique,,
2016,Nouveau-Brunswick,Autres types de production électrique,,
2017,Nouveau-Brunswick,Autres types de production électrique,,
2018,Nouveau-Brunswick,Autres types de production électrique,,
2019,Nouveau-Brunswick,Autres types de production électrique,,
2020,Nouveau-Brunswick,Autres types de production électrique,,
2015,Québec,"Total, tous les genres de production d'électricité",24,99.16754984
2016,Québec,"Total, tous les genres de production d'électricité",24,98.90171093
2017,Québec,"Total, tous les genres de production d'électricité",24,98.84407021
2018,Québec,"Total, tous les genres de production d'électricité",24,98.80637906
2019,Québec,"Total, tous les genres de production d'électricité",24,98.91230277
2020,Québec,"Total, tous les genres de production d'électricité",24,98.95427515
2015,Québec,Turbine à hydraulique,,95.99584191
2016,Québec,Turbine à hydraulique,,94.22907865
2017,Québec,Turbine à hydraulique,,94.21509904
2018,Québec,Turbine à hydraulique,,93.8095052
2019,Québec,Turbine à hydraulique,,93.70103293
2020,Québec,Turbine à hydraulique,,93.59894936
2015,Québec,Turbine éolienne,,3.171090077
2016,Québec,Turbine éolienne,,4.671921514
2017,Québec,Turbine éolienne,,4.628312797
2018,Québec,Turbine éolienne,,4.996183137
2019,Québec,Turbine éolienne,,5.210621857
2020,Québec,Turbine éolienne,,5.354641127
2015,Québec,Solaire,,0.000617858
2016,Québec,Solaire,,0.000710769
2017,Québec,Solaire,,0.000658373
2018,Québec,Solaire,,0.000690718
2019,Québec,Solaire,,0.000647985
