Year,Geography,Age group,Sex,Economic family type,GeoCode,Value
2015,,,,,,14.5
2016,,,,,,12.9
2017,,,,,,11.9
2018,,,,,,11.2
2019,,,,,,10.3
2020,,,,,,6.4
2021,,,,,,7.4
2022,,,,,,9.9
2023,,,,,,10.2
2015,Alberta,Total,Both sexes,Total,48,9.4
2015,Alberta,Under 18 years,Both sexes,Total,48,12.3
2015,Alberta,18 to 64 years,Both sexes,Total,48,9.5
2015,Alberta,65 years and over,Both sexes,Total,48,3.1
2015,Alberta,Total,Male,Total,48,8.9
2015,Alberta,Under 18 years,Male,Total,48,9.8
2015,Alberta,18 to 64 years,Male,Total,48,9.6
2015,Alberta,Total,Female,Total,48,9.9
2015,Alberta,Under 18 years,Female,Total,48,15.0
2015,Alberta,18 to 64 years,Female,Total,48,9.5
2015,Alberta,65 years and over,Female,Total,48,3.2
2015,Alberta,Total,Both sexes,Persons in economic families,48,7.5
2015,Alberta,Total,Male,Persons in economic families,48,6.6
2015,Alberta,Total,Female,Persons in economic families,48,8.4
2015,Alberta,Under 18 years,Both sexes,Persons in economic families,48,12.2
2015,Alberta,Under 18 years,Both sexes,Persons in couple families with children,48,9.6
2015,Alberta,Under 18 years,Both sexes,Persons in female lone-parent families,48,41.0
2015,Alberta,18 to 64 years,Both sexes,Persons in economic families,48,6.5
2015,Alberta,18 to 64 years,Male,Persons in economic families,48,6.1
2015,Alberta,18 to 64 years,Female,Persons in economic families,48,6.9
2015,Alberta,Total,Both sexes,Persons not in an economic family,48,20.8
2015,Alberta,Total,Male,Persons not in an economic family,48,22.1
2015,Alberta,Total,Female,Persons not in an economic family,48,19.3
2015,Alberta,65 years and over,Both sexes,Seniors not in an economic family,48,7.4
2015,Alberta,,Both sexes,Non-seniors not in an economic family,48,24.2
2015,Alberta,,Male,Non-seniors not in an economic family,48,24.1
2015,Alberta,,Female,Non-seniors not in an economic family,48,24.2
2016,Alberta,Total,Both sexes,Total,48,10.1
2016,Alberta,Under 18 years,Both sexes,Total,48,10.8
2016,Alberta,18 to 64 years,Both sexes,Total,48,10.9
2016,Alberta,65 years and over,Both sexes,Total,48,4.3
2016,Alberta,Total,Male,Total,48,9.8
2016,Alberta,Under 18 years,Male,Total,48,10.8
2016,Alberta,18 to 64 years,Male,Total,48,10.3
2016,Alberta,65 years and over,Male,Total,48,4.5
2016,Alberta,Total,Female,Total,48,10.5
2016,Alberta,Under 18 years,Female,Total,48,10.8
2016,Alberta,18 to 64 years,Female,Total,48,11.6
2016,Alberta,65 years and over,Female,Total,48,4.1
2016,Alberta,Total,Both sexes,Persons in economic families,48,7.8
2016,Alberta,Total,Male,Persons in economic families,48,7.8
2016,Alberta,Total,Female,Persons in economic families,48,7.9
2016,Alberta,Under 18 years,Both sexes,Persons in economic families,48,10.7
2016,Alberta,Under 18 years,Both sexes,Persons in couple families with children,48,9.8
2016,Alberta,Under 18 years,Both sexes,Persons in female lone-parent families,48,37.5
2016,Alberta,18 to 64 years,Both sexes,Persons in economic families,48,7.6
2016,Alberta,18 to 64 years,Male,Persons in economic families,48,7.5
2016,Alberta,18 to 64 years,Female,Persons in economic families,48,7.7
2016,Alberta,Total,Both sexes,Persons not in an economic family,48,23.7
2016,Alberta,Total,Male,Persons not in an economic family,48,21.7
2016,Alberta,Total,Female,Persons not in an economic family,48,25.8
2016,Alberta,65 years and over,Both sexes,Seniors not in an economic family,48,10.1
2016,Alberta,65 years and over,Female,Seniors not in an economic family,48,8.6
2016,Alberta,,Both sexes,Non-seniors not in an economic family,48,27.7
2016,Alberta,,Male,Non-seniors not in an economic family,48,23.5
2016,Alberta,,Female,Non-seniors not in an economic family,48,32.8
2017,Alberta,Total,Both sexes,Total,48,8.5
2017,Alberta,Under 18 years,Both sexes,Total,48,7.8
2017,Alberta,18 to 64 years,Both sexes,Total,48,9.8
2017,Alberta,65 years and over,Both sexes,Total,48,2.9
2017,Alberta,Total,Male,Total,48,7.8
2017,Alberta,Under 18 years,Male,Total,48,7.2
2017,Alberta,18 to 64 years,Male,Total,48,8.8
2017,Alberta,65 years and over,Male,Total,48,2.7
2017,Alberta,Total,Female,Total,48,9.3
2017,Alberta,Under 18 years,Female,Total,48,8.4
2017,Alberta,18 to 64 years,Female,Total,48,10.8
2017,Alberta,65 years and over,Female,Total,48,3.0
2017,Alberta,Total,Both sexes,Persons in economic families,48,6.4
2017,Alberta,Total,Male,Persons in economic families,48,6.0
2017,Alberta,Total,Female,Persons in economic families,48,6.8
2017,Alberta,65 years and over,Both sexes,Seniors in economic families,48,1.7
2017,Alberta,Under 18 years,Both sexes,Persons in economic families,48,7.8
2017,Alberta,Under 18 years,Both sexes,Persons in couple families with children,48,6.5
2017,Alberta,Under 18 years,Both sexes,Persons in female lone-parent families,48,27.4
2017,Alberta,18 to 64 years,Both sexes,Persons in economic families,48,6.6
2017,Alberta,18 to 64 years,Male,Persons in economic families,48,6.3
2017,Alberta,18 to 64 years,Female,Persons in economic families,48,6.9
2017,Alberta,Total,Both sexes,Persons not in an economic family,48,20.8
2017,Alberta,Total,Male,Persons not in an economic family,48,18.3
2017,Alberta,Total,Female,Persons not in an economic family,48,23.4
2017,Alberta,65 years and over,Both sexes,Seniors not in an economic family,48,5.8
2017,Alberta,,Both sexes,Non-seniors not in an economic family,48,25.6
2017,Alberta,,Male,Non-seniors not in an economic family,48,20.3
2017,Alberta,,Female,Non-seniors not in an economic family,48,31.8
2018,Alberta,Total,Both sexes,Total,48,8.8
2018,Alberta,Under 18 years,Both sexes,Total,48,8.8
2018,Alberta,18 to 64 years,Both sexes,Total,48,9.9
2018,Alberta,65 years and over,Both sexes,Total,48,3.4
2018,Alberta,Total,Male,Total,48,8.9
2018,Alberta,Under 18 years,Male,Total,48,9.4
2018,Alberta,18 to 64 years,Male,Total,48,9.9
2018,Alberta,65 years and over,Male,Total,48,2.4
2018,Alberta,Total,Female,Total,48,8.7
2018,Alberta,Under 18 years,Female,Total,48,8.1
2018,Alberta,18 to 64 years,Female,Total,48,9.9
2018,Alberta,65 years and over,Female,Total,48,4.3
2018,Alberta,Total,Both sexes,Persons in economic families,48,6.2
2018,Alberta,Total,Male,Persons in economic families,48,6.2
2018,Alberta,Total,Female,Persons in economic families,48,6.3
2018,Alberta,65 years and over,Both sexes,Seniors in economic families,48,2.7
2018,Alberta,Under 18 years,Both sexes,Persons in economic families,48,8.7
2018,Alberta,Under 18 years,Both sexes,Persons in couple families with children,48,7.4
2018,Alberta,Under 18 years,Both sexes,Persons in female lone-parent families,48,29.7
2018,Alberta,18 to 64 years,Both sexes,Persons in economic families,48,5.9
2018,Alberta,18 to 64 years,Male,Persons in economic families,48,5.6
2018,Alberta,18 to 64 years,Female,Persons in economic families,48,6.1
2018,Alberta,Total,Both sexes,Persons not in an economic family,48,24.0
2018,Alberta,Total,Male,Persons not in an economic family,48,23.8
2018,Alberta,Total,Female,Persons not in an economic family,48,24.2
2018,Alberta,65 years and over,Both sexes,Seniors not in an economic family,48,5.6
2018,Alberta,65 years and over,Female,Seniors not in an economic family,48,6.8
2018,Alberta,,Both sexes,Non-seniors not in an economic family,48,29.1
2018,Alberta,,Male,Non-seniors not in an economic family,48,27.0
2018,Alberta,,Female,Non-seniors not in an economic family,48,32.3
2019,Alberta,Total,Both sexes,Total,48,7.7
2019,Alberta,Under 18 years,Both sexes,Total,48,6.9
2019,Alberta,18 to 64 years,Both sexes,Total,48,8.9
2019,Alberta,65 years and over,Both sexes,Total,48,3.5
2019,Alberta,Total,Male,Total,48,7.8
2019,Alberta,Under 18 years,Male,Total,48,7.1
2019,Alberta,18 to 64 years,Male,Total,48,8.6
2019,Alberta,65 years and over,Male,Total,48,4.5
2019,Alberta,Total,Female,Total,48,7.7
2019,Alberta,Under 18 years,Female,Total,48,6.7
2019,Alberta,18 to 64 years,Female,Total,48,9.1
2019,Alberta,65 years and over,Female,Total,48,2.7
2019,Alberta,Total,Both sexes,Persons in economic families,48,5.5
2019,Alberta,Total,Male,Persons in economic families,48,5.3
2019,Alberta,Total,Female,Persons in economic families,48,5.8
2019,Alberta,65 years and over,Both sexes,Seniors in economic families,48,2.8
2019,Alberta,Under 18 years,Both sexes,Persons in economic families,48,6.6
2019,Alberta,Under 18 years,Both sexes,Persons in couple families with children,48,5.6
2019,Alberta,Under 18 years,Both sexes,Persons in female lone-parent families,48,25.4
2019,Alberta,18 to 64 years,Both sexes,Persons in economic families,48,5.6
2019,Alberta,18 to 64 years,Male,Persons in economic families,48,5.0
2019,Alberta,18 to 64 years,Female,Persons in economic families,48,6.1
2019,Alberta,Total,Both sexes,Persons not in an economic family,48,20.9
2019,Alberta,Total,Male,Persons not in an economic family,48,22.9
2019,Alberta,Total,Female,Persons not in an economic family,48,19.0
2019,Alberta,65 years and over,Both sexes,Seniors not in an economic family,48,5.7
2019,Alberta,,Both sexes,Non-seniors not in an economic family,48,25.5
2019,Alberta,,Male,Non-seniors not in an economic family,48,25.1
2019,Alberta,,Female,Non-seniors not in an economic family,48,26.0
2020,Alberta,Total,Both sexes,Total,48,5.5
2020,Alberta,Under 18 years,Both sexes,Total,48,4.2
2020,Alberta,18 to 64 years,Both sexes,Total,48,6.5
2020,Alberta,65 years and over,Both sexes,Total,48,2.9
2020,Alberta,Total,Male,Total,48,5.5
2020,Alberta,Under 18 years,Male,Total,48,4.3
2020,Alberta,18 to 64 years,Male,Total,48,6.6
2020,Alberta,65 years and over,Male,Total,48,2.3
2020,Alberta,Total,Female,Total,48,5.5
2020,Alberta,Under 18 years,Female,Total,48,4.2
2020,Alberta,18 to 64 years,Female,Total,48,6.5
2020,Alberta,65 years and over,Female,Total,48,3.5
2020,Alberta,Total,Both sexes,Persons in economic families,48,3.3
2020,Alberta,Total,Male,Persons in economic families,48,3.2
2020,Alberta,Total,Female,Persons in economic families,48,3.4
2020,Alberta,Under 18 years,Both sexes,Persons in economic families,48,4.1
2020,Alberta,Under 18 years,Both sexes,Persons in couple families with children,48,2.3
2020,Alberta,Under 18 years,Both sexes,Persons in female lone-parent families,48,25.0
2020,Alberta,18 to 64 years,Both sexes,Persons in economic families,48,3.4
