Year,Geography,Index,GeoCode,Value
2015,,,,70.39
2016,,,,72.01
2017,,,,73.6
2018,,,,75.61
2019,,,,79.75
2020,,,,73.9
2021,,,,73.68
2015,Canada,Violent crime severity index,,75.34
2015,Canada,Youth crime severity index,,60.42
2015,Canada,Youth violent crime severity index,,66.39
2015,Newfoundland and Labrador,Crime severity index,10,65.78
2015,Newfoundland and Labrador,Violent crime severity index,10,67.02
2015,Newfoundland and Labrador,Youth crime severity index,10,59.62
2015,Newfoundland and Labrador,Youth violent crime severity index,10,50.24
2015,Prince Edward Island,Crime severity index,11,50.63
2015,Prince Edward Island,Violent crime severity index,11,42.16
2015,Prince Edward Island,Youth crime severity index,11,34.64
2015,Prince Edward Island,Youth violent crime severity index,11,30.44
2015,Nova Scotia,Crime severity index,12,63.26
2015,Nova Scotia,Violent crime severity index,12,70.93
2015,Nova Scotia,Youth crime severity index,12,71.34
2015,Nova Scotia,Youth violent crime severity index,12,67.34
2015,New Brunswick,Crime severity index,13,62.41
2015,New Brunswick,Violent crime severity index,13,59.82
2015,New Brunswick,Youth crime severity index,13,56.92
2015,New Brunswick,Youth violent crime severity index,13,51.15
2015,Quebec,Crime severity index,24,56.95
2015,Quebec,Violent crime severity index,24,66.47
2015,Quebec,Youth crime severity index,24,53.71
2015,Quebec,Youth violent crime severity index,24,63.82
2015,Ontario,Crime severity index,35,51.05
2015,Ontario,Violent crime severity index,35,59.98
2015,Ontario,Youth crime severity index,35,49.7
2015,Ontario,Youth violent crime severity index,35,59.44
2015,Manitoba,Crime severity index,46,106.29
2015,Manitoba,Violent crime severity index,46,138.63
2015,Manitoba,Youth crime severity index,46,117.93
2015,Manitoba,Youth violent crime severity index,46,125.78
2015,Saskatchewan,Crime severity index,47,138.33
2015,Saskatchewan,Violent crime severity index,47,137.64
2015,Saskatchewan,Youth crime severity index,47,186.74
2015,Saskatchewan,Youth violent crime severity index,47,173.02
2015,Alberta,Crime severity index,48,104.49
2015,Alberta,Violent crime severity index,48,98.9
2015,Alberta,Youth crime severity index,48,65.04
2015,Alberta,Youth violent crime severity index,48,70.86
2015,British Columbia,Crime severity index,59,92.65
2015,British Columbia,Violent crime severity index,59,81.55
2015,British Columbia,Youth crime severity index,59,38.85
2015,British Columbia,Youth violent crime severity index,59,40.16
2015,Yukon,Crime severity index,60,182.97
2015,Yukon,Violent crime severity index,60,209.02
2015,Yukon,Youth crime severity index,60,266.12
2015,Yukon,Youth violent crime severity index,60,161.22
2015,Northwest Territories,Crime severity index,61,321.91
2015,Northwest Territories,Violent crime severity index,61,365.33
2015,Northwest Territories,Youth crime severity index,61,274.17
2015,Northwest Territories,Youth violent crime severity index,61,190.28
2015,Nunavut,Crime severity index,62,275.19
2015,Nunavut,Violent crime severity index,62,388.59
2015,Nunavut,Youth crime severity index,62,323.62
2015,Nunavut,Youth violent crime severity index,62,225.69
2016,Canada,Violent crime severity index,,76.88
