Year,Géographie,Sexe à la naissance,Genre,Statut d'autochtone,Minorité visible,Statut d'immigration,Niveau d'éducation du parent ou du tuteur légal,Niveau d'éducation du conjoint du parent ou du tuteur légal,Statut du parent ou du tuteur légal sur le marché du travail,Statut du conjoint du parent ou du tuteur légal sur le marché du travail,GeoCode,Value
2019,,,,,,,,,,,,13.2
2019,Terre-Neuve-et-Labrador,,,,,,,,,,10,15.6
2019,Île-du-Prince-Édouard,,,,,,,,,,11,16.3
2019,Nouvelle-Écosse,,,,,,,,,,12,19.3
2019,Nouveau-Brunswick,,,,,,,,,,13,16.3
2019,Québec,,,,,,,,,,24,16.5
2019,Ontario,,,,,,,,,,35,11.1
2019,Manitoba,,,,,,,,,,46,10.7
2019,Saskatchewan,,,,,,,,,,47,17.5
2019,Alberta,,,,,,,,,,48,12.6
2019,Colombie-Britannique,,,,,,,,,,59,12.4
2019,Yukon,,,,,,,,,,60,15.9
2019,Territoires du Nord-Ouest,,,,,,,,,,61,6.8
2019,Nunavut,,,,,,,,,,62,14.8
2019,,Homme,,,,,,,,,,14.4
2019,,Femme,,,,,,,,,,12.0
2019,,,Homme,,,,,,,,,14.2
2019,,,Femme,,,,,,,,,11.9
2019,,,,Identité autochtone,,,,,,,,18.7
2019,,,,Identité non autochtone,,,,,,,,12.9
2019,,,,,Sud-Asiatique,,,,,,,3.0
2019,,,,,Chinois,,,,,,,3.4
2019,,,,,Noirs,,,,,,,4.5
2019,,,,,Philippin,,,,,,,7.4
2019,,,,,Arabe,,,,,,,6.7
2019,,,,,Latino-Américain,,,,,,,9.9
2019,,,,,Pas une minorité visible,,,,,,,16.7
2019,,,,,,Personne non immigrante,,,,,,14.7
2019,,,,,,Personne immigrante,,,,,,4.9
2019,,,,,,,Moins d'un diplôme d'études secondaires ou son équivalent,,,,,13.6
2019,,,,,,,Diplôme de fin d'études secondaires ou certificat d'équivalence de fin d'études secondaires,,,,,12.8
2019,,,,,,,Certificat ou diplôme professionnel,,,,,19.3
2019,,,,,,,Collège/CÉGEP/autre établissement non universitaire,,,,,15.4
2019,,,,,,,Certificat ou diplôme universitaire inférieur au baccalauréat,,,,,10.7
2019,,,,,,,"Baccalauréat (ex. B.A., B.Sc., LL.B.)",,,,,11.4
2019,,,,,,,"Certificat universitaire, diplôme, grade supérieur au baccalauréat (BA)",,,,,9.5
2019,,,,,,,,Moins d'un diplôme d'études secondaires ou son équivalent,,,,14.1
2019,,,,,,,,Diplôme de fin d'études secondaires ou certificat d'équivalence de fin d'études secondaires,,,,14.0
2019,,,,,,,,Certificat ou diplôme professionnel,,,,14.7
2019,,,,,,,,Collège/CÉGEP/autre établissement non universitaire,,,,13.0
2019,,,,,,,,Certificat ou diplôme universitaire inférieur au baccalauréat,,,,13.2
2019,,,,,,,,"Baccalauréat (ex. B.A., B.Sc., LL.B.)",,,,9.8
2019,,,,,,,,"Certificat universitaire, diplôme, grade supérieur au baccalauréat (BA)",,,,8.0
2019,,,,,,,,,A travaillé dans un emploi ou une entreprise,,,14.0
2019,,,,,,,,,A eu un emploi mais n'a pas travaillé (absent),,,11.2
2019,,,,,,,,,N'a pas eu d'emploi,,,9.3
2019,,,,,,,,,,A travaillé dans un emploi ou une entreprise,,12.2
2019,,,,,,,,,,A eu un emploi mais n'a pas travaillé (absent),,14.1
2019,,,,,,,,,,N'a pas eu d'emploi,,10.0
