Year,Units,Géographie,Type d'infractions reliée à la cybercriminalité,Infraction reliée à la cybercriminalité,Value
2015,Taux par 100 000 personnes,Alberta,,,69.1
2016,Taux par 100 000 personnes,Alberta,,,98.2
2017,Taux par 100 000 personnes,Alberta,,,109.7
2018,Taux par 100 000 personnes,Alberta,,,140.2
2019,Taux par 100 000 personnes,Alberta,,,165.8
2020,Taux par 100 000 personnes,Alberta,,,177.9
2021,Taux par 100 000 personnes,Alberta,,,194.3
2022,Taux par 100 000 personnes,Alberta,,,207.2
2015,Taux par 100 000 personnes,Colombie-Britannique,,,85.9
2016,Taux par 100 000 personnes,Colombie-Britannique,,,128.5
2017,Taux par 100 000 personnes,Colombie-Britannique,,,113.7
2018,Taux par 100 000 personnes,Colombie-Britannique,,,144.2
2019,Taux par 100 000 personnes,Colombie-Britannique,,,196.4
2020,Taux par 100 000 personnes,Colombie-Britannique,,,286.4
2021,Taux par 100 000 personnes,Colombie-Britannique,,,304.1
2022,Taux par 100 000 personnes,Colombie-Britannique,,,343.1
2015,Nombre,Canada,Contre la personne,Leurre d'un enfant au moyen d'un ordinateur,850.0
2015,Nombre,Canada,Contre la personne,Distribution nonconsensuelle d'images intimes,97.0
2015,Nombre,Canada,Contre la personne,Extorsion,709.0
2015,Nombre,Canada,Contre la personne,Harcèlement criminel,1001.0
2015,Nombre,Canada,Contre la personne,Communications indécentes ou harcelantes,1202.0
2015,Nombre,Canada,Contre la personne,Menaces,1139.0
2015,Nombre,Canada,Contre la personne,Fraude,8429.0
2015,Nombre,Canada,Contre la personne,Vol d'identité,191.0
2015,Nombre,Canada,Contre la personne,Fraude à l'identité,695.0
2015,Nombre,Canada,Contre la personne,Pornographie juvénile,1753.0
2015,Nombre,Canada,Contre la personne,Production de ou distribution de pornographie juvénile,850.0
2016,Nombre,Canada,Contre la personne,Leurre d'un enfant au moyen d'un ordinateur,1108.0
2016,Nombre,Canada,Contre la personne,Distribution nonconsensuelle d'images intimes,295.0
2016,Nombre,Canada,Contre la personne,Extorsion,797.0
2016,Nombre,Canada,Contre la personne,Harcèlement criminel,1058.0
2016,Nombre,Canada,Contre la personne,Communications indécentes ou harcelantes,1655.0
2016,Nombre,Canada,Contre la personne,Menaces,1356.0
2016,Nombre,Canada,Contre la personne,Fraude,11383.0
2016,Nombre,Canada,Contre la personne,Vol d'identité,260.0
2016,Nombre,Canada,Contre la personne,Fraude à l'identité,828.0
2016,Nombre,Canada,Contre la personne,Pornographie juvénile,1278.0
2016,Nombre,Canada,Contre la personne,Production de ou distribution de pornographie juvénile,2886.0
2017,Nombre,Canada,Contre la personne,Leurre d'un enfant au moyen d'un ordinateur,1132.0
2017,Nombre,Canada,Contre la personne,Distribution nonconsensuelle d'images intimes,516.0
2017,Nombre,Canada,Contre la personne,Extorsion,893.0
2017,Nombre,Canada,Contre la personne,Harcèlement criminel,1291.0
2017,Nombre,Canada,Contre la personne,Communications indécentes ou harcelantes,2302.0
2017,Nombre,Canada,Contre la personne,Menaces,1674.0
2017,Nombre,Canada,Contre la personne,Fraude,13426.0
2017,Nombre,Canada,Contre la personne,Vol d'identité,280.0
2017,Nombre,Canada,Contre la personne,Fraude à l'identité,1082.0
2017,Nombre,Canada,Contre la personne,Pornographie juvénile,1041.0
2017,Nombre,Canada,Contre la personne,Production de ou distribution de pornographie juvénile,2868.0
2018,Nombre,Canada,Contre la personne,Leurre d'un enfant au moyen d'un ordinateur,1280.0
2018,Nombre,Canada,Contre la personne,Distribution nonconsensuelle d'images intimes,569.0
2018,Nombre,Canada,Contre la personne,Extorsion,1863.0
2018,Nombre,Canada,Contre la personne,Harcèlement criminel,1396.0
2018,Nombre,Canada,Contre la personne,Communications indécentes ou harcelantes,2708.0
2018,Nombre,Canada,Contre la personne,Menaces,2224.0
2018,Nombre,Canada,Contre la personne,Fraude,16641.0
2018,Nombre,Canada,Contre la personne,Vol d'identité,284.0
2018,Nombre,Canada,Contre la personne,Fraude à l'identité,1369.0
2018,Nombre,Canada,Contre la personne,Pornographie juvénile,621.0
2018,Nombre,Canada,Contre la personne,Production de ou distribution de pornographie juvénile,3113.0
2019,Nombre,Canada,Contre la personne,Leurre d'un enfant au moyen d'un ordinateur,1461.0
2019,Nombre,Canada,Contre la personne,Distribution nonconsensuelle d'images intimes,726.0
2019,Nombre,Canada,Contre la personne,Extorsion,1447.0
2019,Nombre,Canada,Contre la personne,Harcèlement criminel,2720.0
2019,Nombre,Canada,Contre la personne,Communications indécentes ou harcelantes,4996.0
2019,Nombre,Canada,Contre la personne,Menaces,4328.0
2019,Nombre,Canada,Contre la personne,Fraude,22746.0
2019,Nombre,Canada,Contre la personne,Vol d'identité,388.0
2019,Nombre,Canada,Contre la personne,Fraude à l'identité,1950.0
2019,Nombre,Canada,Contre la personne,Pornographie juvénile,1133.0
2019,Nombre,Canada,Contre la personne,Production de ou distribution de pornographie juvénile,4242.0
2020,Nombre,Canada,Contre la personne,Leurre d'un enfant au moyen d'un ordinateur,1757.0
2020,Nombre,Canada,Contre la personne,Distribution nonconsensuelle d'images intimes,858.0
2020,Nombre,Canada,Contre la personne,Extorsion,2571.0
2020,Nombre,Canada,Contre la personne,Harcèlement criminel,3184.0
2020,Nombre,Canada,Contre la personne,Communications indécentes ou harcelantes,6187.0
2020,Nombre,Canada,Contre la personne,Menaces,5128.0
2020,Nombre,Canada,Contre la personne,Fraude,29781.0
2020,Nombre,Canada,Contre la personne,Vol d'identité,742.0
2020,Nombre,Canada,Contre la personne,Fraude à l'identité,4782.0
2020,Nombre,Canada,Contre la personne,Pornographie juvénile,1598.0
2020,Nombre,Canada,Contre la personne,Production de ou distribution de pornographie juvénile,5899.0
2021,Nombre,Canada,Contre la personne,Leurre d'un enfant au moyen d'un ordinateur,1846.0
2021,Nombre,Canada,Contre la personne,Distribution nonconsensuelle d'images intimes,870.0
2021,Nombre,Canada,Contre la personne,Extorsion,3160.0
2021,Nombre,Canada,Contre la personne,Harcèlement criminel,3347.0
2021,Nombre,Canada,Contre la personne,Communications indécentes ou harcelantes,6711.0
2021,Nombre,Canada,Contre la personne,Menaces,5007.0
2021,Nombre,Canada,Contre la personne,Fraude,34080.0
2021,Nombre,Canada,Contre la personne,Vol d'identité,864.0
2021,Nombre,Canada,Contre la personne,Fraude à l'identité,5316.0
2021,Nombre,Canada,Contre la personne,Pornographie juvénile,1903.0
2021,Nombre,Canada,Contre la personne,Production de ou distribution de pornographie juvénile,5531.0
2022,Nombre,Canada,Contre la personne,Leurre d'un enfant au moyen d'un ordinateur,1935.0
2022,Nombre,Canada,Contre la personne,Distribution nonconsensuelle d'images intimes,896.0
2022,Nombre,Canada,Contre la personne,Extorsion,4570.0
2022,Nombre,Canada,Contre la personne,Harcèlement criminel,2868.0
2022,Nombre,Canada,Contre la personne,Communications indécentes ou harcelantes,5583.0
2022,Nombre,Canada,Contre la personne,Menaces,4460.0
2022,Nombre,Canada,Contre la personne,Fraude,36839.0
2022,Nombre,Canada,Contre la personne,Vol d'identité,766.0
2022,Nombre,Canada,Contre la personne,Fraude à l'identité,3735.0
2022,Nombre,Canada,Contre la personne,Pornographie juvénile,1696.0
2022,Nombre,Canada,Contre la personne,Production de ou distribution de pornographie juvénile,7435.0
2015,Taux par 100 000 personnes,Manitoba,,,23.3
2016,Taux par 100 000 personnes,Manitoba,,,43.8
2017,Taux par 100 000 personnes,Manitoba,,,54.9
2018,Taux par 100 000 personnes,Manitoba,,,65.7
2019,Taux par 100 000 personnes,Manitoba,,,106.5
2020,Taux par 100 000 personnes,Manitoba,,,144.2
2021,Taux par 100 000 personnes,Manitoba,,,156.8
2022,Taux par 100 000 personnes,Manitoba,,,165.2
