Year,Geography,Economic family type,Value
2010,,,57100.0
2011,,,56800.0
2012,,,58500.0
2013,,,58800.0
2014,,,60400.0
2015,,,60200.0
2016,,,60400.0
2017,,,62100.0
2018,,,62600.0
2019,,,62900.0
2010,Canada,Economic families,77300.0
2011,Canada,Economic families,78100.0
2012,Canada,Economic families,80200.0
2013,Canada,Economic families,80300.0
2014,Canada,Economic families,82200.0
2015,Canada,Economic families,82600.0
2016,Canada,Economic families,83100.0
2017,Canada,Economic families,84600.0
2018,Canada,Economic families,86500.0
2019,Canada,Economic families,86700.0
2010,Canada,Elderly families,54500.0
2011,Canada,Elderly families,55900.0
2012,Canada,Elderly families,58500.0
2013,Canada,Elderly families,58200.0
2014,Canada,Elderly families,59200.0
2015,Canada,Elderly families,61800.0
2016,Canada,Elderly families,61200.0
2017,Canada,Elderly families,63500.0
2018,Canada,Elderly families,64800.0
2019,Canada,Elderly families,64300.0
2010,Canada,Elderly couples,53700.0
2011,Canada,Elderly couples,54600.0
2012,Canada,Elderly couples,57800.0
2013,Canada,Elderly couples,57500.0
2014,Canada,Elderly couples,58600.0
2015,Canada,Elderly couples,60300.0
2016,Canada,Elderly couples,60300.0
2017,Canada,Elderly couples,62000.0
2018,Canada,Elderly couples,63200.0
2019,Canada,Elderly couples,63600.0
2010,Canada,Other elderly families,57000.0
2011,Canada,Other elderly families,61900.0
2012,Canada,Other elderly families,62800.0
2013,Canada,Other elderly families,62100.0
2014,Canada,Other elderly families,63400.0
2015,Canada,Other elderly families,68000.0
2016,Canada,Other elderly families,66500.0
2017,Canada,Other elderly families,69800.0
2018,Canada,Other elderly families,70300.0
2019,Canada,Other elderly families,67100.0
2010,Canada,Non-elderly families,83400.0
2011,Canada,Non-elderly families,84300.0
2012,Canada,Non-elderly families,86100.0
2013,Canada,Non-elderly families,86000.0
2014,Canada,Non-elderly families,89100.0
2015,Canada,Non-elderly families,88700.0
2016,Canada,Non-elderly families,89800.0
2017,Canada,Non-elderly families,91000.0
2018,Canada,Non-elderly families,93400.0
2019,Canada,Non-elderly families,93800.0
2010,Canada,Couples,76300.0
2011,Canada,Couples,76000.0
2012,Canada,Couples,78600.0
2013,Canada,Couples,80200.0
2014,Canada,Couples,80800.0
2015,Canada,Couples,80300.0
2016,Canada,Couples,80900.0
2017,Canada,Couples,82600.0
2018,Canada,Couples,84000.0
2019,Canada,Couples,81900.0
2010,Canada,Couples with children,92800.0
2011,Canada,Couples with children,95600.0
2012,Canada,Couples with children,94800.0
2013,Canada,Couples with children,94600.0
2014,Canada,Couples with children,98900.0
2015,Canada,Couples with children,101200.0
2016,Canada,Couples with children,100100.0
2017,Canada,Couples with children,101100.0
2018,Canada,Couples with children,103900.0
2019,Canada,Couples with children,105500.0
2010,Canada,Couples with other relatives,117900.0
2011,Canada,Couples with other relatives,120400.0
2012,Canada,Couples with other relatives,122600.0
2013,Canada,Couples with other relatives,123400.0
2014,Canada,Couples with other relatives,116400.0
2015,Canada,Couples with other relatives,123300.0
2016,Canada,Couples with other relatives,123800.0
2017,Canada,Couples with other relatives,126100.0
2018,Canada,Couples with other relatives,128300.0
2019,Canada,Couples with other relatives,134500.0
2010,Canada,Lone-parent families,46000.0
2011,Canada,Lone-parent families,45300.0
2012,Canada,Lone-parent families,47300.0
2013,Canada,Lone-parent families,46800.0
2014,Canada,Lone-parent families,47100.0
2015,Canada,Lone-parent families,49100.0
2016,Canada,Lone-parent families,47300.0
2017,Canada,Lone-parent families,52100.0
2018,Canada,Lone-parent families,53000.0
2019,Canada,Lone-parent families,56100.0
2010,Canada,Male lone-parent families,56800.0
2011,Canada,Male lone-parent families,57000.0
2012,Canada,Male lone-parent families,59900.0
2013,Canada,Male lone-parent families,58400.0
2014,Canada,Male lone-parent families,63100.0
2015,Canada,Male lone-parent families,62600.0
2016,Canada,Male lone-parent families,58600.0
2017,Canada,Male lone-parent families,65300.0
2018,Canada,Male lone-parent families,60400.0
2019,Canada,Male lone-parent families,66400.0
2010,Canada,Female lone-parent families,44200.0
2011,Canada,Female lone-parent families,43300.0
2012,Canada,Female lone-parent families,43900.0
2013,Canada,Female lone-parent families,43800.0
2014,Canada,Female lone-parent families,44700.0
2015,Canada,Female lone-parent families,45700.0
2016,Canada,Female lone-parent families,43800.0
2017,Canada,Female lone-parent families,49700.0
2018,Canada,Female lone-parent families,50900.0
2019,Canada,Female lone-parent families,52500.0
2010,Canada,Other non-elderly families,67200.0
2011,Canada,Other non-elderly families,66900.0
2012,Canada,Other non-elderly families,74300.0
2013,Canada,Other non-elderly families,70400.0
2014,Canada,Other non-elderly families,73600.0
2015,Canada,Other non-elderly families,72600.0
2016,Canada,Other non-elderly families,74200.0
2017,Canada,Other non-elderly families,74400.0
2018,Canada,Other non-elderly families,76100.0
2019,Canada,Other non-elderly families,78100.0
2010,Canada,Persons not in an economic family,30200.0
2011,Canada,Persons not in an economic family,28900.0
2012,Canada,Persons not in an economic family,30400.0
2013,Canada,Persons not in an economic family,31200.0
2014,Canada,Persons not in an economic family,31600.0
2015,Canada,Persons not in an economic family,30300.0
2016,Canada,Persons not in an economic family,30600.0
2017,Canada,Persons not in an economic family,31400.0
2018,Canada,Persons not in an economic family,31300.0
2019,Canada,Persons not in an economic family,32200.0
2010,Canada,Elderly persons not in an economic family,26900.0
2011,Canada,Elderly persons not in an economic family,26700.0
2012,Canada,Elderly persons not in an economic family,28000.0
2013,Canada,Elderly persons not in an economic family,28500.0
2014,Canada,Elderly persons not in an economic family,29200.0
2015,Canada,Elderly persons not in an economic family,28300.0
2016,Canada,Elderly persons not in an economic family,27700.0
2017,Canada,Elderly persons not in an economic family,28600.0
2018,Canada,Elderly persons not in an economic family,29000.0
2019,Canada,Elderly persons not in an economic family,29500.0
2010,Canada,Elderly males not in an economic family,32500.0
2011,Canada,Elderly males not in an economic family,30800.0
2012,Canada,Elderly males not in an economic family,30100.0
2013,Canada,Elderly males not in an economic family,30800.0
2014,Canada,Elderly males not in an economic family,32500.0
2015,Canada,Elderly males not in an economic family,29300.0
2016,Canada,Elderly males not in an economic family,29000.0
2017,Canada,Elderly males not in an economic family,30100.0
2018,Canada,Elderly males not in an economic family,30800.0
2019,Canada,Elderly males not in an economic family,31200.0
2010,Canada,Elderly females not in an economic family,26000.0
2011,Canada,Elderly females not in an economic family,25600.0
2012,Canada,Elderly females not in an economic family,26700.0
2013,Canada,Elderly females not in an economic family,27600.0
2014,Canada,Elderly females not in an economic family,28400.0
2015,Canada,Elderly females not in an economic family,27600.0
2016,Canada,Elderly females not in an economic family,27400.0
2017,Canada,Elderly females not in an economic family,27800.0
2018,Canada,Elderly females not in an economic family,28500.0
2019,Canada,Elderly females not in an economic family,28700.0
2010,Canada,Non-elderly persons not in an economic family,32000.0
2011,Canada,Non-elderly persons not in an economic family,30200.0
2012,Canada,Non-elderly persons not in an economic family,31500.0
2013,Canada,Non-elderly persons not in an economic family,33000.0
2014,Canada,Non-elderly persons not in an economic family,32300.0
2015,Canada,Non-elderly persons not in an economic family,31600.0
2016,Canada,Non-elderly persons not in an economic family,32200.0
2017,Canada,Non-elderly persons not in an economic family,32900.0
2018,Canada,Non-elderly persons not in an economic family,32700.0
2019,Canada,Non-elderly persons not in an economic family,33800.0
2010,Canada,Non-elderly males not in an economic family,33300.0
2011,Canada,Non-elderly males not in an economic family,32800.0
2012,Canada,Non-elderly males not in an economic family,34200.0
2013,Canada,Non-elderly males not in an economic family,34800.0
