Year,data.Geography,data.Activity group,data.Age,data.Sex,Value
2015,data.Canada,data.Unpaid work activities,"data.Total, 15 years and over",data.Both sexes,12.5
2015,data.Canada,data.Unpaid work activities,"data.Total, 15 years and over",data.Male,10.0
2015,data.Canada,data.Unpaid work activities,"data.Total, 15 years and over",data.Female,15.0
2015,data.Canada,data.Unpaid work activities,data.15 to 24 years,data.Both sexes,5.4
2015,data.Canada,data.Unpaid work activities,data.15 to 24 years,data.Male,4.6
2015,data.Canada,data.Unpaid work activities,data.15 to 24 years,data.Female,6.7
2015,data.Canada,data.Unpaid work activities,data.25 to 54 years,data.Both sexes,13.3
2015,data.Canada,data.Unpaid work activities,data.25 to 54 years,data.Male,10.4
2015,data.Canada,data.Unpaid work activities,data.25 to 54 years,data.Female,16.3
2015,data.Canada,data.Unpaid work activities,data.25 to 34 years,data.Both sexes,12.1
2015,data.Canada,data.Unpaid work activities,data.25 to 34 years,data.Male,7.9
2015,data.Canada,data.Unpaid work activities,data.25 to 34 years,data.Female,15.8
2015,data.Canada,data.Unpaid work activities,data.35 to 44 years,data.Both sexes,15.0
2015,data.Canada,data.Unpaid work activities,data.35 to 44 years,data.Male,11.7
2015,data.Canada,data.Unpaid work activities,data.35 to 44 years,data.Female,17.9
2015,data.Canada,data.Unpaid work activities,data.45 to 54 years,data.Both sexes,13.3
2015,data.Canada,data.Unpaid work activities,data.45 to 54 years,data.Male,11.3
2015,data.Canada,data.Unpaid work activities,data.45 to 54 years,data.Female,15.4
2015,data.Canada,data.Unpaid work activities,data.55 to 64 years,data.Both sexes,14.2
2015,data.Canada,data.Unpaid work activities,data.55 to 64 years,data.Male,12.1
2015,data.Canada,data.Unpaid work activities,data.55 to 64 years,data.Female,16.3
2015,data.Canada,data.Unpaid work activities,data.65 years and over,data.Both sexes,15.0
2015,data.Canada,data.Unpaid work activities,data.65 years and over,data.Male,13.3
2015,data.Canada,data.Unpaid work activities,data.65 years and over,data.Female,16.7
2015,data.Canada,data.Household chores,"data.Total, 15 years and over",data.Both sexes,8.8
2015,data.Canada,data.Household chores,"data.Total, 15 years and over",data.Male,7.1
2015,data.Canada,data.Household chores,"data.Total, 15 years and over",data.Female,10.0
2015,data.Canada,data.Household chores,data.15 to 24 years,data.Both sexes,3.8
2015,data.Canada,data.Household chores,data.15 to 24 years,data.Male,3.3
2015,data.Canada,data.Household chores,data.15 to 24 years,data.Female,4.2
2015,data.Canada,data.Household chores,data.25 to 54 years,data.Both sexes,8.3
2015,data.Canada,data.Household chores,data.25 to 54 years,data.Male,6.7
2015,data.Canada,data.Household chores,data.25 to 54 years,data.Female,10.0
2015,data.Canada,data.Household chores,data.25 to 34 years,data.Both sexes,6.7
2015,data.Canada,data.Household chores,data.25 to 34 years,data.Male,5.0
2015,data.Canada,data.Household chores,data.25 to 34 years,data.Female,8.3
2015,data.Canada,data.Household chores,data.35 to 44 years,data.Both sexes,8.3
2015,data.Canada,data.Household chores,data.35 to 44 years,data.Male,6.7
2015,data.Canada,data.Household chores,data.35 to 44 years,data.Female,10.0
2015,data.Canada,data.Household chores,data.45 to 54 years,data.Both sexes,10.0
2015,data.Canada,data.Household chores,data.45 to 54 years,data.Male,8.8
2015,data.Canada,data.Household chores,data.45 to 54 years,data.Female,11.3
2015,data.Canada,data.Household chores,data.55 to 64 years,data.Both sexes,10.8
2015,data.Canada,data.Household chores,data.55 to 64 years,data.Male,9.6
2015,data.Canada,data.Household chores,data.55 to 64 years,data.Female,12.1
2015,data.Canada,data.Household chores,data.65 years and over,data.Both sexes,11.7
2015,data.Canada,data.Household chores,data.65 years and over,data.Male,10.0
2015,data.Canada,data.Household chores,data.65 years and over,data.Female,13.3
2015,data.Canada,data.Care of household children under 18 years,"data.Total, 15 years and over",data.Both sexes,1.7
2015,data.Canada,data.Care of household children under 18 years,"data.Total, 15 years and over",data.Male,1.3
2015,data.Canada,data.Care of household children under 18 years,"data.Total, 15 years and over",data.Female,2.1
2015,data.Canada,data.Care of household children under 18 years,data.15 to 24 years,data.Both sexes,0.4
2015,data.Canada,data.Care of household children under 18 years,data.15 to 24 years,data.Male,
2015,data.Canada,data.Care of household children under 18 years,data.15 to 24 years,data.Female,0.4
2015,data.Canada,data.Care of household children under 18 years,data.25 to 54 years,data.Both sexes,2.9
2015,data.Canada,data.Care of household children under 18 years,data.25 to 54 years,data.Male,2.1
2015,data.Canada,data.Care of household children under 18 years,data.25 to 54 years,data.Female,3.8
2015,data.Canada,data.Care of household children under 18 years,data.25 to 34 years,data.Both sexes,3.3
2015,data.Canada,data.Care of household children under 18 years,data.25 to 34 years,data.Male,1.7
2015,data.Canada,data.Care of household children under 18 years,data.25 to 34 years,data.Female,5.0
2015,data.Canada,data.Care of household children under 18 years,data.35 to 44 years,data.Both sexes,4.2
2015,data.Canada,data.Care of household children under 18 years,data.35 to 44 years,data.Male,3.3
2015,data.Canada,data.Care of household children under 18 years,data.35 to 44 years,data.Female,5.4
2015,data.Canada,data.Care of household children under 18 years,data.45 to 54 years,data.Both sexes,1.3
2015,data.Canada,data.Care of household children under 18 years,data.45 to 54 years,data.Male,0.8
2015,data.Canada,data.Care of household children under 18 years,data.45 to 54 years,data.Female,1.3
2015,data.Canada,data.Care of household children under 18 years,data.55 to 64 years,data.Both sexes,0.4
2015,data.Canada,data.Care of household children under 18 years,data.55 to 64 years,data.Male,
2015,data.Canada,data.Care of household children under 18 years,data.55 to 64 years,data.Female,0.4
2015,data.Canada,data.Care of household children under 18 years,data.65 years and over,data.Both sexes,0.4
2015,data.Canada,data.Care of household children under 18 years,data.65 years and over,data.Male,0.4
2015,data.Canada,data.Care of household children under 18 years,data.65 years and over,data.Female,0.4
2015,data.Canada,data.Care of household adults,"data.Total, 15 years and over",data.Both sexes,
2015,data.Canada,data.Care of household adults,"data.Total, 15 years and over",data.Male,
2015,data.Canada,data.Care of household adults,"data.Total, 15 years and over",data.Female,
2015,data.Canada,data.Care of household adults,data.15 to 24 years,data.Both sexes,
2015,data.Canada,data.Care of household adults,data.15 to 24 years,data.Male,
2015,data.Canada,data.Care of household adults,data.15 to 24 years,data.Female,0.0
2015,data.Canada,data.Care of household adults,data.25 to 54 years,data.Both sexes,
2015,data.Canada,data.Care of household adults,data.25 to 54 years,data.Male,
2015,data.Canada,data.Care of household adults,data.25 to 54 years,data.Female,
2015,data.Canada,data.Care of household adults,data.25 to 34 years,data.Both sexes,
2015,data.Canada,data.Care of household adults,data.25 to 34 years,data.Male,
2015,data.Canada,data.Care of household adults,data.25 to 34 years,data.Female,
2015,data.Canada,data.Care of household adults,data.35 to 44 years,data.Both sexes,
2015,data.Canada,data.Care of household adults,data.35 to 44 years,data.Male,
2015,data.Canada,data.Care of household adults,data.35 to 44 years,data.Female,
2015,data.Canada,data.Care of household adults,data.45 to 54 years,data.Both sexes,
2015,data.Canada,data.Care of household adults,data.45 to 54 years,data.Male,
2015,data.Canada,data.Care of household adults,data.45 to 54 years,data.Female,
2015,data.Canada,data.Care of household adults,data.55 to 64 years,data.Both sexes,
2015,data.Canada,data.Care of household adults,data.55 to 64 years,data.Male,
2015,data.Canada,data.Care of household adults,data.55 to 64 years,data.Female,0.4
2015,data.Canada,data.Care of household adults,data.65 years and over,data.Both sexes,
2015,data.Canada,data.Care of household adults,data.65 years and over,data.Male,
2015,data.Canada,data.Care of household adults,data.65 years and over,data.Female,
2015,data.Canada,data.Shopping for goods or services,"data.Total, 15 years and over",data.Both sexes,2.1
2015,data.Canada,data.Shopping for goods or services,"data.Total, 15 years and over",data.Male,1.7
2015,data.Canada,data.Shopping for goods or services,"data.Total, 15 years and over",data.Female,2.5
2015,data.Canada,data.Shopping for goods or services,data.15 to 24 years,data.Both sexes,1.3
2015,data.Canada,data.Shopping for goods or services,data.15 to 24 years,data.Male,0.8
2015,data.Canada,data.Shopping for goods or services,data.15 to 24 years,data.Female,1.7
2015,data.Canada,data.Shopping for goods or services,data.25 to 54 years,data.Both sexes,1.7
2015,data.Canada,data.Shopping for goods or services,data.25 to 54 years,data.Male,1.3
2015,data.Canada,data.Shopping for goods or services,data.25 to 54 years,data.Female,2.1
2015,data.Canada,data.Shopping for goods or services,data.25 to 34 years,data.Both sexes,1.7
2015,data.Canada,data.Shopping for goods or services,data.25 to 34 years,data.Male,1.3
2015,data.Canada,data.Shopping for goods or services,data.25 to 34 years,data.Female,2.1
2015,data.Canada,data.Shopping for goods or services,data.35 to 44 years,data.Both sexes,1.7
2015,data.Canada,data.Shopping for goods or services,data.35 to 44 years,data.Male,1.7
2015,data.Canada,data.Shopping for goods or services,data.35 to 44 years,data.Female,2.1
2015,data.Canada,data.Shopping for goods or services,data.45 to 54 years,data.Both sexes,2.1
2015,data.Canada,data.Shopping for goods or services,data.45 to 54 years,data.Male,1.7
2015,data.Canada,data.Shopping for goods or services,data.45 to 54 years,data.Female,2.5
2015,data.Canada,data.Shopping for goods or services,data.55 to 64 years,data.Both sexes,2.5
2015,data.Canada,data.Shopping for goods or services,data.55 to 64 years,data.Male,2.1
2015,data.Canada,data.Shopping for goods or services,data.55 to 64 years,data.Female,2.9
2015,data.Canada,data.Shopping for goods or services,data.65 years and over,data.Both sexes,2.5
2015,data.Canada,data.Shopping for goods or services,data.65 years and over,data.Male,2.5
2015,data.Canada,data.Shopping for goods or services,data.65 years and over,data.Female,2.9
2015,data.Atlantic,data.Unpaid work activities,"data.Total, 15 years and over",data.Both sexes,13.3
2015,data.Atlantic,data.Unpaid work activities,"data.Total, 15 years and over",data.Male,11.3
2015,data.Atlantic,data.Unpaid work activities,"data.Total, 15 years and over",data.Female,15.4
2015,data.Atlantic,data.Unpaid work activities,data.15 to 24 years,data.Both sexes,5.8
2015,data.Atlantic,data.Unpaid work activities,data.15 to 24 years,data.Male,5.4
2015,data.Atlantic,data.Unpaid work activities,data.15 to 24 years,data.Female,6.3
2015,data.Atlantic,data.Unpaid work activities,data.25 to 54 years,data.Both sexes,13.8
2015,data.Atlantic,data.Unpaid work activities,data.25 to 54 years,data.Male,11.3
2015,data.Atlantic,data.Unpaid work activities,data.25 to 54 years,data.Female,16.3
2015,data.Atlantic,data.Unpaid work activities,data.25 to 34 years,data.Both sexes,12.5
2015,data.Atlantic,data.Unpaid work activities,data.25 to 34 years,data.Male,8.8
2015,data.Atlantic,data.Unpaid work activities,data.25 to 34 years,data.Female,15.8
2015,data.Atlantic,data.Unpaid work activities,data.35 to 44 years,data.Both sexes,14.6
2015,data.Atlantic,data.Unpaid work activities,data.35 to 44 years,data.Male,12.5
2015,data.Atlantic,data.Unpaid work activities,data.35 to 44 years,data.Female,17.1
2015,data.Atlantic,data.Unpaid work activities,data.45 to 54 years,data.Both sexes,14.2
2015,data.Atlantic,data.Unpaid work activities,data.45 to 54 years,data.Male,11.7
2015,data.Atlantic,data.Unpaid work activities,data.45 to 54 years,data.Female,16.3
2015,data.Atlantic,data.Unpaid work activities,data.55 to 64 years,data.Both sexes,15.4
2015,data.Atlantic,data.Unpaid work activities,data.55 to 64 years,data.Male,13.3
2015,data.Atlantic,data.Unpaid work activities,data.55 to 64 years,data.Female,17.5
2015,data.Atlantic,data.Unpaid work activities,data.65 years and over,data.Both sexes,15.0
2015,data.Atlantic,data.Unpaid work activities,data.65 years and over,data.Male,13.3
2015,data.Atlantic,data.Unpaid work activities,data.65 years and over,data.Female,16.7
2015,data.Atlantic,data.Household chores,"data.Total, 15 years and over",data.Both sexes,9.2
2015,data.Atlantic,data.Household chores,"data.Total, 15 years and over",data.Male,8.3
2015,data.Atlantic,data.Household chores,"data.Total, 15 years and over",data.Female,10.4
2015,data.Atlantic,data.Household chores,data.15 to 24 years,data.Both sexes,4.2
2015,data.Atlantic,data.Household chores,data.15 to 24 years,data.Male,4.6
2015,data.Atlantic,data.Household chores,data.15 to 24 years,data.Female,3.8
2015,data.Atlantic,data.Household chores,data.25 to 54 years,data.Both sexes,8.8
2015,data.Atlantic,data.Household chores,data.25 to 54 years,data.Male,7.5
2015,data.Atlantic,data.Household chores,data.25 to 54 years,data.Female,10.0
2015,data.Atlantic,data.Household chores,data.25 to 34 years,data.Both sexes,6.7
