Year,Geography,Selected diseases,Target population,Gender,GeoCode,Value
2015,Canada,Diphtheria,Recommended vaccines for 2-year-old children,Total - Gender,11124,76.9
2015,Canada,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Total - Gender,11124,77.0
2015,Canada,Tetanus,Recommended vaccines for 2-year-old children,Total - Gender,11124,76.7
2015,Canada,Polio,Recommended vaccines for 2-year-old children,Total - Gender,11124,91.2
2015,Canada,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Total - Gender,11124,71.9
2015,Canada,Measles,Recommended vaccines for 2-year-old children,Total - Gender,11124,89.2
2015,Canada,Mumps,Recommended vaccines for 2-year-old children,Total - Gender,11124,88.9
2015,Canada,Rubella,Recommended vaccines for 2-year-old children,Total - Gender,11124,88.9
2015,Canada,Hepatitis B,Recommended vaccines for 2-year-old children,Total - Gender,11124,69.2
2015,Canada,Varicella,Recommended vaccines for 2-year-old children,Total - Gender,11124,74.8
2015,Canada,Meningococcal type C,Recommended vaccines for 2-year-old children,Total - Gender,11124,87.8
2015,Canada,Pneumococcal,Recommended vaccines for 2-year-old children,Total - Gender,11124,80.3
2015,Canada,Rotavirus,Recommended vaccines for 2-year-old children,Total - Gender,11124,75.4
2015,Canada,Diphtheria,Recommended vaccines for 7-year-old children,Total - Gender,11124,74.6
2015,Canada,Pertussis (whooping cough),Recommended vaccines for 7-year-old children,Total - Gender,11124,74.9
2015,Canada,Tetanus,Recommended vaccines for 7-year-old children,Total - Gender,11124,74.6
2015,Canada,Polio,Recommended vaccines for 7-year-old children,Total - Gender,11124,90.2
2015,Canada,Haemophilus influenzae type B (Hib),Recommended vaccines for 7-year-old children,Total - Gender,11124,77.3
2015,Canada,Measles,Recommended vaccines for 7-year-old children,Total - Gender,11124,85.8
2015,Canada,Mumps,Recommended vaccines for 7-year-old children,Total - Gender,11124,86.2
2015,Canada,Rubella,Recommended vaccines for 7-year-old children,Total - Gender,11124,93.5
2015,Canada,Human Papillomavirus (HPV),Recommended vaccines for 14-year-old children,Women+,11124,74.6
2015,Canada,Diphtheria,Recommended vaccines for 17-year-old children,Total - Gender,11124,62.2
2015,Canada,Pertussis (whooping cough),Recommended vaccines for 17-year-old children,Total - Gender,11124,60.2
2015,Canada,Tetanus,Recommended vaccines for 17-year-old children,Total - Gender,11124,60.9
2015,Canada,Polio,Recommended vaccines for 17-year-old children,Total - Gender,11124,87.2
2015,Canada,Haemophilus influenzae type B (Hib),Recommended vaccines for 17-year-old children,Total - Gender,11124,74.9
2015,Canada,Measles,Recommended vaccines for 17-year-old children,Total - Gender,11124,89.2
2015,Canada,Mumps,Recommended vaccines for 17-year-old children,Total - Gender,11124,87.7
2015,Canada,Rubella,Recommended vaccines for 17-year-old children,Total - Gender,11124,95.1
2015,Canada,Hepatitis B,Recommended vaccines for 17-year-old children,Total - Gender,11124,88.1
2017,Canada,Diphtheria,Recommended vaccines for 2-year-old children,Total - Gender,11124,75.8
2017,Canada,Pertussis (whooping cough),Recommended vaccines for 2-year-old children,Total - Gender,11124,75.8
2017,Canada,Tetanus,Recommended vaccines for 2-year-old children,Total - Gender,11124,75.8
2017,Canada,Polio,Recommended vaccines for 2-year-old children,Total - Gender,11124,90.7
2017,Canada,Haemophilus influenzae type B (Hib),Recommended vaccines for 2-year-old children,Total - Gender,11124,73.4
2017,Canada,Measles,Recommended vaccines for 2-year-old children,Total - Gender,11124,90.2
2017,Canada,Mumps,Recommended vaccines for 2-year-old children,Total - Gender,11124,89.9
