Year,Geography,GeoCode,Value
2015,,,0.314
2016,,,0.306
2017,,,0.309
2018,,,0.304
2019,,,0.299
2020,,,0.281
2021,,,0.288
2015,Newfoundland and Labrador,10,0.314
2015,Prince Edward Island,11,0.282
2015,Nova Scotia,12,0.297
2015,New Brunswick,13,0.273
2015,Quebec,24,0.284
2015,Ontario,35,0.317
2015,Manitoba,46,0.3
2015,Saskatchewan,47,0.302
2015,Alberta,48,0.322
2015,British Columbia,59,0.314
2016,Newfoundland and Labrador,10,0.302
2016,Prince Edward Island,11,0.278
2016,Nova Scotia,12,0.297
2016,New Brunswick,13,0.279
2016,Quebec,24,0.283
2016,Ontario,35,0.318
2016,Manitoba,46,0.289
2016,Saskatchewan,47,0.289
2016,Alberta,48,0.296
2016,British Columbia,59,0.298
2017,Newfoundland and Labrador,10,0.309
2017,Prince Edward Island,11,0.287
2017,Nova Scotia,12,0.295
2017,New Brunswick,13,0.278
2017,Quebec,24,0.287
2017,Ontario,35,0.321
2017,Manitoba,46,0.304
2017,Saskatchewan,47,0.302
2017,Alberta,48,0.294
2017,British Columbia,59,0.303
2018,Newfoundland and Labrador,10,0.298
2018,Prince Edward Island,11,0.286
2018,Nova Scotia,12,0.288
2018,New Brunswick,13,0.283
2018,Quebec,24,0.283
2018,Ontario,35,0.313
2018,Manitoba,46,0.291
2018,Saskatchewan,47,0.289
2018,Alberta,48,0.296
2018,British Columbia,59,0.304
2019,Newfoundland and Labrador,10,0.302
2019,Prince Edward Island,11,0.266
2019,Nova Scotia,12,0.277
2019,New Brunswick,13,0.272
2019,Quebec,24,0.282
2019,Ontario,35,0.304
2019,Manitoba,46,0.29
2019,Saskatchewan,47,0.291
2019,Alberta,48,0.291
2019,British Columbia,59,0.305
2020,Newfoundland and Labrador,10,0.27
2020,Prince Edward Island,11,0.257
2020,Nova Scotia,12,0.26
2020,New Brunswick,13,0.265
2020,Quebec,24,0.261
2020,Ontario,35,0.29
2020,Manitoba,46,0.269
2020,Saskatchewan,47,0.266
2020,Alberta,48,0.274
2020,British Columbia,59,0.28
2021,Newfoundland and Labrador,10,0.282
2021,Prince Edward Island,11,0.252
2021,Nova Scotia,12,0.264
2021,New Brunswick,13,0.266
2021,Quebec,24,0.264
2021,Ontario,35,0.296
2021,Manitoba,46,0.278
2021,Saskatchewan,47,0.274
2021,Alberta,48,0.295
2021,British Columbia,59,0.291
