Year,data.Geography,data.Age group,data.Sex,Value
2015,,,,19.2
2016,,,,19.0
2017,,,,19.5
2018,,,,19.1
2019,,,,18.3
2020,,,,16.6
2015,data.Canada,"data.Total, 12 years and over",data.Males,24.1
2016,data.Canada,"data.Total, 12 years and over",data.Males,23.8
2017,data.Canada,"data.Total, 12 years and over",data.Males,23.8
2018,data.Canada,"data.Total, 12 years and over",data.Males,23.5
2019,data.Canada,"data.Total, 12 years and over",data.Males,22.8
2020,data.Canada,"data.Total, 12 years and over",data.Males,19.9
2015,data.Canada,"data.Total, 12 years and over",data.Females,14.5
2016,data.Canada,"data.Total, 12 years and over",data.Females,14.2
2017,data.Canada,"data.Total, 12 years and over",data.Females,15.4
2018,data.Canada,"data.Total, 12 years and over",data.Females,14.8
2019,data.Canada,"data.Total, 12 years and over",data.Females,14.0
2020,data.Canada,"data.Total, 12 years and over",data.Females,13.3
2015,data.Canada,data.12 to 17 years,data.Both sexes,4.1
2016,data.Canada,data.12 to 17 years,data.Both sexes,4.0
2017,data.Canada,data.12 to 17 years,data.Both sexes,4.2
2018,data.Canada,data.12 to 17 years,data.Both sexes,3.4
2019,data.Canada,data.12 to 17 years,data.Both sexes,2.7
2020,data.Canada,data.12 to 17 years,data.Both sexes,2.8
2015,data.Canada,data.12 to 17 years,data.Males,4.5
2016,data.Canada,data.12 to 17 years,data.Males,3.7
2017,data.Canada,data.12 to 17 years,data.Males,4.0
2018,data.Canada,data.12 to 17 years,data.Males,2.9
2019,data.Canada,data.12 to 17 years,data.Males,3.0
2020,data.Canada,data.12 to 17 years,data.Males,3.6
2015,data.Canada,data.12 to 17 years,data.Females,3.6
2016,data.Canada,data.12 to 17 years,data.Females,4.2
2017,data.Canada,data.12 to 17 years,data.Females,4.5
2018,data.Canada,data.12 to 17 years,data.Females,4.0
2019,data.Canada,data.12 to 17 years,data.Females,2.4
2020,data.Canada,data.12 to 17 years,data.Females,2.0
2015,data.Canada,data.18 to 34 years,data.Both sexes,30.6
2016,data.Canada,data.18 to 34 years,data.Both sexes,29.0
2017,data.Canada,data.18 to 34 years,data.Both sexes,29.7
2018,data.Canada,data.18 to 34 years,data.Both sexes,28.7
2019,data.Canada,data.18 to 34 years,data.Both sexes,26.9
2020,data.Canada,data.18 to 34 years,data.Both sexes,22.4
2015,data.Canada,data.18 to 34 years,data.Males,36.2
2016,data.Canada,data.18 to 34 years,data.Males,34.4
2017,data.Canada,data.18 to 34 years,data.Males,34.8
2018,data.Canada,data.18 to 34 years,data.Males,33.5
2019,data.Canada,data.18 to 34 years,data.Males,31.9
2020,data.Canada,data.18 to 34 years,data.Males,25.1
2015,data.Canada,data.18 to 34 years,data.Females,24.9
2016,data.Canada,data.18 to 34 years,data.Females,23.4
2017,data.Canada,data.18 to 34 years,data.Females,24.5
2018,data.Canada,data.18 to 34 years,data.Females,23.8
2019,data.Canada,data.18 to 34 years,data.Females,21.9
2020,data.Canada,data.18 to 34 years,data.Females,19.6
2015,data.Canada,data.35 to 49 years,data.Both sexes,21.0
2016,data.Canada,data.35 to 49 years,data.Both sexes,21.8
2017,data.Canada,data.35 to 49 years,data.Both sexes,23.1
2018,data.Canada,data.35 to 49 years,data.Both sexes,22.9
2019,data.Canada,data.35 to 49 years,data.Both sexes,22.2
2020,data.Canada,data.35 to 49 years,data.Both sexes,21.0
2015,data.Canada,data.35 to 49 years,data.Males,27.0
2016,data.Canada,data.35 to 49 years,data.Males,27.4
2017,data.Canada,data.35 to 49 years,data.Males,27.5
2018,data.Canada,data.35 to 49 years,data.Males,28.4
2019,data.Canada,data.35 to 49 years,data.Males,28.0
2020,data.Canada,data.35 to 49 years,data.Males,24.9
2015,data.Canada,data.35 to 49 years,data.Females,15.1
2016,data.Canada,data.35 to 49 years,data.Females,16.3
2017,data.Canada,data.35 to 49 years,data.Females,18.8
2018,data.Canada,data.35 to 49 years,data.Females,17.5
2019,data.Canada,data.35 to 49 years,data.Females,16.4
2020,data.Canada,data.35 to 49 years,data.Females,17.1
2015,data.Canada,data.50 to 64 years,data.Both sexes,18.9
2016,data.Canada,data.50 to 64 years,data.Both sexes,18.8
2017,data.Canada,data.50 to 64 years,data.Both sexes,18.8
2018,data.Canada,data.50 to 64 years,data.Both sexes,19.0
2019,data.Canada,data.50 to 64 years,data.Both sexes,18.8
2020,data.Canada,data.50 to 64 years,data.Both sexes,18.1
2015,data.Canada,data.50 to 64 years,data.Males,23.8
2016,data.Canada,data.50 to 64 years,data.Males,24.3
2017,data.Canada,data.50 to 64 years,data.Males,23.4
2018,data.Canada,data.50 to 64 years,data.Males,23.7
2019,data.Canada,data.50 to 64 years,data.Males,23.2
2020,data.Canada,data.50 to 64 years,data.Males,22.0
2015,data.Canada,data.50 to 64 years,data.Females,14.0
2016,data.Canada,data.50 to 64 years,data.Females,13.4
2017,data.Canada,data.50 to 64 years,data.Females,14.2
2018,data.Canada,data.50 to 64 years,data.Females,14.2
2019,data.Canada,data.50 to 64 years,data.Females,14.5
2020,data.Canada,data.50 to 64 years,data.Females,14.3
2015,data.Canada,data.65 years and over,data.Both sexes,6.7
2016,data.Canada,data.65 years and over,data.Both sexes,7.2
2017,data.Canada,data.65 years and over,data.Both sexes,7.8
2018,data.Canada,data.65 years and over,data.Both sexes,7.4
