Year,Geography,Age group,Gender,GeoCode,Value
2015,,,,,13.0
2016,,,,,13.0
2017,,,,,12.0
2018,,,,,12.0
2019,,,,,11.0
2020,,,,,14.0
2021,,,,,14.0
2022,,,,,11.0
2023,,,,,11.0
2024,,,,,12.0
2025,,,,,12.0
2015,Canada,"Total, 15 to 29 years",Men+,,13.0
2015,Canada,"Total, 15 to 29 years",Women+,,13.0
2015,Canada,15 to 19 years,Total - Gender,,7.0
2015,Canada,15 to 19 years,Men+,,7.0
2015,Canada,15 to 19 years,Women+,,6.0
2015,Canada,15 to 24 years,Total - Gender,,11.0
2015,Canada,15 to 24 years,Men+,,12.0
2015,Canada,15 to 24 years,Women+,,9.0
2015,Canada,18 to 24 years,Total - Gender,,13.0
2015,Canada,18 to 24 years,Men+,,14.0
2015,Canada,18 to 24 years,Women+,,11.0
2015,Canada,20 to 24 years,Total - Gender,,14.0
2015,Canada,20 to 24 years,Men+,,15.0
2015,Canada,20 to 24 years,Women+,,12.0
2015,Canada,25 to 29 years,Total - Gender,,17.0
2015,Canada,25 to 29 years,Men+,,16.0
2015,Canada,25 to 29 years,Women+,,18.0
2015,Newfoundland and Labrador,"Total, 15 to 29 years",Total - Gender,10,17.0
2015,Newfoundland and Labrador,"Total, 15 to 29 years",Men+,10,19.0
2015,Newfoundland and Labrador,"Total, 15 to 29 years",Women+,10,15.0
2015,Newfoundland and Labrador,15 to 19 years,Total - Gender,10,7.0
2015,Newfoundland and Labrador,15 to 19 years,Men+,10,10.0
2015,Newfoundland and Labrador,15 to 19 years,Women+,10,
2015,Newfoundland and Labrador,15 to 24 years,Total - Gender,10,14.0
2015,Newfoundland and Labrador,15 to 24 years,Men+,10,18.0
2015,Newfoundland and Labrador,15 to 24 years,Women+,10,10.0
2015,Newfoundland and Labrador,18 to 24 years,Total - Gender,10,19.0
2015,Newfoundland and Labrador,18 to 24 years,Men+,10,24.0
2015,Newfoundland and Labrador,18 to 24 years,Women+,10,13.0
2015,Newfoundland and Labrador,20 to 24 years,Total - Gender,10,21.0
2015,Newfoundland and Labrador,20 to 24 years,Men+,10,26.0
2015,Newfoundland and Labrador,20 to 24 years,Women+,10,15.0
2015,Newfoundland and Labrador,25 to 29 years,Total - Gender,10,23.0
2015,Newfoundland and Labrador,25 to 29 years,Men+,10,22.0
2015,Newfoundland and Labrador,25 to 29 years,Women+,10,24.0
2015,Prince Edward Island,"Total, 15 to 29 years",Total - Gender,11,15.0
2015,Prince Edward Island,"Total, 15 to 29 years",Men+,11,15.0
2015,Prince Edward Island,"Total, 15 to 29 years",Women+,11,14.0
2015,Prince Edward Island,15 to 19 years,Total - Gender,11,7.0
2015,Prince Edward Island,15 to 19 years,Men+,11,
2015,Prince Edward Island,15 to 19 years,Women+,11,
2015,Prince Edward Island,15 to 24 years,Total - Gender,11,13.0
2015,Prince Edward Island,15 to 24 years,Men+,11,16.0
2015,Prince Edward Island,15 to 24 years,Women+,11,10.0
2015,Prince Edward Island,18 to 24 years,Total - Gender,11,17.0
2015,Prince Edward Island,18 to 24 years,Men+,11,22.0
2015,Prince Edward Island,18 to 24 years,Women+,11,12.0
2015,Prince Edward Island,20 to 24 years,Total - Gender,11,18.0
2015,Prince Edward Island,20 to 24 years,Men+,11,24.0
2015,Prince Edward Island,20 to 24 years,Women+,11,12.0
2015,Prince Edward Island,25 to 29 years,Total - Gender,11,19.0
2015,Prince Edward Island,25 to 29 years,Men+,11,15.0
2015,Prince Edward Island,25 to 29 years,Women+,11,23.0
2015,Nova Scotia,"Total, 15 to 29 years",Total - Gender,12,13.0
2015,Nova Scotia,"Total, 15 to 29 years",Men+,12,14.0
2015,Nova Scotia,"Total, 15 to 29 years",Women+,12,12.0
2015,Nova Scotia,15 to 19 years,Total - Gender,12,9.0
2015,Nova Scotia,15 to 19 years,Men+,12,11.0
2015,Nova Scotia,15 to 19 years,Women+,12,6.0
2015,Nova Scotia,15 to 24 years,Total - Gender,12,11.0
2015,Nova Scotia,15 to 24 years,Men+,12,13.0
2015,Nova Scotia,15 to 24 years,Women+,12,10.0
2015,Nova Scotia,18 to 24 years,Total - Gender,12,15.0
2015,Nova Scotia,18 to 24 years,Men+,12,16.0
