Year,Series,Demographic and geodemographic,Geography,GeoCode,Value
2016,Total,Percentage of population within 500 metres of a public transit stop,Newfoundland and Labrador,10,26.7
2016,Total,Percentage of population within 500 metres of a public transit stop,Prince Edward Island,11,16.9
2016,Total,Percentage of population within 500 metres of a public transit stop,Nova Scotia,12,37.6
2016,Total,Percentage of population within 500 metres of a public transit stop,New Brunswick,13,28.8
2016,Total,Percentage of population within 500 metres of a public transit stop,Ontario,24,75.2
2016,Total,Percentage of population within 500 metres of a public transit stop,Quebec,24,66.6
2016,Total,Percentage of population within 500 metres of a public transit stop,Manitoba,46,57.4
2016,Total,Percentage of population within 500 metres of a public transit stop,Saskatchewan,47,50.3
2016,Total,Percentage of population within 500 metres of a public transit stop,Alberta,48,67.9
2016,Total,Percentage of population within 500 metres of a public transit stop,British Columbia,59,78.4
2016,Total,Percentage of population within 500 metres of a public transit stop,Yukon,60,56.3
2016,Total,Percentage of population within 500 metres of a public transit stop,Northwest Territories,61,41.4
2016,Total,Percentage of population within 500 metres of a public transit stop,Nunavut,62,0.0
2016,Total,Percentage of population within 500 metres of a public transit stop,"Abbotsford - Mission, British Columbia",,79.3
2016,Total,Percentage of population within 500 metres of a public transit stop,"Barrie, Ontario",,66.8
2016,Total,Percentage of population within 500 metres of a public transit stop,"Belleville, Ontario",,57.1
2016,Total,Percentage of population within 500 metres of a public transit stop,"Brantford, Ontario",,69.6
2016,Total,Percentage of population within 500 metres of a public transit stop,"Calgary, Alberta",,88.9
2016,Total,Percentage of population within 500 metres of a public transit stop,"Edmonton, Alberta",,82.7
2016,Total,Percentage of population within 500 metres of a public transit stop,"Greater Sudbury / Grand Sudbury, Ontario",,66.5
2016,Total,Percentage of population within 500 metres of a public transit stop,"Guelph, Ontario",,83.5
2016,Total,Percentage of population within 500 metres of a public transit stop,"Halifax, Nova Scotia",,70.9
2016,Total,Percentage of population within 500 metres of a public transit stop,"Hamilton, Ontario",,81.1
2016,Total,Percentage of population within 500 metres of a public transit stop,"Kelowna, British Columbia",,73.7
2016,Total,Percentage of population within 500 metres of a public transit stop,"Kingston, Ontario",,69.4
2016,Total,Percentage of population within 500 metres of a public transit stop,"Kitchener - Cambridge - Waterloo, Ontario",,86.2
2016,Total,Percentage of population within 500 metres of a public transit stop,"Lethbridge, Alberta",,71.6
2016,Total,Percentage of population within 500 metres of a public transit stop,"London, Ontario",,77.7
2016,Total,Percentage of population within 500 metres of a public transit stop,"Moncton, New Brunswick",,65.4
2016,Total,Percentage of population within 500 metres of a public transit stop,"Montreal, Quebec",,91.6
2016,Total,Percentage of population within 500 metres of a public transit stop,"Oshawa, Ontario",,88.7
2016,Total,Percentage of population within 500 metres of a public transit stop,"Ottawa - Gatineau (Ontario part), Ontario",,85.0
2016,Total,Percentage of population within 500 metres of a public transit stop,"Ottawa - Gatineau (Quebec part), Quebec",,77.2
2016,Total,Percentage of population within 500 metres of a public transit stop,"Peterborough, Ontario",,62.7
2016,Total,Percentage of population within 500 metres of a public transit stop,"Quebec, Quebec",,83.1
2016,Total,Percentage of population within 500 metres of a public transit stop,"Regina, Saskatchewan",,90.4
2016,Total,Percentage of population within 500 metres of a public transit stop,"Saguenay, Quebec",,75.4
2016,Total,Percentage of population within 500 metres of a public transit stop,"Saint John, New Brunswick",,49.1
2016,Total,Percentage of population within 500 metres of a public transit stop,"Saskatoon, Saskatchewan",,82.6
2016,Total,Percentage of population within 500 metres of a public transit stop,"Sherbrooke, Quebec",,76.4
2016,Total,Percentage of population within 500 metres of a public transit stop,"St. Catharines - Niagara, Ontario",,80.9
2016,Total,Percentage of population within 500 metres of a public transit stop,"St. John's, Newfoundland and Labrador",,59.9
2016,Total,Percentage of population within 500 metres of a public transit stop,"Thunder Bay, Ontario",,76.3
2016,Total,Percentage of population within 500 metres of a public transit stop,"Toronto, Ontario",,93.0
2016,Total,Percentage of population within 500 metres of a public transit stop,"Trois-Rivières, Quebec",,75.4
2016,Total,Percentage of population within 500 metres of a public transit stop,"Vancouver, British Columbia",,92.7
2016,Total,Percentage of population within 500 metres of a public transit stop,"Victoria, British Columbia",,90.4
2016,Total,Percentage of population within 500 metres of a public transit stop,"Windsor, Ontario",,67.1
2016,Total,Percentage of population within 500 metres of a public transit stop,"Winnipeg, Manitoba",,88.2
2021,Age,0 to 14 years,Newfoundland and Labrador,10,6.9
2021,Age,15 to 64 years,Newfoundland and Labrador,10,36.2
2021,Age,65 years and over,Newfoundland and Labrador,10,11.4
2021,Gender,Men+,Newfoundland and Labrador,10,26.3
2021,Total,Percentage of population within 500 metres of a public transit stop,Newfoundland and Labrador,10,54.5
2021,Gender,Women+,Newfoundland and Labrador,10,28.2
2021,Age,0 to 14 years,Prince Edward Island,11,5.3
2021,Age,15 to 64 years,Prince Edward Island,11,24.1
2021,Age,65 years and over,Prince Edward Island,11,7.9
2021,Gender,Men+,Prince Edward Island,11,19.5
2021,Total,Percentage of population within 500 metres of a public transit stop,Prince Edward Island,11,40.8
2021,Gender,Women+,Prince Edward Island,11,21.2
2021,Age,0 to 14 years,Nova Scotia,12,8.0
2021,Age,15 to 64 years,Nova Scotia,12,39.2
2021,Age,65 years and over,Nova Scotia,12,11.1
2021,Gender,Men+,Nova Scotia,12,28.1
2021,Total,Percentage of population within 500 metres of a public transit stop,Nova Scotia,12,58.3
2021,Gender,Women+,Nova Scotia,12,30.2
2021,Age,0 to 14 years,New Brunswick,13,7.5
2021,Age,15 to 64 years,New Brunswick,13,33.3
2021,Age,65 years and over,New Brunswick,13,10.3
2021,Gender,Men+,New Brunswick,13,24.6
2021,Total,Percentage of population within 500 metres of a public transit stop,New Brunswick,13,51.1
2021,Gender,Women+,New Brunswick,13,26.5
2021,Age,0 to 14 years,Ontario,24,11.4
2021,Age,15 to 64 years,Ontario,24,49.5
2021,Age,65 years and over,Ontario,24,12.9
2021,Gender,Men+,Ontario,24,35.9
2021,Total,Percentage of population within 500 metres of a public transit stop,Ontario,24,73.8
2021,Gender,Women+,Ontario,24,37.9
2021,Age,0 to 14 years,Quebec,24,12.6
2021,Age,15 to 64 years,Quebec,24,50.7
2021,Age,65 years and over,Quebec,24,15.9
2021,Gender,Men+,Quebec,24,38.7
2021,Total,Percentage of population within 500 metres of a public transit stop,Quebec,24,79.2
2021,Gender,Women+,Quebec,24,40.5
2021,Age,0 to 14 years,Manitoba,46,13.8
2021,Age,15 to 64 years,Manitoba,46,55.0
2021,Age,65 years and over,Manitoba,46,14.0
2021,Gender,Men+,Manitoba,46,40.7
2021,Total,Percentage of population within 500 metres of a public transit stop,Manitoba,46,82.7
2021,Gender,Women+,Manitoba,46,42.0
2021,Age,0 to 14 years,Saskatchewan,47,14.9
2021,Age,15 to 64 years,Saskatchewan,47,52.1
2021,Age,65 years and over,Saskatchewan,47,12.8
2021,Gender,Men+,Saskatchewan,47,78.1
2021,Total,Percentage of population within 500 metres of a public transit stop,Saskatchewan,47,79.7
2021,Gender,Women+,Saskatchewan,47,81.3
2021,Age,0 to 14 years,Alberta,48,13.8
2021,Age,15 to 64 years,Alberta,48,51.9
2021,Age,65 years and over,Alberta,48,10.7
2021,Gender,Men+,Alberta,48,38.0
2021,Total,Percentage of population within 500 metres of a public transit stop,Alberta,48,76.4
2021,Gender,Women+,Alberta,48,38.5
2021,Age,0 to 14 years,British Columbia,59,10.6
2021,Age,15 to 64 years,British Columbia,59,50.4
2021,Age,65 years and over,British Columbia,59,14.9
2021,Gender,Men+,British Columbia,59,37.0
2021,Total,Percentage of population within 500 metres of a public transit stop,British Columbia,59,75.9
2021,Gender,Women+,British Columbia,59,38.9
2021,Age,0 to 14 years,Yukon,60,13.2
2021,Age,15 to 64 years,Yukon,60,52.1
2021,Age,65 years and over,Yukon,60,10.1
2021,Gender,Men+,Yukon,60,37.0
2021,Total,Percentage of population within 500 metres of a public transit stop,Yukon,60,75.5
2021,Gender,Women+,Yukon,60,38.5
2021,Age,0 to 14 years,Northwest Territories,61,17.7
2021,Age,15 to 64 years,Northwest Territories,61,63.1
2021,Age,65 years and over,Northwest Territories,61,7.0
2021,Gender,Men+,Northwest Territories,61,43.7
2021,Total,Percentage of population within 500 metres of a public transit stop,Northwest Territories,61,87.9
2021,Gender,Women+,Northwest Territories,61,44.2
2021,Age,0 to 14 years,Canada,,11.8
2021,Age,15 to 64 years,Canada,,49.7
2021,Age,65 years and over,Canada,,13.6
2021,Gender,Men+,Canada,,37.6
2021,Total,Percentage of population within 500 metres of a public transit stop,Canada,,75.1
2021,Gender,Women+,Canada,,39.3
