Year,Geography,Age group,Sex,GeoCode,Value
2015,,,,,31.5
2016,,,,,30.0
2017,,,,,28.6
2018,,,,,
2019,,,,,
2020,,,,,25.4
2021,,,,,21.8
2022,,,,,
2015,Canada,"Total, 12 years and over",Males,,24.8
2015,Canada,"Total, 12 years and over",Females,,38.0
2015,Canada,12 to 17 years,Both sexes,,31.3
2015,Canada,12 to 17 years,Males,,30.3
2015,Canada,12 to 17 years,Females,,32.3
2015,Canada,18 to 34 years,Both sexes,,31.3
2015,Canada,18 to 34 years,Males,,25.8
2015,Canada,18 to 34 years,Females,,36.8
2015,Canada,35 to 49 years,Both sexes,,32.9
2015,Canada,35 to 49 years,Males,,25.2
2015,Canada,35 to 49 years,Females,,40.3
2015,Canada,50 to 64 years,Both sexes,,30.6
2015,Canada,50 to 64 years,Males,,21.7
2015,Canada,50 to 64 years,Females,,39.4
2015,Canada,65 years and over,Both sexes,,31.5
2015,Canada,65 years and over,Males,,24.9
2015,Canada,65 years and over,Females,,36.9
2015,Newfoundland and Labrador,"Total, 12 years and over",Both sexes,10,22.5
2015,Newfoundland and Labrador,"Total, 12 years and over",Males,10,19.3
2015,Newfoundland and Labrador,"Total, 12 years and over",Females,10,25.5
2015,Newfoundland and Labrador,12 to 17 years,Both sexes,10,25.6
2015,Newfoundland and Labrador,12 to 17 years,Males,10,24.8
2015,Newfoundland and Labrador,12 to 17 years,Females,10,26.5
2015,Newfoundland and Labrador,18 to 34 years,Both sexes,10,18.9
2015,Newfoundland and Labrador,18 to 34 years,Males,10,16.9
2015,Newfoundland and Labrador,18 to 34 years,Females,10,20.9
2015,Newfoundland and Labrador,35 to 49 years,Both sexes,10,27.1
2015,Newfoundland and Labrador,35 to 49 years,Males,10,20.7
2015,Newfoundland and Labrador,35 to 49 years,Females,10,32.8
2015,Newfoundland and Labrador,50 to 64 years,Both sexes,10,21.2
2015,Newfoundland and Labrador,50 to 64 years,Males,10,17.3
2015,Newfoundland and Labrador,50 to 64 years,Females,10,24.9
2015,Newfoundland and Labrador,65 years and over,Both sexes,10,21.8
2015,Newfoundland and Labrador,65 years and over,Males,10,21.4
2015,Newfoundland and Labrador,65 years and over,Females,10,22.1
2015,Prince Edward Island,"Total, 12 years and over",Both sexes,11,27.2
2015,Prince Edward Island,"Total, 12 years and over",Males,11,21.2
2015,Prince Edward Island,"Total, 12 years and over",Females,11,32.8
2015,Prince Edward Island,12 to 17 years,Both sexes,11,25.6
2015,Prince Edward Island,12 to 17 years,Males,11,22.6
2015,Prince Edward Island,12 to 17 years,Females,11,28.6
2015,Prince Edward Island,18 to 34 years,Both sexes,11,29.2
2015,Prince Edward Island,18 to 34 years,Males,11,24.5
2015,Prince Edward Island,18 to 34 years,Females,11,33.7
2015,Prince Edward Island,35 to 49 years,Both sexes,11,30.2
2015,Prince Edward Island,35 to 49 years,Males,11,21.2
2015,Prince Edward Island,35 to 49 years,Females,11,38.7
2015,Prince Edward Island,50 to 64 years,Both sexes,11,23.0
2015,Prince Edward Island,50 to 64 years,Males,11,19.4
2015,Prince Edward Island,50 to 64 years,Females,11,26.6
2015,Prince Edward Island,65 years and over,Both sexes,11,27.5
2015,Prince Edward Island,65 years and over,Males,11,18.8
2015,Prince Edward Island,65 years and over,Females,11,34.6
2015,Nova Scotia,"Total, 12 years and over",Both sexes,12,25.3
2015,Nova Scotia,"Total, 12 years and over",Males,12,17.2
2015,Nova Scotia,"Total, 12 years and over",Females,12,32.9
2015,Nova Scotia,12 to 17 years,Both sexes,12,21.2
2015,Nova Scotia,12 to 17 years,Males,12,21.5
2015,Nova Scotia,12 to 17 years,Females,12,20.8
2015,Nova Scotia,18 to 34 years,Both sexes,12,26.3
2015,Nova Scotia,18 to 34 years,Males,12,18.8
2015,Nova Scotia,18 to 34 years,Females,12,33.9
2015,Nova Scotia,35 to 49 years,Both sexes,12,27.3
2015,Nova Scotia,35 to 49 years,Males,12,12.7
2015,Nova Scotia,35 to 49 years,Females,12,40.9
2015,Nova Scotia,50 to 64 years,Both sexes,12,24.7
2015,Nova Scotia,50 to 64 years,Males,12,16.1
2015,Nova Scotia,50 to 64 years,Females,12,32.6
2015,Nova Scotia,65 years and over,Both sexes,12,24.4
2015,Nova Scotia,65 years and over,Males,12,20.1
2015,Nova Scotia,65 years and over,Females,12,27.8
2015,New Brunswick,"Total, 12 years and over",Both sexes,13,28.8
2015,New Brunswick,"Total, 12 years and over",Males,13,23.0
2015,New Brunswick,"Total, 12 years and over",Females,13,34.1
2015,New Brunswick,12 to 17 years,Both sexes,13,33.1
2015,New Brunswick,12 to 17 years,Males,13,24.6
2015,New Brunswick,12 to 17 years,Females,13,41.6
2015,New Brunswick,18 to 34 years,Both sexes,13,37.6
2015,New Brunswick,18 to 34 years,Males,13,29.9
2015,New Brunswick,18 to 34 years,Females,13,45.5
2015,New Brunswick,35 to 49 years,Both sexes,13,26.2
2015,New Brunswick,35 to 49 years,Males,13,18.4
2015,New Brunswick,35 to 49 years,Females,13,33.0
2015,New Brunswick,50 to 64 years,Both sexes,13,23.8
2015,New Brunswick,50 to 64 years,Males,13,23.3
2015,New Brunswick,50 to 64 years,Females,13,24.3
2015,New Brunswick,65 years and over,Both sexes,13,27.4
2015,New Brunswick,65 years and over,Males,13,18.5
2015,New Brunswick,65 years and over,Females,13,34.3
2015,Quebec,"Total, 12 years and over",Both sexes,24,38.8
2015,Quebec,"Total, 12 years and over",Males,24,30.8
2015,Quebec,"Total, 12 years and over",Females,24,46.7
2015,Quebec,12 to 17 years,Both sexes,24,44.2
2015,Quebec,12 to 17 years,Males,24,44.2
2015,Quebec,12 to 17 years,Females,24,44.3
2015,Quebec,18 to 34 years,Both sexes,24,39.2
2015,Quebec,18 to 34 years,Males,24,37.0
2015,Quebec,18 to 34 years,Females,24,41.5
2015,Quebec,35 to 49 years,Both sexes,24,40.3
2015,Quebec,35 to 49 years,Males,24,30.8
2015,Quebec,35 to 49 years,Females,24,50.1
2015,Quebec,50 to 64 years,Both sexes,24,35.9
2015,Quebec,50 to 64 years,Males,24,23.4
2015,Quebec,50 to 64 years,Females,24,48.8
2015,Quebec,65 years and over,Both sexes,24,38.5
2015,Quebec,65 years and over,Males,24,27.6
2015,Quebec,65 years and over,Females,24,47.7
2015,Ontario,"Total, 12 years and over",Both sexes,35,28.7
2015,Ontario,"Total, 12 years and over",Males,35,22.8
2015,Ontario,"Total, 12 years and over",Females,35,34.2
2015,Ontario,12 to 17 years,Both sexes,35,23.9
2015,Ontario,12 to 17 years,Males,35,22.9
2015,Ontario,12 to 17 years,Females,35,24.9
2015,Ontario,18 to 34 years,Both sexes,35,28.4
2015,Ontario,18 to 34 years,Males,35,22.5
2015,Ontario,18 to 34 years,Females,35,34.2
2015,Ontario,35 to 49 years,Both sexes,35,30.3
2015,Ontario,35 to 49 years,Males,35,23.7
2015,Ontario,35 to 49 years,Females,35,36.5
2015,Ontario,50 to 64 years,Both sexes,35,28.2
2015,Ontario,50 to 64 years,Males,35,20.7
2015,Ontario,50 to 64 years,Females,35,35.5
2015,Ontario,65 years and over,Both sexes,35,29.5
2015,Ontario,65 years and over,Males,35,25.6
2015,Ontario,65 years and over,Females,35,32.6
2015,Manitoba,"Total, 12 years and over",Both sexes,46,29.6
2015,Manitoba,"Total, 12 years and over",Males,46,22.3
2015,Manitoba,"Total, 12 years and over",Females,46,36.6
2015,Manitoba,12 to 17 years,Both sexes,46,42.9
2015,Manitoba,12 to 17 years,Males,46,37.4
2015,Manitoba,12 to 17 years,Females,46,48.6
2015,Manitoba,18 to 34 years,Both sexes,46,33.6
2015,Manitoba,18 to 34 years,Males,46,25.4
2015,Manitoba,18 to 34 years,Females,46,41.7
2015,Manitoba,35 to 49 years,Both sexes,46,30.0
2015,Manitoba,35 to 49 years,Males,46,22.8
2015,Manitoba,35 to 49 years,Females,46,37.0
2015,Manitoba,50 to 64 years,Both sexes,46,23.9
2015,Manitoba,50 to 64 years,Males,46,16.0
2015,Manitoba,50 to 64 years,Females,46,31.8
2015,Manitoba,65 years and over,Both sexes,46,25.1
2015,Manitoba,65 years and over,Males,46,18.4
2015,Manitoba,65 years and over,Females,46,30.6
2015,Saskatchewan,"Total, 12 years and over",Both sexes,47,30.0
2015,Saskatchewan,"Total, 12 years and over",Males,47,22.1
2015,Saskatchewan,"Total, 12 years and over",Females,47,37.9
2015,Saskatchewan,12 to 17 years,Both sexes,47,34.0
2015,Saskatchewan,12 to 17 years,Males,47,31.1
2015,Saskatchewan,12 to 17 years,Females,47,36.8
2015,Saskatchewan,18 to 34 years,Both sexes,47,29.3
2015,Saskatchewan,18 to 34 years,Males,47,21.8
2015,Saskatchewan,18 to 34 years,Females,47,37.0
2015,Saskatchewan,35 to 49 years,Both sexes,47,28.3
2015,Saskatchewan,35 to 49 years,Males,47,20.3
2015,Saskatchewan,35 to 49 years,Females,47,36.5
2015,Saskatchewan,50 to 64 years,Both sexes,47,30.2
2015,Saskatchewan,50 to 64 years,Males,47,19.2
2015,Saskatchewan,50 to 64 years,Females,47,41.9
2015,Saskatchewan,65 years and over,Both sexes,47,31.5
2015,Saskatchewan,65 years and over,Males,47,26.4
2015,Saskatchewan,65 years and over,Females,47,36.1
2015,Alberta,"Total, 12 years and over",Both sexes,48,32.1
2015,Alberta,"Total, 12 years and over",Males,48,25.6
2015,Alberta,"Total, 12 years and over",Females,48,38.8
2015,Alberta,12 to 17 years,Both sexes,48,33.2
2015,Alberta,12 to 17 years,Males,48,31.7
2015,Alberta,12 to 17 years,Females,48,34.8
2015,Alberta,18 to 34 years,Both sexes,48,29.6
2015,Alberta,18 to 34 years,Males,48,21.8
2015,Alberta,18 to 34 years,Females,48,37.9
2015,Alberta,35 to 49 years,Both sexes,48,33.0
2015,Alberta,35 to 49 years,Males,48,28.4
2015,Alberta,35 to 49 years,Females,48,37.9
2015,Alberta,50 to 64 years,Both sexes,48,35.2
2015,Alberta,50 to 64 years,Males,48,26.9
2015,Alberta,50 to 64 years,Females,48,43.8
2015,Alberta,65 years and over,Both sexes,48,30.0
2015,Alberta,65 years and over,Males,48,23.2
2015,Alberta,65 years and over,Females,48,35.9
2015,British Columbia,"Total, 12 years and over",Both sexes,59,29.9
2015,British Columbia,"Total, 12 years and over",Males,59,22.4
2015,British Columbia,"Total, 12 years and over",Females,59,37.0
2015,British Columbia,12 to 17 years,Both sexes,59,28.9
2015,British Columbia,12 to 17 years,Males,59,29.1
2015,British Columbia,12 to 17 years,Females,59,28.8
2015,British Columbia,18 to 34 years,Both sexes,59,29.1
2015,British Columbia,18 to 34 years,Males,59,22.8
2015,British Columbia,18 to 34 years,Females,59,35.5
2015,British Columbia,35 to 49 years,Both sexes,59,31.6
2015,British Columbia,35 to 49 years,Males,59,21.7
2015,British Columbia,35 to 49 years,Females,59,40.4
2015,British Columbia,50 to 64 years,Both sexes,59,29.5
2015,British Columbia,50 to 64 years,Males,59,20.5
2015,British Columbia,50 to 64 years,Females,59,38.6
2015,British Columbia,65 years and over,Both sexes,59,29.7
2015,British Columbia,65 years and over,Males,59,23.1
2015,British Columbia,65 years and over,Females,59,35.4
2016,Canada,"Total, 12 years and over",Males,,22.9
