Year,Geography,Value
1990,,4.5
1991,,4.5
1992,,4.7
1993,,4.8
1994,,4.8
1995,,5.2
1996,,5.3
1997,,5.4
1998,,5.7
1999,,5.9
2000,,6.0
2001,,6.3
2002,,6.4
2003,,6.9
2004,,7.0
2005,,7.3
2006,,7.3
2007,,7.6
2008,,8.1
2009,,8.4
2010,,8.5
2011,,8.8
2012,,9.2
2013,,9.6
2014,,9.6
2015,,10.2
2016,,10.2
2017,,10.2
2018,,11.3
2019,,12.1
2020,,13.0
2021,,13.5
2022,,13.6
2023,,13.7
2022,Alberta,15.4
2022,British Columbia,19.6
2022,Manitoba,11.0
2022,New Brunswick,9.9
2022,Newfoundland and Labrador,6.9
2022,Northwest Territories,15.8
2022,Nova Scotia,13.2
2022,Nunavut,10.2
2022,Ontario,10.9
2022,Prince Edward Island,4.8
2022,Quebec,16.8
2022,Saskatchewan,9.8
2022,Yukon,19.3
2023,Alberta,15.5
2023,British Columbia,19.7
2023,Manitoba,11.1
2023,New Brunswick,10.3
2023,Newfoundland and Labrador,7.0
2023,Northwest Territories,15.8
2023,Nova Scotia,13.6
2023,Nunavut,10.2
2023,Ontario,10.9
2023,Prince Edward Island,5.1
2023,Quebec,16.9
2023,Saskatchewan,9.8
2023,Yukon,21.1
