Year,Geography,Population,Gender,Age group,GeoCode,Value
2015,,,,,,7.0
2016,,,,,,7.1
2017,,,,,,6.4
2018,,,,,,5.8
2019,,,,,,5.7
2020,,,,,,9.7
2021,,,,,,7.5
2022,,,,,,5.3
2023,,,,,,5.4
2024,,,,,,6.3
2015,Canada,Total population,Total - Gender,15 to 24 years,,12.8
2015,Canada,Total population,Total - Gender,25 years and over,,6.0
2015,Canada,Total population,Total - Gender,25 to 44 years,,6.2
2015,Canada,Total population,Total - Gender,45 to 64 years,,5.8
2015,Canada,Total population,Total - Gender,45 years and over,,5.7
2015,Canada,Total population,Total - Gender,25 to 54 years,,5.9
2015,Canada,Total population,Total - Gender,55 years and over,,6.0
2015,Canada,Total population,Total - Gender,15 to 64 years,,7.1
2015,Canada,Total population,Total - Gender,15 to 19 years,,17.5
2015,Canada,Total population,Total - Gender,20 to 24 years,,10.1
2015,Canada,Total population,Total - Gender,25 to 29 years,,7.5
2015,Canada,Total population,Total - Gender,30 to 34 years,,5.8
2015,Canada,Total population,Total - Gender,35 to 39 years,,5.8
2015,Canada,Total population,Total - Gender,40 to 44 years,,5.6
2015,Canada,Total population,Total - Gender,45 to 49 years,,5.2
2015,Canada,Total population,Total - Gender,50 to 54 years,,5.7
2015,Canada,Total population,Total - Gender,55 to 59 years,,6.1
2015,Canada,Total population,Total - Gender,60 to 64 years,,6.7
2015,Canada,Total population,Total - Gender,65 years and over,,4.6
2015,Canada,Total population,Total - Gender,65 to 69 years,,5.4
2015,Canada,Total population,Total - Gender,70 years and over,,2.9
2015,Canada,Total population,Men+,15 years and over,,7.5
2015,Canada,Total population,Men+,15 to 24 years,,14.7
2015,Canada,Total population,Men+,25 years and over,,6.3
2015,Canada,Total population,Men+,25 to 44 years,,6.5
2015,Canada,Total population,Men+,45 to 64 years,,6.3
2015,Canada,Total population,Men+,45 years and over,,6.1
2015,Canada,Total population,Men+,25 to 54 years,,6.3
2015,Canada,Total population,Men+,55 years and over,,6.4
2015,Canada,Total population,Men+,15 to 64 years,,7.7
2015,Canada,Total population,Men+,15 to 19 years,,19.2
2015,Canada,Total population,Men+,20 to 24 years,,12.2
2015,Canada,Total population,Men+,25 to 29 years,,8.3
2015,Canada,Total population,Men+,30 to 34 years,,6.1
2015,Canada,Total population,Men+,35 to 39 years,,6.0
2015,Canada,Total population,Men+,40 to 44 years,,5.7
2015,Canada,Total population,Men+,45 to 49 years,,5.5
2015,Canada,Total population,Men+,50 to 54 years,,6.2
2015,Canada,Total population,Men+,55 to 59 years,,6.5
2015,Canada,Total population,Men+,60 to 64 years,,7.5
2015,Canada,Total population,Men+,65 years and over,,4.8
2015,Canada,Total population,Men+,65 to 69 years,,6.0
2015,Canada,Total population,Men+,70 years and over,,2.6
2015,Canada,Total population,Women+,15 years and over,,6.4
2015,Canada,Total population,Women+,15 to 24 years,,10.8
2015,Canada,Total population,Women+,25 years and over,,5.6
2015,Canada,Total population,Women+,25 to 44 years,,5.9
2015,Canada,Total population,Women+,45 to 64 years,,5.3
2015,Canada,Total population,Women+,45 years and over,,5.3
2015,Canada,Total population,Women+,25 to 54 years,,5.6
2015,Canada,Total population,Women+,55 years and over,,5.5
2015,Canada,Total population,Women+,15 to 64 years,,6.4
2015,Canada,Total population,Women+,15 to 19 years,,15.8
2015,Canada,Total population,Women+,20 to 24 years,,7.8
2015,Canada,Total population,Women+,25 to 29 years,,6.6
2015,Canada,Total population,Women+,30 to 34 years,,5.6
2015,Canada,Total population,Women+,35 to 39 years,,5.7
2015,Canada,Total population,Women+,40 to 44 years,,5.6
2015,Canada,Total population,Women+,45 to 49 years,,5.0
2015,Canada,Total population,Women+,50 to 54 years,,5.1
2015,Canada,Total population,Women+,55 to 59 years,,5.8
2015,Canada,Total population,Women+,60 to 64 years,,5.8
2015,Canada,Total population,Women+,65 years and over,,4.2
2015,Canada,Total population,Women+,65 to 69 years,,4.5
2015,Canada,Total population,Women+,70 years and over,,3.5
2015,Newfoundland and Labrador,Total population,Total - Gender,15 years and over,10,13.1
2015,Newfoundland and Labrador,Total population,Total - Gender,15 to 24 years,10,16.5
2015,Newfoundland and Labrador,Total population,Total - Gender,25 years and over,10,12.6
