Year,Geography,Population centres,GeoCode,Value
2015,,,,97.4
2016,,,,98.6
2017,,,,99.1
2018,,,,99.3
2019,,,,99.5
2020,,,,99.5
2021,,,,99.4
2022,,,,99.7
2016,Alberta,Total population centre,48,99.8
2017,Alberta,Total population centre,48,99.8
2018,Alberta,Total population centre,48,99.8
2019,Alberta,Total population centre,48,99.8
2020,Alberta,Total population centre,48,99.8
2021,Alberta,Total population centre,48,99.8
2022,Alberta,Total population centre,49,99.9
2016,British Columbia,Total population centre,59,99.0
2017,British Columbia,Total population centre,59,99.0
2018,British Columbia,Total population centre,59,99.1
2019,British Columbia,Total population centre,59,99.2
2020,British Columbia,Total population centre,59,99.1
2021,British Columbia,Total population centre,59,99.2
2022,British Columbia,Total population centre,59,99.1
2016,Manitoba,Total population centre,46,93.2
2017,Manitoba,Total population centre,46,93.5
2018,Manitoba,Total population centre,46,95.1
2019,Manitoba,Total population centre,46,96.8
2020,Manitoba,Total population centre,46,98.1
2021,Manitoba,Total population centre,46,98.3
2022,Manitoba,Total population centre,46,99.0
2016,New Brunswick,Total population centre,13,98.9
2017,New Brunswick,Total population centre,13,99.1
2018,New Brunswick,Total population centre,13,99.2
2019,New Brunswick,Total population centre,13,99.5
2020,New Brunswick,Total population centre,13,99.5
2021,New Brunswick,Total population centre,13,98.9
2022,New Brunswick,Total population centre,13,99.0
2016,Newfoundland and Labrador,Total population centre,10,94.5
2017,Newfoundland and Labrador,Total population centre,10,94.9
2018,Newfoundland and Labrador,Total population centre,10,95.0
2019,Newfoundland and Labrador,Total population centre,10,95.8
2020,Newfoundland and Labrador,Total population centre,10,95.9
2021,Newfoundland and Labrador,Total population centre,10,93.0
2022,Newfoundland and Labrador,Total population centre,10,93.6
2016,Northwest Territories,Total population centre,61,94.2
2017,Northwest Territories,Total population centre,61,94.2
2018,Northwest Territories,Total population centre,61,94.4
2019,Northwest Territories,Total population centre,61,94.4
2020,Northwest Territories,Total population centre,61,94.4
2021,Northwest Territories,Total population centre,61,94.3
2022,Northwest Territories,Total population centre,61,93.9
2016,Nova Scotia,Total population centre,12,99.5
2017,Nova Scotia,Total population centre,12,99.5
2018,Nova Scotia,Total population centre,12,99.5
2019,Nova Scotia,Total population centre,12,99.6
2020,Nova Scotia,Total population centre,12,99.7
2021,Nova Scotia,Total population centre,12,99.1
2022,Nova Scotia,Total population centre,12,99.1
2016,Nunavut,Total population centre,62,0.0
2017,Nunavut,Total population centre,62,0.0
2018,Nunavut,Total population centre,62,66.2
2019,Nunavut,Total population centre,62,99.8
2020,Nunavut,Total population centre,62,99.8
2021,Nunavut,Total population centre,62,99.8
2022,Nunavut,Total population centre,62,99.8
2016,Ontario,Total population centre,35,99.7
2017,Ontario,Total population centre,35,99.8
2018,Ontario,Total population centre,35,99.8
2019,Ontario,Total population centre,35,99.8
2020,Ontario,Total population centre,35,99.8
2021,Ontario,Total population centre,35,99.8
2022,Ontario,Total population centre,35,99.8
2016,Prince Edward Island,Total population centre,11,100.0
2017,Prince Edward Island,Total population centre,11,100.0
2018,Prince Edward Island,Total population centre,11,100.0
2019,Prince Edward Island,Total population centre,11,100.0
2020,Prince Edward Island,Total population centre,11,100.0
2021,Prince Edward Island,Total population centre,11,100.0
