Year,Geography,Sex,Age group,Value
2015,,,,26.29
2016,,,,24.95
2017,,,,24.15
2018,,,,21.77
2019,,,,19.5
2020,,,,23.26
2021,,,,21.3
2015,Alberta,Both sexes,15 to 24 years,17.87
2015,Alberta,Both sexes,15 years and over,20.19
2015,Alberta,Both sexes,25 to 44 years,24.52
2015,Alberta,Both sexes,25 to 54 years,25.27
2015,Alberta,Both sexes,25 years and over,21.3
2015,Alberta,Both sexes,45 years and over,18.64
2015,Alberta,Both sexes,55 to 64 years,11.83
2015,Alberta,Both sexes,55 years and over,11.12
2015,Alberta,Both sexes,65 years and over,4.85
2015,Alberta,Females,15 to 24 years,16.57
2015,Alberta,Females,15 years and over,18.23
2015,Alberta,Females,25 to 44 years,20.93
2015,Alberta,Females,25 to 54 years,21.37
2015,Alberta,Females,25 years and over,18.84
2015,Alberta,Females,45 years and over,15.28
2015,Alberta,Females,55 to 64 years,9.97
2015,Alberta,Females,55 years and over,8.67
2015,Alberta,Females,65 years and over,0.0
2015,Alberta,Males,15 to 24 years,15.03
2015,Alberta,Males,15 years and over,24.6
2015,Alberta,Males,25 to 44 years,31.93
2015,Alberta,Males,25 to 54 years,34.77
2015,Alberta,Males,25 years and over,26.97
2015,Alberta,Males,45 years and over,19.91
2015,Alberta,Males,55 to 64 years,16.78
2015,Alberta,Males,55 years and over,9.62
2015,Alberta,Males,65 years and over,0.0
2015,British Columbia,Both sexes,15 to 24 years,20.7
2015,British Columbia,Both sexes,15 years and over,24.24
2015,British Columbia,Both sexes,25 to 44 years,28.78
2015,British Columbia,Both sexes,25 to 54 years,30.71
2015,British Columbia,Both sexes,25 years and over,25.85
2015,British Columbia,Both sexes,45 years and over,23.78
2015,British Columbia,Both sexes,55 to 64 years,20.46
2015,British Columbia,Both sexes,55 years and over,16.03
2015,British Columbia,Both sexes,65 years and over,0.0
2015,British Columbia,Females,15 to 24 years,20.51
2015,British Columbia,Females,15 years and over,22.18
2015,British Columbia,Females,25 to 44 years,23.4
2015,British Columbia,Females,25 to 54 years,25.74
2015,British Columbia,Females,25 years and over,22.75
2015,British Columbia,Females,45 years and over,22.13
2015,British Columbia,Females,55 to 64 years,13.13
2015,British Columbia,Females,55 years and over,12.31
2015,British Columbia,Females,65 years and over,0.0
2015,British Columbia,Males,15 to 24 years,20.49
2015,British Columbia,Males,15 years and over,28.49
2015,British Columbia,Males,25 to 44 years,43.11
2015,British Columbia,Males,25 to 54 years,46.98
2015,British Columbia,Males,25 years and over,33.93
2015,British Columbia,Males,45 years and over,24.88
2015,British Columbia,Males,55 to 64 years,18.07
2015,British Columbia,Males,55 years and over,11.85
2015,British Columbia,Males,65 years and over,0.0
2015,Canada,Both sexes,15 to 24 years,19.28
2015,Canada,Both sexes,25 to 44 years,36.44
2015,Canada,Both sexes,25 to 54 years,36.49
2015,Canada,Both sexes,25 years and over,30.14
2015,Canada,Both sexes,45 years and over,25.46
