Year,Geography,Value
2016,,3.6
2018,,4.5
2016,Newfoundland and Labrador,27.3
2018,Newfoundland and Labrador,20.6
2016,Prince Edward Island,0.0
2018,Prince Edward Island,0.0
2016,Nova Scotia,1.4
2018,Nova Scotia,3.4
2016,New Brunswick,2.4
2018,New Brunswick,3.6
2016,Quebec,5.7
2018,Quebec,6.5
2016,Ontario,0.7
2018,Ontario,0.6
2016,Manitoba,0.0
2018,Manitoba,2.7
2016,Saskatchewan,6.3
2018,Saskatchewan,5.9
2016,Alberta,0.0
2018,Alberta,0.9
2016,British Columbia,4.3
2018,British Columbia,3.9
2016,Yukon,0.0
2018,Yukon,0.0
2016,Northwest Territories,0.0
2018,Northwest Territories,0.0
2016,Nunavut,0.0
2018,Nunavut,0.0
