Year,Geography,Value
2014/2015,,85.46
2015/2016,,87.93
2016/2017,,86.96
2017/2018,,83.88
2018/2019,,79.57
2014/2015,Newfoundland and Labrador,71.93
2015/2016,Newfoundland and Labrador,82.11
2016/2017,Newfoundland and Labrador,78.56
2017/2018,Newfoundland and Labrador,78.18
2018/2019,Newfoundland and Labrador,76.74
2014/2015,Prince Edward Island,89.03
2015/2016,Prince Edward Island,70.68
2016/2017,Prince Edward Island,65.64
2017/2018,Prince Edward Island,72.38
2018/2019,Prince Edward Island,81.76
2014/2015,Nova Scotia,64.97
2015/2016,Nova Scotia,61.94
2016/2017,Nova Scotia,62.19
2017/2018,Nova Scotia,59.78
2018/2019,Nova Scotia,58.9
2014/2015,New Brunswick,65.86
2015/2016,New Brunswick,71.25
2016/2017,New Brunswick,72.04
2017/2018,New Brunswick,74.78
2018/2019,New Brunswick,73.73
2014/2015,Quebec,77.38
2015/2016,Quebec,75.74
2016/2017,Quebec,74.71
2017/2018,Quebec,71.68
2018/2019,Quebec,65.82
2014/2015,Ontario,70.77
2015/2016,Ontario,71.6
2016/2017,Ontario,68.19
2017/2018,Ontario,65.91
2018/2019,Ontario,64.36
2014/2015,Manitoba,240.88
2015/2016,Manitoba,241.74
2016/2017,Manitoba,240.36
2017/2018,Manitoba,232.73
2018/2019,Manitoba,201.03
2014/2015,Saskatchewan,196.23
2015/2016,Saskatchewan,207.16
2016/2017,Saskatchewan,214.17
2017/2018,Saskatchewan,212.95
2018/2019,Saskatchewan,215.17
2014/2015,Alberta,102.31
2015/2016,Alberta,112.29
2016/2017,Alberta,115.46
2017/2018,Alberta,112.49
2018/2019,Alberta,108.15
2014/2015,British Columbia,63.12
2015/2016,British Columbia,68.81
2016/2017,British Columbia,69.91
2017/2018,British Columbia,64.56
2018/2019,British Columbia,58.61
2014/2015,Yukon,258.9
2015/2016,Yukon,316.78
2016/2017,Yukon,273.13
2017/2018,Yukon,186.41
2018/2019,Yukon,205.85
2014/2015,Northwest Territories,528.66
2015/2016,Northwest Territories,568.39
2016/2017,Northwest Territories,546.61
2017/2018,Northwest Territories,517.24
2018/2019,Northwest Territories,533.77
2014/2015,Nunavut,542.56
2015/2016,Nunavut,580.62
2016/2017,Nunavut,578.87
2017/2018,Nunavut,642.41
2018/2019,Nunavut,667.42
