Year,Age at time of death,Sex,Leading causes of death,Value
2015,All ages,Both sexes,Malignant neoplasms,215.9
2015,All ages,Both sexes,Diabetes mellitus,20.1
2015,All ages,Both sexes,Alzheimer's disease,18.5
2015,All ages,Both sexes,Diseases of heart,144.6
2015,All ages,Both sexes,Cerebrovascular diseases,38.7
2015,All ages,Both sexes,Influenza and pneumonia,21.4
2015,All ages,Both sexes,Chronic lower respiratory diseases,35.2
2015,All ages,Both sexes,Chronic liver disease and cirrhosis,8.9
2015,All ages,Both sexes,Accidents (unintentional injuries),34.0
2015,All ages,Both sexes,Intentional self-harm (suicide),12.6
2015,All ages,Males,Malignant neoplasms,228.3
2015,All ages,Males,Diabetes mellitus,22.3
2015,All ages,Males,Alzheimer's disease,12.0
2015,All ages,Males,Diseases of heart,154.5
2015,All ages,Males,Cerebrovascular diseases,32.6
2015,All ages,Males,Influenza and pneumonia,19.4
2015,All ages,Males,Chronic lower respiratory diseases,35.2
2015,All ages,Males,Chronic liver disease and cirrhosis,11.9
2015,All ages,Males,Accidents (unintentional injuries),40.0
2015,All ages,Males,Intentional self-harm (suicide),18.8
2015,All ages,Females,Malignant neoplasms,203.7
2015,All ages,Females,Diabetes mellitus,17.9
2015,All ages,Females,Alzheimer's disease,24.8
2015,All ages,Females,Diseases of heart,134.9
2015,All ages,Females,Cerebrovascular diseases,44.7
2015,All ages,Females,Influenza and pneumonia,23.4
2015,All ages,Females,Chronic lower respiratory diseases,35.3
2015,All ages,Females,Chronic liver disease and cirrhosis,6.0
2015,All ages,Females,Accidents (unintentional injuries),28.0
2015,All ages,Females,Intentional self-harm (suicide),6.4
2015,1 to 14 years,Both sexes,Malignant neoplasms,2.4
2015,1 to 14 years,Both sexes,Diabetes mellitus,0.1
2015,1 to 14 years,Both sexes,Alzheimer's disease,0.0
2015,1 to 14 years,Both sexes,Diseases of heart,0.3
2015,1 to 14 years,Both sexes,Cerebrovascular diseases,0.2
2015,1 to 14 years,Both sexes,Influenza and pneumonia,0.3
2015,1 to 14 years,Both sexes,Chronic lower respiratory diseases,0.2
2015,1 to 14 years,Both sexes,Chronic liver disease and cirrhosis,0.0
2015,1 to 14 years,Both sexes,Accidents (unintentional injuries),2.9
2015,1 to 14 years,Both sexes,Intentional self-harm (suicide),1.8
2015,1 to 14 years,Males,Malignant neoplasms,2.5
2015,1 to 14 years,Males,Diabetes mellitus,0.1
2015,1 to 14 years,Males,Alzheimer's disease,0.0
2015,1 to 14 years,Males,Diseases of heart,0.5
2015,1 to 14 years,Males,Cerebrovascular diseases,0.3
2015,1 to 14 years,Males,Influenza and pneumonia,0.4
2015,1 to 14 years,Males,Chronic lower respiratory diseases,0.2
2015,1 to 14 years,Males,Chronic liver disease and cirrhosis,0.0
2015,1 to 14 years,Males,Accidents (unintentional injuries),3.6
2015,1 to 14 years,Males,Intentional self-harm (suicide),1.4
2015,1 to 14 years,Females,Malignant neoplasms,2.3
2015,1 to 14 years,Females,Diabetes mellitus,0.0
2015,1 to 14 years,Females,Alzheimer's disease,0.0
2015,1 to 14 years,Females,Diseases of heart,0.2
2015,1 to 14 years,Females,Cerebrovascular diseases,0.2
2015,1 to 14 years,Females,Influenza and pneumonia,0.3
2015,1 to 14 years,Females,Chronic lower respiratory diseases,0.2
2015,1 to 14 years,Females,Chronic liver disease and cirrhosis,0.0
2015,1 to 14 years,Females,Accidents (unintentional injuries),2.2
2015,1 to 14 years,Females,Intentional self-harm (suicide),2.3
2015,15 to 24,Both sexes,Malignant neoplasms,3.3
2015,15 to 24,Both sexes,Diabetes mellitus,0.3
2015,15 to 24,Both sexes,Alzheimer's disease,0.0
2015,15 to 24,Both sexes,Diseases of heart,1.0
