Year,Units,Stock status,Region,Stock group,Value
2021,Percentage,Status uncertain,Canada,,40.1041666666667
2022,Percentage,Status uncertain,Canada,,42.051282051282
2023,Percentage,Status uncertain,Canada,,37.6884422110553
2011,Percentage,,,,66.4516129032258
2012,Percentage,,,,72.258064516129
2013,Percentage,,,,74.1935483870968
2014,Percentage,,,,74.6753246753247
2015,Percentage,,,,68.5534591194968
2016,Percentage,,,,62.9411764705882
2017,Percentage,,,,49.1620111731844
2018,Percentage,,,,48.0225988700565
2019,Percentage,,,,46.0227272727273
2020,Percentage,,,,43.8888888888889
2021,Percentage,,,,48.4375
2022,Percentage,,,,46.1538461538462
2023,Percentage,,,,46.7336683417085
2023,Percentage,Healthy zone,Pacific,,43.859649122807
2023,Percentage,Cautious zone,Pacific,,17.5438596491228
2023,Percentage,Critical zone,Pacific,,14.0350877192982
2023,Percentage,Status uncertain,Pacific,,24.5614035087719
2022,Percentage,Healthy zone,Pacific,,42.1052631578947
2022,Percentage,Cautious zone,Pacific,,22.8070175438596
2022,Percentage,Critical zone,Pacific,,8.7719298245614
2022,Percentage,Status uncertain,Pacific,,26.3157894736842
2021,Percentage,Healthy zone,Pacific,,40.3508771929825
2021,Percentage,Cautious zone,Pacific,,28.0701754385965
2021,Percentage,Critical zone,Pacific,,7.01754385964912
2021,Percentage,Status uncertain,Pacific,,24.5614035087719
2023,Percentage,Healthy zone,Arctic,,20.0
2023,Percentage,Cautious zone,Arctic,,8.0
2023,Percentage,Critical zone,Arctic,,0.0
2023,Percentage,Status uncertain,Arctic,,72.0
2022,Percentage,Healthy zone,Arctic,,9.52380952380952
2022,Percentage,Cautious zone,Arctic,,4.76190476190476
2022,Percentage,Critical zone,Arctic,,0.0
2022,Percentage,Status uncertain,Arctic,,85.7142857142857
2021,Percentage,Healthy zone,Arctic,,9.52380952380952
2021,Percentage,Cautious zone,Arctic,,4.76190476190476
2021,Percentage,Critical zone,Arctic,,0.0
2021,Percentage,Status uncertain,Arctic,,85.7142857142857
2023,Percentage,Healthy zone,Atlantic,,34.1880341880342
2023,Percentage,Cautious zone,Atlantic,,9.4017094017094
2023,Percentage,Critical zone,Atlantic,,19.6581196581197
2023,Percentage,Status uncertain,Atlantic,,36.7521367521368
2022,Percentage,Healthy zone,Atlantic,,34.1880341880342
2022,Percentage,Cautious zone,Atlantic,,8.54700854700855
2022,Percentage,Critical zone,Atlantic,,15.3846153846154
2022,Percentage,Status uncertain,Atlantic,,41.8803418803419
2021,Percentage,Healthy zone,Atlantic,,35.9649122807018
2021,Percentage,Cautious zone,Atlantic,,8.7719298245614
2021,Percentage,Critical zone,Atlantic,,15.7894736842105
2021,Percentage,Status uncertain,Atlantic,,39.4736842105263
2023,Percentage,Healthy and cautious zones,Pacific,,61.4035087719298
2022,Percentage,Healthy and cautious zones,Pacific,,64.9122807017544
2021,Percentage,Healthy and cautious zones,Pacific,,68.421052631579
2023,Percentage,Healthy and cautious zones,Arctic,,28.0
2022,Percentage,Healthy and cautious zones,Arctic,,14.2857142857143
2021,Percentage,Healthy and cautious zones,Arctic,,14.2857142857143
2023,Percentage,Healthy and cautious zones,Atlantic,,43.5897435897436
2022,Percentage,Healthy and cautious zones,Atlantic,,42.7350427350427
2021,Percentage,Healthy and cautious zones,Atlantic,,44.7368421052632
2023,Percentage,Healthy zone,,Marine mammals,11.7647058823529
2023,Percentage,Healthy zone,,Groundfish,33.3333333333333
2023,Percentage,Healthy zone,,Small pelagics,8.33333333333333
2023,Percentage,Healthy zone,,Large pelagics,50.0
2023,Percentage,Healthy zone,,Salmonids,24.0
2023,Percentage,Healthy zone,,Crustaceans,57.1428571428571
2023,Percentage,Healthy zone,,Molluscs,38.8888888888889
2023,Percentage,Healthy zone,,Others,50.0
2022,Percentage,Healthy zone,,Marine mammals,11.7647058823529
2022,Percentage,Healthy zone,,Groundfish,33.3333333333333
2022,Percentage,Healthy zone,,Small pelagics,8.33333333333333
2022,Percentage,Healthy zone,,Large pelagics,50.0
2022,Percentage,Healthy zone,,Salmonids,20.0
2022,Percentage,Healthy zone,,Crustaceans,57.6923076923077
2022,Percentage,Healthy zone,,Molluscs,33.3333333333333
2022,Percentage,Healthy zone,,Others,50.0
2021,Percentage,Healthy zone,,Marine mammals,11.7647058823529
2021,Percentage,Healthy zone,,Groundfish,34.6153846153846
2021,Percentage,Healthy zone,,Small pelagics,5.0
2021,Percentage,Healthy zone,,Large pelagics,66.6666666666667
2021,Percentage,Healthy zone,,Salmonids,20.8333333333333
2021,Percentage,Healthy zone,,Crustaceans,55.7692307692308
2021,Percentage,Healthy zone,,Molluscs,33.3333333333333
2021,Percentage,Healthy zone,,Others,66.6666666666667
2020,Percentage,Healthy zone,,Marine mammals,11.7647058823529
2020,Percentage,Healthy zone,,Groundfish,33.3333333333333
2020,Percentage,Healthy zone,,Small pelagics,5.0
2020,Percentage,Healthy zone,,Large pelagics,66.6666666666667
2020,Percentage,Healthy zone,,Salmonids,27.2727272727273
2020,Percentage,Healthy zone,,Crustaceans,46.5116279069767
2020,Percentage,Healthy zone,,Molluscs,27.7777777777778
2020,Percentage,Healthy zone,,Others,50.0
2023,Percentage,Cautious zone,,Marine mammals,0.0
2023,Percentage,Cautious zone,,Groundfish,19.6078431372549
2023,Percentage,Cautious zone,,Small pelagics,20.8333333333333
2023,Percentage,Cautious zone,,Large pelagics,0.0
2023,Percentage,Cautious zone,,Salmonids,16.0
2023,Percentage,Cautious zone,,Crustaceans,7.14285714285714
2023,Percentage,Cautious zone,,Molluscs,0.0
2023,Percentage,Cautious zone,,Others,0.0
2022,Percentage,Cautious zone,,Marine mammals,0.0
2022,Percentage,Cautious zone,,Groundfish,15.6862745098039
2022,Percentage,Cautious zone,,Small pelagics,20.8333333333333
2022,Percentage,Cautious zone,,Large pelagics,0.0
2022,Percentage,Cautious zone,,Salmonids,32.0
2022,Percentage,Cautious zone,,Crustaceans,3.84615384615385
2022,Percentage,Cautious zone,,Molluscs,5.55555555555556
2022,Percentage,Cautious zone,,Others,0.0
2021,Percentage,Cautious zone,,Marine mammals,0.0
2021,Percentage,Cautious zone,,Groundfish,17.3076923076923
2021,Percentage,Cautious zone,,Small pelagics,25.0
2021,Percentage,Cautious zone,,Large pelagics,0.0
2021,Percentage,Cautious zone,,Salmonids,37.5
2021,Percentage,Cautious zone,,Crustaceans,5.76923076923077
2021,Percentage,Cautious zone,,Molluscs,5.55555555555556
2021,Percentage,Cautious zone,,Others,0.0
2020,Percentage,Cautious zone,,Marine mammals,0.0
2020,Percentage,Cautious zone,,Groundfish,17.6470588235294
2020,Percentage,Cautious zone,,Small pelagics,25.0
2020,Percentage,Cautious zone,,Large pelagics,0.0
2020,Percentage,Cautious zone,,Salmonids,13.6363636363636
2020,Percentage,Cautious zone,,Crustaceans,11.6279069767442
2020,Percentage,Cautious zone,,Molluscs,5.55555555555556
2020,Percentage,Cautious zone,,Others,0.0
2023,Percentage,Critical zone,,Marine mammals,0.0
2023,Percentage,Critical zone,,Groundfish,19.6078431372549
2023,Percentage,Critical zone,,Small pelagics,20.8333333333333
2023,Percentage,Critical zone,,Large pelagics,0.0
2023,Percentage,Critical zone,,Salmonids,32.0
2023,Percentage,Critical zone,,Crustaceans,8.92857142857143
2023,Percentage,Critical zone,,Molluscs,16.6666666666667
2023,Percentage,Critical zone,,Others,0.0
2022,Percentage,Critical zone,,Marine mammals,0.0
2022,Percentage,Critical zone,,Groundfish,21.5686274509804
2022,Percentage,Critical zone,,Small pelagics,16.6666666666667
2022,Percentage,Critical zone,,Large pelagics,0.0
2022,Percentage,Critical zone,,Salmonids,20.0
2022,Percentage,Critical zone,,Crustaceans,3.84615384615385
2022,Percentage,Critical zone,,Molluscs,5.55555555555556
2022,Percentage,Critical zone,,Others,0.0
2021,Percentage,Critical zone,,Marine mammals,0.0
2021,Percentage,Critical zone,,Groundfish,21.1538461538462
2021,Percentage,Critical zone,,Small pelagics,20.0
2021,Percentage,Critical zone,,Large pelagics,0.0
2021,Percentage,Critical zone,,Salmonids,16.6666666666667
2021,Percentage,Critical zone,,Crustaceans,3.84615384615385
2021,Percentage,Critical zone,,Molluscs,5.55555555555556
2021,Percentage,Critical zone,,Others,0.0
2020,Percentage,Critical zone,,Marine mammals,0.0
2020,Percentage,Critical zone,,Groundfish,23.5294117647059
2020,Percentage,Critical zone,,Small pelagics,20.0
2020,Percentage,Critical zone,,Large pelagics,0.0
2020,Percentage,Critical zone,,Salmonids,18.1818181818182
2020,Percentage,Critical zone,,Crustaceans,4.65116279069767
2020,Percentage,Critical zone,,Molluscs,5.55555555555556
2020,Percentage,Critical zone,,Others,0.0
2023,Percentage,Status uncertain,,Marine mammals,88.2352941176471
2023,Percentage,Status uncertain,,Groundfish,27.4509803921569
2023,Percentage,Status uncertain,,Small pelagics,50.0
2023,Percentage,Status uncertain,,Large pelagics,50.0
2023,Percentage,Status uncertain,,Salmonids,28.0
2023,Percentage,Status uncertain,,Crustaceans,26.7857142857143
2023,Percentage,Status uncertain,,Molluscs,44.4444444444444
2023,Percentage,Status uncertain,,Others,50.0
2022,Percentage,Status uncertain,,Marine mammals,88.2352941176471
2022,Percentage,Status uncertain,,Groundfish,29.4117647058824
2022,Percentage,Status uncertain,,Small pelagics,54.1666666666667
2022,Percentage,Status uncertain,,Large pelagics,50.0
2022,Percentage,Status uncertain,,Salmonids,28.0
2022,Percentage,Status uncertain,,Crustaceans,34.6153846153846
2022,Percentage,Status uncertain,,Molluscs,55.5555555555556
2022,Percentage,Status uncertain,,Others,50.0
2021,Percentage,Status uncertain,,Marine mammals,88.2352941176471
2021,Percentage,Status uncertain,,Groundfish,26.9230769230769
2021,Percentage,Status uncertain,,Small pelagics,50.0
2021,Percentage,Status uncertain,,Large pelagics,33.3333333333333
2021,Percentage,Status uncertain,,Salmonids,25.0
2021,Percentage,Status uncertain,,Crustaceans,34.6153846153846
2021,Percentage,Status uncertain,,Molluscs,55.5555555555556
2021,Percentage,Status uncertain,,Others,33.3333333333333
2020,Percentage,Status uncertain,,Marine mammals,88.2352941176471
2020,Percentage,Status uncertain,,Groundfish,25.4901960784314
2020,Percentage,Status uncertain,,Small pelagics,50.0
2020,Percentage,Status uncertain,,Large pelagics,33.3333333333333
2020,Percentage,Status uncertain,,Salmonids,40.9090909090909
2020,Percentage,Status uncertain,,Crustaceans,37.2093023255814
2020,Percentage,Status uncertain,,Molluscs,61.1111111111111
2020,Percentage,Status uncertain,,Others,50.0
2023,Percentage,Healthy and cautious zones,,Marine mammals,11.7647058823529
2023,Percentage,Healthy and cautious zones,,Groundfish,52.9411764705882
2023,Percentage,Healthy and cautious zones,,Small pelagics,29.1666666666667
2023,Percentage,Healthy and cautious zones,,Large pelagics,50.0
2023,Percentage,Healthy and cautious zones,,Salmonids,40.0
2023,Percentage,Healthy and cautious zones,,Crustaceans,64.2857142857143
2023,Percentage,Healthy and cautious zones,,Molluscs,38.8888888888889
2023,Percentage,Healthy and cautious zones,,Others,50.0
2022,Percentage,Healthy and cautious zones,,Marine mammals,11.7647058823529
2022,Percentage,Healthy and cautious zones,,Groundfish,49.0196078431373
2022,Percentage,Healthy and cautious zones,,Small pelagics,29.1666666666667
2022,Percentage,Healthy and cautious zones,,Large pelagics,50.0
2022,Percentage,Healthy and cautious zones,,Salmonids,52.0
2022,Percentage,Healthy and cautious zones,,Crustaceans,61.5384615384615
2022,Percentage,Healthy and cautious zones,,Molluscs,38.8888888888889
2022,Percentage,Healthy and cautious zones,,Others,50.0
2021,Percentage,Healthy and cautious zones,,Marine mammals,11.7647058823529
2021,Percentage,Healthy and cautious zones,,Groundfish,51.9230769230769
2021,Percentage,Healthy and cautious zones,,Small pelagics,30.0
2021,Percentage,Healthy and cautious zones,,Large pelagics,66.6666666666667
2021,Percentage,Healthy and cautious zones,,Salmonids,58.3333333333333
2021,Percentage,Healthy and cautious zones,,Crustaceans,61.5384615384615
2021,Percentage,Healthy and cautious zones,,Molluscs,38.8888888888889
2021,Percentage,Healthy and cautious zones,,Others,66.6666666666667
2020,Percentage,Healthy and cautious zones,,Marine mammals,11.7647058823529
2020,Percentage,Healthy and cautious zones,,Groundfish,50.9803921568627
2020,Percentage,Healthy and cautious zones,,Small pelagics,30.0
2020,Percentage,Healthy and cautious zones,,Large pelagics,66.6666666666667
2020,Percentage,Healthy and cautious zones,,Salmonids,40.9090909090909
2020,Percentage,Healthy and cautious zones,,Crustaceans,58.1395348837209
2020,Percentage,Healthy and cautious zones,,Molluscs,33.3333333333333
2020,Percentage,Healthy and cautious zones,,Others,50.0
2011,Number of stocks,Healthy zone,Canada,,72.0
2012,Number of stocks,Healthy zone,Canada,,75.0
2013,Number of stocks,Healthy zone,Canada,,74.0
2014,Number of stocks,Healthy zone,Canada,,75.0
2015,Number of stocks,Healthy zone,Canada,,78.0
2016,Number of stocks,Healthy zone,Canada,,76.0
2017,Number of stocks,Healthy zone,Canada,,63.0
2018,Number of stocks,Healthy zone,Canada,,58.0
2019,Number of stocks,Healthy zone,Canada,,52.0
2020,Number of stocks,Healthy zone,Canada,,56.0
2021,Number of stocks,Healthy zone,Canada,,66.0
2022,Number of stocks,Healthy zone,Canada,,66.0
2023,Number of stocks,Healthy zone,Canada,,70.0
2011,Number of stocks,Cautious zone,Canada,,31.0
2012,Number of stocks,Cautious zone,Canada,,37.0
2013,Number of stocks,Cautious zone,Canada,,41.0
2014,Number of stocks,Cautious zone,Canada,,40.0
2015,Number of stocks,Cautious zone,Canada,,31.0
2016,Number of stocks,Cautious zone,Canada,,31.0
2017,Number of stocks,Cautious zone,Canada,,25.0
2018,Number of stocks,Cautious zone,Canada,,27.0
2019,Number of stocks,Cautious zone,Canada,,29.0
2020,Number of stocks,Cautious zone,Canada,,23.0
2021,Number of stocks,Cautious zone,Canada,,27.0
2022,Number of stocks,Cautious zone,Canada,,24.0
2023,Number of stocks,Cautious zone,Canada,,23.0
2011,Number of stocks,Critical zone,Canada,,17.0
2012,Number of stocks,Critical zone,Canada,,15.0
2013,Number of stocks,Critical zone,Canada,,16.0
2014,Number of stocks,Critical zone,Canada,,15.0
2015,Number of stocks,Critical zone,Canada,,19.0
2016,Number of stocks,Critical zone,Canada,,21.0
2017,Number of stocks,Critical zone,Canada,,18.0
2018,Number of stocks,Critical zone,Canada,,19.0
2019,Number of stocks,Critical zone,Canada,,25.0
2020,Number of stocks,Critical zone,Canada,,23.0
2021,Number of stocks,Critical zone,Canada,,22.0
2022,Number of stocks,Critical zone,Canada,,23.0
2023,Number of stocks,Critical zone,Canada,,31.0
2011,Number of stocks,Status uncertain,Canada,,35.0
2012,Number of stocks,Status uncertain,Canada,,28.0
2013,Number of stocks,Status uncertain,Canada,,24.0
2014,Number of stocks,Status uncertain,Canada,,24.0
2015,Number of stocks,Status uncertain,Canada,,31.0
2016,Number of stocks,Status uncertain,Canada,,42.0
2017,Number of stocks,Status uncertain,Canada,,73.0
2018,Number of stocks,Status uncertain,Canada,,73.0
2019,Number of stocks,Status uncertain,Canada,,70.0
2020,Number of stocks,Status uncertain,Canada,,78.0
2021,Number of stocks,Status uncertain,Canada,,77.0
2022,Number of stocks,Status uncertain,Canada,,82.0
2023,Number of stocks,Status uncertain,Canada,,75.0
2011,Number of stocks,,,,103.0
2012,Number of stocks,,,,112.0
2013,Number of stocks,,,,115.0
2014,Number of stocks,,,,115.0
2015,Number of stocks,,,,109.0
2016,Number of stocks,,,,107.0
2017,Number of stocks,,,,88.0
2018,Number of stocks,,,,85.0
2019,Number of stocks,,,,81.0
2020,Number of stocks,,,,79.0
2021,Number of stocks,,,,93.0
2022,Number of stocks,,,,90.0
2023,Number of stocks,,,,93.0
2023,Number of stocks,Healthy zone,Pacific,,25.0
2023,Number of stocks,Cautious zone,Pacific,,10.0
2023,Number of stocks,Critical zone,Pacific,,8.0
2023,Number of stocks,Status uncertain,Pacific,,14.0
2022,Number of stocks,Healthy zone,Pacific,,24.0
2022,Number of stocks,Cautious zone,Pacific,,13.0
2022,Number of stocks,Critical zone,Pacific,,5.0
2022,Number of stocks,Status uncertain,Pacific,,15.0
2021,Number of stocks,Healthy zone,Pacific,,23.0
2021,Number of stocks,Cautious zone,Pacific,,16.0
2021,Number of stocks,Critical zone,Pacific,,4.0
2021,Number of stocks,Status uncertain,Pacific,,14.0
2023,Number of stocks,Healthy zone,Arctic,,5.0
2023,Number of stocks,Cautious zone,Arctic,,2.0
2023,Number of stocks,Critical zone,Arctic,,0.0
2023,Number of stocks,Status uncertain,Arctic,,18.0
2022,Number of stocks,Healthy zone,Arctic,,2.0
2022,Number of stocks,Cautious zone,Arctic,,1.0
2022,Number of stocks,Critical zone,Arctic,,0.0
2022,Number of stocks,Status uncertain,Arctic,,18.0
2021,Number of stocks,Healthy zone,Arctic,,2.0
2021,Number of stocks,Cautious zone,Arctic,,1.0
2021,Number of stocks,Critical zone,Arctic,,0.0
2021,Number of stocks,Status uncertain,Arctic,,18.0
2023,Number of stocks,Healthy zone,Atlantic,,40.0
2023,Number of stocks,Cautious zone,Atlantic,,11.0
2023,Number of stocks,Critical zone,Atlantic,,23.0
2023,Number of stocks,Status uncertain,Atlantic,,43.0
2022,Number of stocks,Healthy zone,Atlantic,,40.0
2022,Number of stocks,Cautious zone,Atlantic,,10.0
2022,Number of stocks,Critical zone,Atlantic,,18.0
2022,Number of stocks,Status uncertain,Atlantic,,49.0
2021,Number of stocks,Healthy zone,Atlantic,,41.0
2021,Number of stocks,Cautious zone,Atlantic,,10.0
2021,Number of stocks,Critical zone,Atlantic,,18.0
2021,Number of stocks,Status uncertain,Atlantic,,45.0
2023,Number of stocks,Healthy and cautious zones,Pacific,,35.0
2022,Number of stocks,Healthy and cautious zones,Pacific,,37.0
2021,Number of stocks,Healthy and cautious zones,Pacific,,39.0
2023,Number of stocks,Healthy and cautious zones,Arctic,,7.0
2022,Number of stocks,Healthy and cautious zones,Arctic,,3.0
2021,Number of stocks,Healthy and cautious zones,Arctic,,3.0
2023,Number of stocks,Healthy and cautious zones,Atlantic,,51.0
2022,Number of stocks,Healthy and cautious zones,Atlantic,,50.0
2021,Number of stocks,Healthy and cautious zones,Atlantic,,51.0
2023,Number of stocks,Healthy zone,,Marine mammals,2.0
2023,Number of stocks,Healthy zone,,Groundfish,17.0
2023,Number of stocks,Healthy zone,,Small pelagics,2.0
2023,Number of stocks,Healthy zone,,Large pelagics,1.0
2023,Number of stocks,Healthy zone,,Salmonids,6.0
2023,Number of stocks,Healthy zone,,Crustaceans,32.0
2023,Number of stocks,Healthy zone,,Molluscs,7.0
2023,Number of stocks,Healthy zone,,Others,3.0
2022,Number of stocks,Healthy zone,,Marine mammals,2.0
2022,Number of stocks,Healthy zone,,Groundfish,17.0
2022,Number of stocks,Healthy zone,,Small pelagics,2.0
2022,Number of stocks,Healthy zone,,Large pelagics,1.0
2022,Number of stocks,Healthy zone,,Salmonids,5.0
2022,Number of stocks,Healthy zone,,Crustaceans,30.0
2022,Number of stocks,Healthy zone,,Molluscs,6.0
2022,Number of stocks,Healthy zone,,Others,3.0
2021,Number of stocks,Healthy zone,,Marine mammals,2.0
2021,Number of stocks,Healthy zone,,Groundfish,18.0
2021,Number of stocks,Healthy zone,,Small pelagics,1.0
2021,Number of stocks,Healthy zone,,Large pelagics,2.0
2021,Number of stocks,Healthy zone,,Salmonids,5.0
2021,Number of stocks,Healthy zone,,Crustaceans,29.0
2021,Number of stocks,Healthy zone,,Molluscs,6.0
2021,Number of stocks,Healthy zone,,Others,6.0
2020,Number of stocks,Healthy zone,,Marine mammals,2.0
2020,Number of stocks,Healthy zone,,Groundfish,17.0
2020,Number of stocks,Healthy zone,,Small pelagics,1.0
2020,Number of stocks,Healthy zone,,Large pelagics,2.0
2020,Number of stocks,Healthy zone,,Salmonids,6.0
2020,Number of stocks,Healthy zone,,Crustaceans,20.0
2020,Number of stocks,Healthy zone,,Molluscs,5.0
2020,Number of stocks,Healthy zone,,Others,3.0
2023,Number of stocks,Cautious zone,,Marine mammals,0.0
2023,Number of stocks,Cautious zone,,Groundfish,10.0
2023,Number of stocks,Cautious zone,,Small pelagics,5.0
2023,Number of stocks,Cautious zone,,Large pelagics,0.0
2023,Number of stocks,Cautious zone,,Salmonids,4.0
2023,Number of stocks,Cautious zone,,Crustaceans,4.0
2023,Number of stocks,Cautious zone,,Molluscs,0.0
2023,Number of stocks,Cautious zone,,Others,0.0
2022,Number of stocks,Cautious zone,,Marine mammals,0.0
2022,Number of stocks,Cautious zone,,Groundfish,8.0
2022,Number of stocks,Cautious zone,,Small pelagics,5.0
2022,Number of stocks,Cautious zone,,Large pelagics,0.0
2022,Number of stocks,Cautious zone,,Salmonids,8.0
2022,Number of stocks,Cautious zone,,Crustaceans,2.0
2022,Number of stocks,Cautious zone,,Molluscs,1.0
2022,Number of stocks,Cautious zone,,Others,0.0
2021,Number of stocks,Cautious zone,,Marine mammals,0.0
2021,Number of stocks,Cautious zone,,Groundfish,9.0
2021,Number of stocks,Cautious zone,,Small pelagics,5.0
2021,Number of stocks,Cautious zone,,Large pelagics,0.0
2021,Number of stocks,Cautious zone,,Salmonids,9.0
2021,Number of stocks,Cautious zone,,Crustaceans,3.0
2021,Number of stocks,Cautious zone,,Molluscs,1.0
2021,Number of stocks,Cautious zone,,Others,0.0
2020,Number of stocks,Cautious zone,,Marine mammals,0.0
2020,Number of stocks,Cautious zone,,Groundfish,9.0
2020,Number of stocks,Cautious zone,,Small pelagics,5.0
2020,Number of stocks,Cautious zone,,Large pelagics,0.0
2020,Number of stocks,Cautious zone,,Salmonids,3.0
2020,Number of stocks,Cautious zone,,Crustaceans,5.0
2020,Number of stocks,Cautious zone,,Molluscs,1.0
2020,Number of stocks,Cautious zone,,Others,0.0
2023,Number of stocks,Critical zone,,Marine mammals,0.0
2023,Number of stocks,Critical zone,,Groundfish,10.0
2023,Number of stocks,Critical zone,,Small pelagics,5.0
2023,Number of stocks,Critical zone,,Large pelagics,0.0
2023,Number of stocks,Critical zone,,Salmonids,8.0
2023,Number of stocks,Critical zone,,Crustaceans,5.0
2023,Number of stocks,Critical zone,,Molluscs,3.0
2023,Number of stocks,Critical zone,,Others,0.0
2022,Number of stocks,Critical zone,,Marine mammals,0.0
2022,Number of stocks,Critical zone,,Groundfish,11.0
2022,Number of stocks,Critical zone,,Small pelagics,4.0
2022,Number of stocks,Critical zone,,Large pelagics,0.0
2022,Number of stocks,Critical zone,,Salmonids,5.0
2022,Number of stocks,Critical zone,,Crustaceans,2.0
2022,Number of stocks,Critical zone,,Molluscs,1.0
2022,Number of stocks,Critical zone,,Others,0.0
2021,Number of stocks,Critical zone,,Marine mammals,0.0
2021,Number of stocks,Critical zone,,Groundfish,11.0
2021,Number of stocks,Critical zone,,Small pelagics,4.0
2021,Number of stocks,Critical zone,,Large pelagics,0.0
2021,Number of stocks,Critical zone,,Salmonids,4.0
2021,Number of stocks,Critical zone,,Crustaceans,2.0
2021,Number of stocks,Critical zone,,Molluscs,1.0
2021,Number of stocks,Critical zone,,Others,0.0
2020,Number of stocks,Critical zone,,Marine mammals,0.0
2020,Number of stocks,Critical zone,,Groundfish,12.0
2020,Number of stocks,Critical zone,,Small pelagics,4.0
2020,Number of stocks,Critical zone,,Large pelagics,0.0
2020,Number of stocks,Critical zone,,Salmonids,4.0
2020,Number of stocks,Critical zone,,Crustaceans,2.0
2020,Number of stocks,Critical zone,,Molluscs,1.0
2020,Number of stocks,Critical zone,,Others,0.0
2023,Number of stocks,Status uncertain,,Marine mammals,15.0
2023,Number of stocks,Status uncertain,,Groundfish,14.0
2023,Number of stocks,Status uncertain,,Small pelagics,12.0
2023,Number of stocks,Status uncertain,,Large pelagics,1.0
2023,Number of stocks,Status uncertain,,Salmonids,7.0
2023,Number of stocks,Status uncertain,,Crustaceans,15.0
2023,Number of stocks,Status uncertain,,Molluscs,8.0
2023,Number of stocks,Status uncertain,,Others,3.0
2022,Number of stocks,Status uncertain,,Marine mammals,15.0
2022,Number of stocks,Status uncertain,,Groundfish,15.0
2022,Number of stocks,Status uncertain,,Small pelagics,13.0
2022,Number of stocks,Status uncertain,,Large pelagics,1.0
2022,Number of stocks,Status uncertain,,Salmonids,7.0
2022,Number of stocks,Status uncertain,,Crustaceans,18.0
2022,Number of stocks,Status uncertain,,Molluscs,10.0
2022,Number of stocks,Status uncertain,,Others,3.0
2021,Number of stocks,Status uncertain,,Marine mammals,15.0
2021,Number of stocks,Status uncertain,,Groundfish,14.0
2021,Number of stocks,Status uncertain,,Small pelagics,10.0
2021,Number of stocks,Status uncertain,,Large pelagics,1.0
2021,Number of stocks,Status uncertain,,Salmonids,6.0
2021,Number of stocks,Status uncertain,,Crustaceans,18.0
2021,Number of stocks,Status uncertain,,Molluscs,10.0
2021,Number of stocks,Status uncertain,,Others,3.0
2020,Number of stocks,Status uncertain,,Marine mammals,15.0
2020,Number of stocks,Status uncertain,,Groundfish,13.0
2020,Number of stocks,Status uncertain,,Small pelagics,10.0
2020,Number of stocks,Status uncertain,,Large pelagics,1.0
2020,Number of stocks,Status uncertain,,Salmonids,9.0
