Year,Geography,Population characteristics,Educational attainment level,Age group,Sex,GeoCode,Value
2010,,,,,,,50.0
2011,,,,,,,51.0
2012,,,,,,,52.0
2013,,,,,,,53.0
2014,,,,,,,53.0
2015,,,,,,,55.0
2016,,,,,,,56.0
2017,,,,,,,56.0
2018,,,,,,,58.0
2019,,,,,,,59.0
2020,,,,,,,60.0
2021,,,,,,,62.0
2010,Canada,Total population,Tertiary education,"Total, 25 to 64 years",Male,,45.0
2010,Canada,Total population,Tertiary education,"Total, 25 to 64 years",Female,,55.0
2010,Canada,Total population,Tertiary education,25 to 34 years,Both sexes,,57.0
2010,Canada,Total population,Tertiary education,25 to 34 years,Male,,49.0
2010,Canada,Total population,Tertiary education,25 to 34 years,Female,,64.0
2010,Canada,Total population,Tertiary education,30 to 34 years,Both sexes,,58.0
2010,Canada,Total population,Tertiary education,30 to 34 years,Male,,51.0
2010,Canada,Total population,Tertiary education,30 to 34 years,Female,,65.0
2010,Canada,Total population,Tertiary education,35 to 44 years,Both sexes,,56.0
2010,Canada,Total population,Tertiary education,35 to 44 years,Male,,50.0
2010,Canada,Total population,Tertiary education,35 to 44 years,Female,,63.0
2010,Canada,Total population,Tertiary education,45 to 54 years,Both sexes,,46.0
2010,Canada,Total population,Tertiary education,45 to 54 years,Male,,42.0
2010,Canada,Total population,Tertiary education,45 to 54 years,Female,,50.0
2010,Canada,Total population,Tertiary education,55 to 64 years,Both sexes,,42.0
2010,Canada,Total population,Tertiary education,55 to 64 years,Male,,41.0
2010,Canada,Total population,Tertiary education,55 to 64 years,Female,,43.0
2010,Canada,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Both sexes,,24.0
2010,Canada,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Male,,20.0
2010,Canada,Total population,Short-cycle tertiary,"Total, 25 to 64 years",Female,,28.0
2010,Canada,Total population,Short-cycle tertiary,25 to 34 years,Both sexes,,26.0
2010,Canada,Total population,Short-cycle tertiary,25 to 34 years,Male,,22.0
2010,Canada,Total population,Short-cycle tertiary,25 to 34 years,Female,,29.0
2010,Canada,Total population,Short-cycle tertiary,30 to 34 years,Both sexes,,27.0
2010,Canada,Total population,Short-cycle tertiary,30 to 34 years,Male,,23.0
2010,Canada,Total population,Short-cycle tertiary,30 to 34 years,Female,,31.0
2010,Canada,Total population,Short-cycle tertiary,35 to 44 years,Both sexes,,26.0
2010,Canada,Total population,Short-cycle tertiary,35 to 44 years,Male,,22.0
2010,Canada,Total population,Short-cycle tertiary,35 to 44 years,Female,,30.0
