Year,Géographie,Groupe d'âge,Sexe,Revenu du ménage,Plus haut niveau de scolarité,GeoCode,Value
2015,,,,,,,31.5
2016,,,,,,,30.1
2017,,,,,,,28.7
2020,,,,,,,25.4
2021,,,,,,,21.8
2023,,,,,,,21.6
2015,Canada,"Total, 18 ans et plus",Hommes,,,,24.4
2015,Canada,"Total, 18 ans et plus",Femmes,,,,38.4
2015,Canada,18 à 34 ans,Les deux sexes,,,,31.3
2015,Canada,18 à 34 ans,Hommes,,,,25.8
2015,Canada,18 à 34 ans,Femmes,,,,36.8
2015,Canada,35 à 49 ans,Les deux sexes,,,,32.9
2015,Canada,35 à 49 ans,Hommes,,,,25.2
2015,Canada,35 à 49 ans,Femmes,,,,40.3
2015,Canada,50 à 64 ans,Les deux sexes,,,,30.6
2015,Canada,50 à 64 ans,Hommes,,,,21.7
2015,Canada,50 à 64 ans,Femmes,,,,39.4
2015,Canada,65 ans et plus,Les deux sexes,,,,31.5
2015,Canada,65 ans et plus,Hommes,,,,24.9
2015,Canada,65 ans et plus,Femmes,,,,36.9
2015,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Les deux sexes,,,10,22.3
2015,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Hommes,,,10,18.9
2015,Terre-Neuve-et-Labrador,"Total, 18 ans et plus",Femmes,,,10,25.4
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Les deux sexes,,,10,18.9
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Hommes,,,10,16.9
2015,Terre-Neuve-et-Labrador,18 à 34 ans,Femmes,,,10,20.9
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Les deux sexes,,,10,27.1
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Hommes,,,10,20.7
2015,Terre-Neuve-et-Labrador,35 à 49 ans,Femmes,,,10,32.8
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Les deux sexes,,,10,21.2
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Hommes,,,10,17.3
2015,Terre-Neuve-et-Labrador,50 à 64 ans,Femmes,,,10,24.9
2015,Terre-Neuve-et-Labrador,65 ans et plus,Les deux sexes,,,10,21.8
2015,Terre-Neuve-et-Labrador,65 ans et plus,Hommes,,,10,21.4
2015,Terre-Neuve-et-Labrador,65 ans et plus,Femmes,,,10,22.1
2015,Île-du-Prince-Édouard,"Total, 18 ans et plus",Les deux sexes,,,11,27.3
2015,Île-du-Prince-Édouard,"Total, 18 ans et plus",Hommes,,,11,21.1
2015,Île-du-Prince-Édouard,"Total, 18 ans et plus",Femmes,,,11,33.1
2015,Île-du-Prince-Édouard,18 à 34 ans,Les deux sexes,,,11,29.2
2015,Île-du-Prince-Édouard,18 à 34 ans,Hommes,,,11,24.5
2015,Île-du-Prince-Édouard,18 à 34 ans,Femmes,,,11,33.7
2015,Île-du-Prince-Édouard,35 à 49 ans,Les deux sexes,,,11,30.2
2015,Île-du-Prince-Édouard,35 à 49 ans,Hommes,,,11,21.2
2015,Île-du-Prince-Édouard,35 à 49 ans,Femmes,,,11,38.7
2015,Île-du-Prince-Édouard,50 à 64 ans,Les deux sexes,,,11,23.0
2015,Île-du-Prince-Édouard,50 à 64 ans,Hommes,,,11,19.4
2015,Île-du-Prince-Édouard,50 à 64 ans,Femmes,,,11,26.6
2015,Île-du-Prince-Édouard,65 ans et plus,Les deux sexes,,,11,27.5
2015,Île-du-Prince-Édouard,65 ans et plus,Hommes,,,11,18.8
2015,Île-du-Prince-Édouard,65 ans et plus,Femmes,,,11,34.6
2015,Nouvelle-Écosse,"Total, 18 ans et plus",Les deux sexes,,,12,25.7
2015,Nouvelle-Écosse,"Total, 18 ans et plus",Hommes,,,12,16.8
2015,Nouvelle-Écosse,"Total, 18 ans et plus",Femmes,,,12,33.7
2015,Nouvelle-Écosse,18 à 34 ans,Les deux sexes,,,12,26.3
2015,Nouvelle-Écosse,18 à 34 ans,Hommes,,,12,18.8
2015,Nouvelle-Écosse,18 à 34 ans,Femmes,,,12,33.9
2015,Nouvelle-Écosse,35 à 49 ans,Les deux sexes,,,12,27.3
2015,Nouvelle-Écosse,35 à 49 ans,Hommes,,,12,12.7
2015,Nouvelle-Écosse,35 à 49 ans,Femmes,,,12,40.9
2015,Nouvelle-Écosse,50 à 64 ans,Les deux sexes,,,12,24.7
2015,Nouvelle-Écosse,50 à 64 ans,Hommes,,,12,16.1
2015,Nouvelle-Écosse,50 à 64 ans,Femmes,,,12,32.6
2015,Nouvelle-Écosse,65 ans et plus,Les deux sexes,,,12,24.4
2015,Nouvelle-Écosse,65 ans et plus,Hommes,,,12,20.1
2015,Nouvelle-Écosse,65 ans et plus,Femmes,,,12,27.8
2015,Nouveau-Brunswick,"Total, 18 ans et plus",Les deux sexes,,,13,28.5
2015,Nouveau-Brunswick,"Total, 18 ans et plus",Hommes,,,13,22.9
2015,Nouveau-Brunswick,"Total, 18 ans et plus",Femmes,,,13,33.6
2015,Nouveau-Brunswick,18 à 34 ans,Les deux sexes,,,13,37.6
