Value,Disaggregation combinations using this value,Number of indicators
data.12 to 17 years,198,6
data.15 to 19 years,75,2
data.15 to 24 years,570,4
data.15 to 64 years,33,1
data.15 years and over,67,2
data.18 to 24 years,42,1
data.18 to 34 years,198,6
data.20 to 24 years,75,2
data.25 to 29 years,75,2
data.25 to 34 years,168,1
data.25 to 44 years,66,2
data.25 to 54 years,66,2
data.25 to 64 years,462,1
data.25 years and over,66,2
data.30 to 34 years,201,2
data.35 to 39 years,33,1
data.35 to 44 years,168,1
data.35 to 49 years,198,6
data.40 to 44 years,33,1
data.45 to 49 years,33,1
data.45 to 54 years,168,1
data.45 to 64 years,33,1
data.45 years and over,66,2
data.50 to 54 years,33,1
data.50 to 64 years,198,6
data.55 to 59 years,33,1
data.55 to 64 years,201,2
data.55 years and over,66,2
data.60 to 64 years,33,1
data.65 to 69 years,33,1
data.65 to 74 years,462,1
data.65 years and over,264,8
data.70 years and over,33,1
data.75 years and over,462,1
data.Ages 12 to 17,6,1
data.Ages 18 to 39,6,1
data.Ages 18 to 79,6,1
data.Ages 40 to 59,6,1
data.Ages 5 to 11,6,1
data.Ages 5 to 17,6,1
data.Ages 5 to 79,6,1
data.Ages 60 to 79,6,1
"data.Total, 12 years and over",192,6
data.Total 15 to 29 years,41,1
"data.Total, 25 to 64 years",209,1
"data.Total, persons aged 15 years and over",461,1
