Year,data.Geography,data.Age at time of death,data.Sex,data.Leading causes of death (ICD-10),Value
2015,data.Canada,data.all ages,data.Both sexes,data.Malignant neoplasms [C00-C97],215.0
2016,data.Canada,data.all ages,data.Both sexes,data.Malignant neoplasms [C00-C97],218.1
2017,data.Canada,data.all ages,data.Both sexes,data.Malignant neoplasms [C00-C97],217.7
2018,data.Canada,data.all ages,data.Both sexes,data.Malignant neoplasms [C00-C97],214.9
2019,data.Canada,data.all ages,data.Both sexes,data.Malignant neoplasms [C00-C97],213.4
2015,data.Canada,data.all ages,data.Both sexes,data.Diabetes mellitus [E10-E14],20.0
2016,data.Canada,data.all ages,data.Both sexes,data.Diabetes mellitus [E10-E14],18.9
2017,data.Canada,data.all ages,data.Both sexes,data.Diabetes mellitus [E10-E14],18.8
2018,data.Canada,data.all ages,data.Both sexes,data.Diabetes mellitus [E10-E14],18.4
2019,data.Canada,data.all ages,data.Both sexes,data.Diabetes mellitus [E10-E14],18.4
2015,data.Canada,data.all ages,data.Both sexes,data.Alzheimer's disease [G30],18.4
2016,data.Canada,data.all ages,data.Both sexes,data.Alzheimer's disease [G30],18.0
2017,data.Canada,data.all ages,data.Both sexes,data.Alzheimer's disease [G30],18.2
2018,data.Canada,data.all ages,data.Both sexes,data.Alzheimer's disease [G30],17.4
2019,data.Canada,data.all ages,data.Both sexes,data.Alzheimer's disease [G30],16.4
2015,data.Canada,data.all ages,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",143.8
2016,data.Canada,data.all ages,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",141.7
2017,data.Canada,data.all ages,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",144.6
2018,data.Canada,data.all ages,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",143.5
2019,data.Canada,data.all ages,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",139.9
2015,data.Canada,data.all ages,data.Both sexes,data.Cerebrovascular diseases [I60-I69],38.5
2016,data.Canada,data.all ages,data.Both sexes,data.Cerebrovascular diseases [I60-I69],37.4
2017,data.Canada,data.all ages,data.Both sexes,data.Cerebrovascular diseases [I60-I69],37.9
2018,data.Canada,data.all ages,data.Both sexes,data.Cerebrovascular diseases [I60-I69],36.4
2019,data.Canada,data.all ages,data.Both sexes,data.Cerebrovascular diseases [I60-I69],36.4
2015,data.Canada,data.all ages,data.Both sexes,data.Influenza and pneumonia [J09-J18],21.3
2016,data.Canada,data.all ages,data.Both sexes,data.Influenza and pneumonia [J09-J18],17.2
2017,data.Canada,data.all ages,data.Both sexes,data.Influenza and pneumonia [J09-J18],20.2
2018,data.Canada,data.all ages,data.Both sexes,data.Influenza and pneumonia [J09-J18],23.0
2019,data.Canada,data.all ages,data.Both sexes,data.Influenza and pneumonia [J09-J18],18.4
2015,data.Canada,data.all ages,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],35.1
2016,data.Canada,data.all ages,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],33.9
2017,data.Canada,data.all ages,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],35.0
2018,data.Canada,data.all ages,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],35.1
2019,data.Canada,data.all ages,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],34.1
2015,data.Canada,data.all ages,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",8.9
2016,data.Canada,data.all ages,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",9.3
2017,data.Canada,data.all ages,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",9.3
2018,data.Canada,data.all ages,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",9.5
2019,data.Canada,data.all ages,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",9.8
2015,data.Canada,data.all ages,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",33.0
2016,data.Canada,data.all ages,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",34.5
2017,data.Canada,data.all ages,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",37.9
2018,data.Canada,data.all ages,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",35.9
2019,data.Canada,data.all ages,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",36.6
2015,data.Canada,data.all ages,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",12.3
2016,data.Canada,data.all ages,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",11.0
2017,data.Canada,data.all ages,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",11.3
2018,data.Canada,data.all ages,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",10.3
2019,data.Canada,data.all ages,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",10.7
2015,data.Canada,data.all ages,data.Males,data.Malignant neoplasms [C00-C97],227.4
2016,data.Canada,data.all ages,data.Males,data.Malignant neoplasms [C00-C97],230.5
2017,data.Canada,data.all ages,data.Males,data.Malignant neoplasms [C00-C97],231.8
2018,data.Canada,data.all ages,data.Males,data.Malignant neoplasms [C00-C97],229.0
2019,data.Canada,data.all ages,data.Males,data.Malignant neoplasms [C00-C97],229.7
2015,data.Canada,data.all ages,data.Males,data.Diabetes mellitus [E10-E14],22.2
2016,data.Canada,data.all ages,data.Males,data.Diabetes mellitus [E10-E14],20.5
2017,data.Canada,data.all ages,data.Males,data.Diabetes mellitus [E10-E14],21.3
2018,data.Canada,data.all ages,data.Males,data.Diabetes mellitus [E10-E14],20.4
2019,data.Canada,data.all ages,data.Males,data.Diabetes mellitus [E10-E14],20.8
2015,data.Canada,data.all ages,data.Males,data.Alzheimer's disease [G30],12.0
2016,data.Canada,data.all ages,data.Males,data.Alzheimer's disease [G30],11.5
2017,data.Canada,data.all ages,data.Males,data.Alzheimer's disease [G30],11.8
2018,data.Canada,data.all ages,data.Males,data.Alzheimer's disease [G30],11.4
2019,data.Canada,data.all ages,data.Males,data.Alzheimer's disease [G30],10.7
2015,data.Canada,data.all ages,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",153.6
2016,data.Canada,data.all ages,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",152.8
2017,data.Canada,data.all ages,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",157.3
2018,data.Canada,data.all ages,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",155.9
