Year,Geography,Geographic location,Selected census metropolitan areas,Tenure,Select housing-vulnerable populations,GeoCode,Value
2018,Canada (provinces only),Total,,Owner,,,6.1
2018,Canada (provinces only),Total,,Owner who is a first-time homebuyer,,,6.4
2018,Canada (provinces only),Total,,Owner who is not a first-time homebuyer,,,6.1
2018,Canada (provinces only),Total,,Renter,,,22.0
2018,Canada (provinces only),Total,,Renter not in social and affordable housing,,,21.0
2018,Canada (provinces only),Total,,Renter in social and affordable housing,,,32.0
2018,Newfoundland and Labrador,Total,,"Total, tenure",,10,8.9
2018,Newfoundland and Labrador,Total,,Owner,,10,4.4
2018,Newfoundland and Labrador,Total,,Owner who is a first-time homebuyer,,10,
2018,Newfoundland and Labrador,Total,,Owner who is not a first-time homebuyer,,10,4.7
2018,Newfoundland and Labrador,Total,,Renter,,10,26.0
2018,Newfoundland and Labrador,Total,,Renter not in social and affordable housing,,10,23.0
2018,Newfoundland and Labrador,Total,,Renter in social and affordable housing,,10,38.0
2018,Newfoundland and Labrador,Large urban population centres,,"Total, tenure",,,10.3
2018,Newfoundland and Labrador,Large urban population centres,,Owner,,,3.7
2018,Newfoundland and Labrador,Large urban population centres,,Owner who is a first-time homebuyer,,,
2018,Newfoundland and Labrador,Large urban population centres,,Owner who is not a first-time homebuyer,,,4.2
2018,Newfoundland and Labrador,Large urban population centres,,Renter,,,26.0
2018,Newfoundland and Labrador,Large urban population centres,,Renter not in social and affordable housing,,,23.0
2018,Newfoundland and Labrador,Large urban population centres,,Renter in social and affordable housing,,,38.0
2018,Newfoundland and Labrador,Small population centres,,"Total, tenure",,,9.1
2018,Newfoundland and Labrador,Small population centres,,Owner,,,2.7
2018,Newfoundland and Labrador,Small population centres,,Owner who is a first-time homebuyer,,,
2018,Newfoundland and Labrador,Small population centres,,Owner who is not a first-time homebuyer,,,3.0
2018,Newfoundland and Labrador,Small population centres,,Renter,,,27.0
2018,Newfoundland and Labrador,Small population centres,,Renter not in social and affordable housing,,,24.0
2018,Newfoundland and Labrador,Small population centres,,Renter in social and affordable housing,,,35.0
2018,Newfoundland and Labrador,Rural areas,,"Total, tenure",,,7.6
2018,Newfoundland and Labrador,Rural areas,,Owner,,,6.0
2018,Newfoundland and Labrador,Rural areas,,Owner who is a first-time homebuyer,,,
2018,Newfoundland and Labrador,Rural areas,,Owner who is not a first-time homebuyer,,,6.0
2018,Newfoundland and Labrador,Rural areas,,Renter,,,24.0
2018,Newfoundland and Labrador,Rural areas,,Renter not in social and affordable housing,,,20.0
2018,Newfoundland and Labrador,Rural areas,,Renter in social and affordable housing,,,55.0
2018,Prince Edward Island,Total,,"Total, tenure",,11,8.9
2018,Prince Edward Island,Total,,Owner,,11,6.9
2018,Prince Edward Island,Total,,Owner who is a first-time homebuyer,,11,4.8
2018,Prince Edward Island,Total,,Owner who is not a first-time homebuyer,,11,7.1
2018,Prince Edward Island,Total,,Renter,,11,13.8
2018,Prince Edward Island,Total,,Renter not in social and affordable housing,,11,12.2
2018,Prince Edward Island,Total,,Renter in social and affordable housing,,11,23.0
2018,Prince Edward Island,Medium population centres,,"Total, tenure",,,9.3
2018,Prince Edward Island,Medium population centres,,Owner,,,4.4
2018,Prince Edward Island,Medium population centres,,Owner who is a first-time homebuyer,,,6.1
2018,Prince Edward Island,Medium population centres,,Owner who is not a first-time homebuyer,,,4.0
2018,Prince Edward Island,Medium population centres,,Renter,,,15.5
2018,Prince Edward Island,Medium population centres,,Renter not in social and affordable housing,,,12.9
2018,Prince Edward Island,Medium population centres,,Renter in social and affordable housing,,,31.0
2018,Prince Edward Island,Small population centres,,"Total, tenure",,,7.6
2018,Prince Edward Island,Small population centres,,Owner,,,7.3
2018,Prince Edward Island,Small population centres,,Owner who is a first-time homebuyer,,,
2018,Prince Edward Island,Small population centres,,Owner who is not a first-time homebuyer,,,8.2
2018,Prince Edward Island,Small population centres,,Renter,,,8.2
2018,Prince Edward Island,Small population centres,,Renter not in social and affordable housing,,,6.7
2018,Prince Edward Island,Small population centres,,Renter in social and affordable housing,,,14.6
2018,Prince Edward Island,Rural areas,,"Total, tenure",,,8.8
2018,Prince Edward Island,Rural areas,,Owner,,,8.0
2018,Prince Edward Island,Rural areas,,Owner who is a first-time homebuyer,,,
2018,Prince Edward Island,Rural areas,,Owner who is not a first-time homebuyer,,,8.3
2018,Prince Edward Island,Rural areas,,Renter,,,14.1
2018,Prince Edward Island,Rural areas,,Renter not in social and affordable housing,,,14.4
2018,Prince Edward Island,Rural areas,,Renter in social and affordable housing,,,12.2
2018,Nova Scotia,Total,,"Total, tenure",,12,11.0
2018,Nova Scotia,Total,,Owner,,12,5.2
2018,Nova Scotia,Total,,Owner who is a first-time homebuyer,,12,4.9
2018,Nova Scotia,Total,,Owner who is not a first-time homebuyer,,12,5.2
2018,Nova Scotia,Total,,Renter,,12,25.0
2018,Nova Scotia,Total,,Renter not in social and affordable housing,,12,22.0
2018,Nova Scotia,Total,,Renter in social and affordable housing,,12,43.0
2018,Nova Scotia,Large urban population centres,,"Total, tenure",,,14.7
2018,Nova Scotia,Large urban population centres,,Owner,,,5.1
2018,Nova Scotia,Large urban population centres,,Owner who is a first-time homebuyer,,,3.0
2018,Nova Scotia,Large urban population centres,,Owner who is not a first-time homebuyer,,,5.5
2018,Nova Scotia,Large urban population centres,,Renter,,,26.0
2018,Nova Scotia,Large urban population centres,,Renter not in social and affordable housing,,,24.0
2018,Nova Scotia,Large urban population centres,,Renter in social and affordable housing,,,45.0
2018,Nova Scotia,Medium population centres,,"Total, tenure",,,9.0
2018,Nova Scotia,Medium population centres,,Owner,,,4.4
2018,Nova Scotia,Medium population centres,,Owner who is a first-time homebuyer,,,
2018,Nova Scotia,Medium population centres,,Owner who is not a first-time homebuyer,,,4.8
2018,Nova Scotia,Medium population centres,,Renter,,,15.0
2018,Nova Scotia,Medium population centres,,Renter not in social and affordable housing,,,6.3
2018,Nova Scotia,Medium population centres,,Renter in social and affordable housing,,,37.0
2018,Nova Scotia,Small population centres,,"Total, tenure",,,13.9
2018,Nova Scotia,Small population centres,,Owner,,,4.6
2018,Nova Scotia,Small population centres,,Owner who is a first-time homebuyer,,,11.2
2018,Nova Scotia,Small population centres,,Owner who is not a first-time homebuyer,,,3.8
2018,Nova Scotia,Small population centres,,Renter,,,29.0
2018,Nova Scotia,Small population centres,,Renter not in social and affordable housing,,,25.0
2018,Nova Scotia,Small population centres,,Renter in social and affordable housing,,,44.0
2018,Nova Scotia,Rural areas,,"Total, tenure",,,6.6
2018,Nova Scotia,Rural areas,,Owner,,,5.4
2018,Nova Scotia,Rural areas,,Owner who is a first-time homebuyer,,,3.8
2018,Nova Scotia,Rural areas,,Owner who is not a first-time homebuyer,,,5.6
2018,Nova Scotia,Rural areas,,Renter,,,16.4
2018,Nova Scotia,Rural areas,,Renter not in social and affordable housing,,,11.0
2018,Nova Scotia,Rural areas,,Renter in social and affordable housing,,,41.0
2018,New Brunswick,Total,,"Total, tenure",,13,7.3
2018,New Brunswick,Total,,Owner,,13,3.3
2018,New Brunswick,Total,,Owner who is a first-time homebuyer,,13,0.6
2018,New Brunswick,Total,,Owner who is not a first-time homebuyer,,13,3.6
2018,New Brunswick,Total,,Renter,,13,19.3
2018,New Brunswick,Total,,Renter not in social and affordable housing,,13,17.6
2018,New Brunswick,Total,,Renter in social and affordable housing,,13,30.0
2018,New Brunswick,Large urban population centres,,"Total, tenure",,,9.2
2018,New Brunswick,Large urban population centres,,Owner,,,3.0
2018,New Brunswick,Large urban population centres,,Owner who is a first-time homebuyer,,,
2018,New Brunswick,Large urban population centres,,Owner who is not a first-time homebuyer,,,3.6
2018,New Brunswick,Large urban population centres,,Renter,,,20.0
2018,New Brunswick,Large urban population centres,,Renter not in social and affordable housing,,,18.4
2018,New Brunswick,Large urban population centres,,Renter in social and affordable housing,,,32.0
2018,New Brunswick,Medium population centres,,"Total, tenure",,,9.9
2018,New Brunswick,Medium population centres,,Owner,,,3.5
2018,New Brunswick,Medium population centres,,Owner who is a first-time homebuyer,,,
2018,New Brunswick,Medium population centres,,Owner who is not a first-time homebuyer,,,3.8
2018,New Brunswick,Medium population centres,,Renter,,,18.3
2018,New Brunswick,Medium population centres,,Renter not in social and affordable housing,,,16.9
2018,New Brunswick,Medium population centres,,Renter in social and affordable housing,,,27.0
2018,New Brunswick,Small population centres,,"Total, tenure",,,6.1
2018,New Brunswick,Small population centres,,Owner,,,1.3
2018,New Brunswick,Small population centres,,Owner who is a first-time homebuyer,,,
2018,New Brunswick,Small population centres,,Owner who is not a first-time homebuyer,,,1.4
2018,New Brunswick,Small population centres,,Renter,,,15.5
2018,New Brunswick,Small population centres,,Renter not in social and affordable housing,,,12.9
2018,New Brunswick,Small population centres,,Renter in social and affordable housing,,,30.0
2018,New Brunswick,Rural areas,,"Total, tenure",,,6.1
2018,New Brunswick,Rural areas,,Owner,,,3.9
2018,New Brunswick,Rural areas,,Owner who is a first-time homebuyer,,,
2018,New Brunswick,Rural areas,,Owner who is not a first-time homebuyer,,,4.2
2018,New Brunswick,Rural areas,,Renter,,,25.0
2018,New Brunswick,Rural areas,,Renter not in social and affordable housing,,,24.0
2018,New Brunswick,Rural areas,,Renter in social and affordable housing,,,30.0
2018,Quebec,Total,,"Total, tenure",,24,7.2
2018,Quebec,Total,,Owner,,24,2.0
2018,Quebec,Total,,Owner who is a first-time homebuyer,,24,1.8
2018,Quebec,Total,,Owner who is not a first-time homebuyer,,24,2.0
2018,Quebec,Total,,Renter,,24,15.6
2018,Quebec,Total,,Renter not in social and affordable housing,,24,15.6
2018,Quebec,Total,,Renter in social and affordable housing,,24,15.9
2018,Quebec,Large urban population centres,,"Total, tenure",,,8.2
2018,Quebec,Large urban population centres,,Owner,,,1.7
2018,Quebec,Large urban population centres,,Owner who is a first-time homebuyer,,,1.8
