Year,data.Geography,data.Sex,data.Age group,GeoCode,Value
2015,,,,,30.53
2016,,,,,29.55
2017,,,,,28.88
2018,,,,,28.93
2019,,,,,27.38
2020,,,,,26.69
2021,,,,,27.19
2022,,,,,24.85
2015,data.Alberta,data.Total,data.Total,48,21.74
2016,data.Alberta,data.Total,data.Total,48,21.88
2017,data.Alberta,data.Total,data.Total,48,21.11
2018,data.Alberta,data.Total,data.Total,48,21.01
2019,data.Alberta,data.Total,data.Total,48,20.03
2020,data.Alberta,data.Total,data.Total,48,21.26
2021,data.Alberta,data.Total,data.Total,48,23.38
2022,data.Alberta,data.Total,data.Total,48,23.33
2015,data.British Columbia,data.Total,data.Total,59,28.46
2016,data.British Columbia,data.Total,data.Total,59,28.09
2017,data.British Columbia,data.Total,data.Total,59,27.27
2018,data.British Columbia,data.Total,data.Total,59,28.08
2019,data.British Columbia,data.Total,data.Total,59,24.92
2020,data.British Columbia,data.Total,data.Total,59,24.3
2021,data.British Columbia,data.Total,data.Total,59,23.57
2022,data.British Columbia,data.Total,data.Total,59,20.97
2015,data.Canada,data.Total,data.15 to 24 years,,73.3
2015,data.Canada,data.Total,data.25 to 54 years,,21.38
2015,data.Canada,data.Total,data.55 years and over,,26.56
2015,data.Canada,data.Male,data.Total,,25.41
2015,data.Canada,data.Male,data.15 to 24 years,,68.81
2015,data.Canada,data.Male,data.25 to 54 years,,16.4
2015,data.Canada,data.Male,data.55 years and over,,20.77
2015,data.Canada,data.Female,data.Total,,35.79
2015,data.Canada,data.Female,data.15 to 24 years,,77.81
2015,data.Canada,data.Female,data.25 to 54 years,,26.48
2015,data.Canada,data.Female,data.55 years and over,,32.67
2016,data.Canada,data.Total,data.15 to 24 years,,72.82
2016,data.Canada,data.Total,data.25 to 54 years,,20.52
2016,data.Canada,data.Total,data.55 years and over,,25.27
2016,data.Canada,data.Male,data.Total,,25.05
2016,data.Canada,data.Male,data.15 to 24 years,,68.59
2016,data.Canada,data.Male,data.25 to 54 years,,16.04
2016,data.Canada,data.Male,data.55 years and over,,20.81
2016,data.Canada,data.Female,data.Total,,34.12
2016,data.Canada,data.Female,data.15 to 24 years,,77.04
2016,data.Canada,data.Female,data.25 to 54 years,,25.05
2016,data.Canada,data.Female,data.55 years and over,,29.94
2017,data.Canada,data.Total,data.15 to 24 years,,72.41
2017,data.Canada,data.Total,data.25 to 54 years,,19.73
2017,data.Canada,data.Total,data.55 years and over,,24.32
2017,data.Canada,data.Male,data.Total,,24.22
2017,data.Canada,data.Male,data.15 to 24 years,,67.96
2017,data.Canada,data.Male,data.25 to 54 years,,15.27
2017,data.Canada,data.Male,data.55 years and over,,18.76
2017,data.Canada,data.Female,data.Total,,33.66
2017,data.Canada,data.Female,data.15 to 24 years,,76.97
2017,data.Canada,data.Female,data.25 to 54 years,,24.27
2017,data.Canada,data.Female,data.55 years and over,,30.18
2018,data.Canada,data.Total,data.15 to 24 years,,70.37
2018,data.Canada,data.Total,data.25 to 54 years,,20.18
2018,data.Canada,data.Total,data.55 years and over,,24.83
2018,data.Canada,data.Male,data.Total,,24.28
2018,data.Canada,data.Male,data.15 to 24 years,,65.66
2018,data.Canada,data.Male,data.25 to 54 years,,15.81
2018,data.Canada,data.Male,data.55 years and over,,19.12
2018,data.Canada,data.Female,data.Total,,33.72
2018,data.Canada,data.Female,data.15 to 24 years,,75.26
2018,data.Canada,data.Female,data.25 to 54 years,,24.65
2018,data.Canada,data.Female,data.55 years and over,,30.8
2019,data.Canada,data.Total,data.15 to 24 years,,68.56
2019,data.Canada,data.Total,data.25 to 54 years,,18.4
2019,data.Canada,data.Total,data.55 years and over,,24.15
2019,data.Canada,data.Male,data.Total,,22.92
2019,data.Canada,data.Male,data.15 to 24 years,,63.96
2019,data.Canada,data.Male,data.25 to 54 years,,14.19
2019,data.Canada,data.Male,data.55 years and over,,19.09
2019,data.Canada,data.Female,data.Total,,31.97
2019,data.Canada,data.Female,data.15 to 24 years,,73.24
2019,data.Canada,data.Female,data.25 to 54 years,,22.68
2019,data.Canada,data.Female,data.55 years and over,,29.6
2020,data.Canada,data.Total,data.15 to 24 years,,70.81
2020,data.Canada,data.Total,data.25 to 54 years,,18.12
2020,data.Canada,data.Total,data.55 years and over,,24.05
2020,data.Canada,data.Male,data.Total,,22.84
2020,data.Canada,data.Male,data.15 to 24 years,,67.15
2020,data.Canada,data.Male,data.25 to 54 years,,14.55
2020,data.Canada,data.Male,data.55 years and over,,19.04
2020,data.Canada,data.Female,data.Total,,30.73
2020,data.Canada,data.Female,data.15 to 24 years,,74.64
2020,data.Canada,data.Female,data.25 to 54 years,,21.83
2020,data.Canada,data.Female,data.55 years and over,,29.51
2021,data.Canada,data.Total,data.15 to 24 years,,71.35
2021,data.Canada,data.Total,data.25 to 54 years,,18.08
2021,data.Canada,data.Total,data.55 years and over,,24.39
2021,data.Canada,data.Male,data.Total,,23.56
2021,data.Canada,data.Male,data.15 to 24 years,,68.29
2021,data.Canada,data.Male,data.25 to 54 years,,14.69
2021,data.Canada,data.Male,data.55 years and over,,19.54
2021,data.Canada,data.Female,data.Total,,30.95
2021,data.Canada,data.Female,data.15 to 24 years,,74.5
2021,data.Canada,data.Female,data.25 to 54 years,,21.55
2021,data.Canada,data.Female,data.55 years and over,,29.7
2022,data.Canada,data.Total,data.15 to 24 years,,66.95
2022,data.Canada,data.Total,data.25 to 54 years,,15.91
