Year,data.Geography,data.Population characteristics,data.Educational attainment level,data.Age group,data.Sex,GeoCode,Value
2010,,,,,,,50.0
2011,,,,,,,51.0
2012,,,,,,,52.0
2013,,,,,,,53.0
2014,,,,,,,53.0
2015,,,,,,,55.0
2016,,,,,,,56.0
2017,,,,,,,56.0
2018,,,,,,,58.0
2019,,,,,,,59.0
2020,,,,,,,60.0
2021,,,,,,,62.0
2022,,,,,,,63.0
2010,data.Canada,data.Total population,data.Tertiary education,"data.Total, 25 to 64 years",data.Male,,45.0
2010,data.Canada,data.Total population,data.Tertiary education,"data.Total, 25 to 64 years",data.Female,,55.0
2010,data.Canada,data.Total population,data.Tertiary education,data.25 to 34 years,data.Both sexes,,57.0
2010,data.Canada,data.Total population,data.Tertiary education,data.25 to 34 years,data.Male,,49.0
2010,data.Canada,data.Total population,data.Tertiary education,data.25 to 34 years,data.Female,,64.0
2010,data.Canada,data.Total population,data.Tertiary education,data.30 to 34 years,data.Both sexes,,58.0
2010,data.Canada,data.Total population,data.Tertiary education,data.30 to 34 years,data.Male,,51.0
2010,data.Canada,data.Total population,data.Tertiary education,data.30 to 34 years,data.Female,,65.0
2010,data.Canada,data.Total population,data.Tertiary education,data.35 to 44 years,data.Both sexes,,56.0
2010,data.Canada,data.Total population,data.Tertiary education,data.35 to 44 years,data.Male,,50.0
2010,data.Canada,data.Total population,data.Tertiary education,data.35 to 44 years,data.Female,,63.0
2010,data.Canada,data.Total population,data.Tertiary education,data.45 to 54 years,data.Both sexes,,46.0
2010,data.Canada,data.Total population,data.Tertiary education,data.45 to 54 years,data.Male,,42.0
2010,data.Canada,data.Total population,data.Tertiary education,data.45 to 54 years,data.Female,,50.0
2010,data.Canada,data.Total population,data.Tertiary education,data.55 to 64 years,data.Both sexes,,42.0
2010,data.Canada,data.Total population,data.Tertiary education,data.55 to 64 years,data.Male,,41.0
2010,data.Canada,data.Total population,data.Tertiary education,data.55 to 64 years,data.Female,,43.0
2010,data.Canada,data.Total population,data.Short-cycle tertiary,"data.Total, 25 to 64 years",data.Both sexes,,24.0
2010,data.Canada,data.Total population,data.Short-cycle tertiary,"data.Total, 25 to 64 years",data.Male,,20.0
2010,data.Canada,data.Total population,data.Short-cycle tertiary,"data.Total, 25 to 64 years",data.Female,,28.0
2010,data.Canada,data.Total population,data.Short-cycle tertiary,data.25 to 34 years,data.Both sexes,,26.0
2010,data.Canada,data.Total population,data.Short-cycle tertiary,data.25 to 34 years,data.Male,,22.0
2010,data.Canada,data.Total population,data.Short-cycle tertiary,data.25 to 34 years,data.Female,,29.0
