Year,data.Geography,data.Age group,data.Sex,Value
2015,,,,31.5
2016,,,,30.0
2017,,,,28.6
2018,,,,
2019,,,,
2015,data.Canada,"data.Total, 12 years and over",data.Males,24.8
2016,data.Canada,"data.Total, 12 years and over",data.Males,22.9
2017,data.Canada,"data.Total, 12 years and over",data.Males,22.3
2018,data.Canada,"data.Total, 12 years and over",data.Males,
2019,data.Canada,"data.Total, 12 years and over",data.Males,
2015,data.Canada,"data.Total, 12 years and over",data.Females,38.0
2016,data.Canada,"data.Total, 12 years and over",data.Females,36.9
2017,data.Canada,"data.Total, 12 years and over",data.Females,34.7
2018,data.Canada,"data.Total, 12 years and over",data.Females,
2019,data.Canada,"data.Total, 12 years and over",data.Females,
2015,data.Canada,data.12 to 17 years,data.Both sexes,31.3
2016,data.Canada,data.12 to 17 years,data.Both sexes,29.1
2017,data.Canada,data.12 to 17 years,data.Both sexes,27.5
2018,data.Canada,data.12 to 17 years,data.Both sexes,
2019,data.Canada,data.12 to 17 years,data.Both sexes,
2015,data.Canada,data.12 to 17 years,data.Males,30.3
2016,data.Canada,data.12 to 17 years,data.Males,27.7
2017,data.Canada,data.12 to 17 years,data.Males,24.4
2018,data.Canada,data.12 to 17 years,data.Males,
2019,data.Canada,data.12 to 17 years,data.Males,
2015,data.Canada,data.12 to 17 years,data.Females,32.3
2016,data.Canada,data.12 to 17 years,data.Females,30.5
2017,data.Canada,data.12 to 17 years,data.Females,30.7
2018,data.Canada,data.12 to 17 years,data.Females,
2019,data.Canada,data.12 to 17 years,data.Females,
2015,data.Canada,data.18 to 34 years,data.Both sexes,31.3
2016,data.Canada,data.18 to 34 years,data.Both sexes,30.4
2017,data.Canada,data.18 to 34 years,data.Both sexes,27.1
2018,data.Canada,data.18 to 34 years,data.Both sexes,
2019,data.Canada,data.18 to 34 years,data.Both sexes,
2015,data.Canada,data.18 to 34 years,data.Males,25.8
2016,data.Canada,data.18 to 34 years,data.Males,24.4
2017,data.Canada,data.18 to 34 years,data.Males,21.8
2018,data.Canada,data.18 to 34 years,data.Males,
2019,data.Canada,data.18 to 34 years,data.Males,
2015,data.Canada,data.18 to 34 years,data.Females,36.8
2016,data.Canada,data.18 to 34 years,data.Females,36.4
2017,data.Canada,data.18 to 34 years,data.Females,32.4
2018,data.Canada,data.18 to 34 years,data.Females,
2019,data.Canada,data.18 to 34 years,data.Females,
2015,data.Canada,data.35 to 49 years,data.Both sexes,32.9
2016,data.Canada,data.35 to 49 years,data.Both sexes,32.1
2017,data.Canada,data.35 to 49 years,data.Both sexes,30.1
2018,data.Canada,data.35 to 49 years,data.Both sexes,
2019,data.Canada,data.35 to 49 years,data.Both sexes,
2015,data.Canada,data.35 to 49 years,data.Males,25.2
2016,data.Canada,data.35 to 49 years,data.Males,23.5
2017,data.Canada,data.35 to 49 years,data.Males,23.3
2018,data.Canada,data.35 to 49 years,data.Males,
2019,data.Canada,data.35 to 49 years,data.Males,
2015,data.Canada,data.35 to 49 years,data.Females,40.3
2016,data.Canada,data.35 to 49 years,data.Females,40.4
2017,data.Canada,data.35 to 49 years,data.Females,36.7
2018,data.Canada,data.35 to 49 years,data.Females,
2019,data.Canada,data.35 to 49 years,data.Females,
2015,data.Canada,data.50 to 64 years,data.Both sexes,30.6
2016,data.Canada,data.50 to 64 years,data.Both sexes,28.4
2017,data.Canada,data.50 to 64 years,data.Both sexes,27.8
2018,data.Canada,data.50 to 64 years,data.Both sexes,
2019,data.Canada,data.50 to 64 years,data.Both sexes,
2015,data.Canada,data.50 to 64 years,data.Males,21.7
2016,data.Canada,data.50 to 64 years,data.Males,20.3
2017,data.Canada,data.50 to 64 years,data.Males,20.7
2018,data.Canada,data.50 to 64 years,data.Males,
2019,data.Canada,data.50 to 64 years,data.Males,
2015,data.Canada,data.50 to 64 years,data.Females,39.4
2016,data.Canada,data.50 to 64 years,data.Females,36.3
2017,data.Canada,data.50 to 64 years,data.Females,34.7
2018,data.Canada,data.50 to 64 years,data.Females,
2019,data.Canada,data.50 to 64 years,data.Females,
2015,data.Canada,data.65 years and over,data.Both sexes,31.5
2016,data.Canada,data.65 years and over,data.Both sexes,29.5
2017,data.Canada,data.65 years and over,data.Both sexes,30.6
2018,data.Canada,data.65 years and over,data.Both sexes,
2019,data.Canada,data.65 years and over,data.Both sexes,
2015,data.Canada,data.65 years and over,data.Males,24.9
2016,data.Canada,data.65 years and over,data.Males,21.3
2017,data.Canada,data.65 years and over,data.Males,23.3
2018,data.Canada,data.65 years and over,data.Males,
2019,data.Canada,data.65 years and over,data.Males,
2015,data.Canada,data.65 years and over,data.Females,36.9
2016,data.Canada,data.65 years and over,data.Females,36.3
2017,data.Canada,data.65 years and over,data.Females,36.7
2018,data.Canada,data.65 years and over,data.Females,
2019,data.Canada,data.65 years and over,data.Females,
2015,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Both sexes,22.5
2016,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Both sexes,18.3
2017,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Both sexes,18.3
2018,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Both sexes,
2019,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Both sexes,
2015,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Males,19.3
2016,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Males,13.9
2017,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Males,13.5
2018,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Males,
2019,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Males,
2015,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Females,25.5
2016,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Females,22.5
2017,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Females,22.8
2018,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Females,
2019,data.Newfoundland and Labrador,"data.Total, 12 years and over",data.Females,
2015,data.Newfoundland and Labrador,data.12 to 17 years,data.Both sexes,25.6
2016,data.Newfoundland and Labrador,data.12 to 17 years,data.Both sexes,22.3
2017,data.Newfoundland and Labrador,data.12 to 17 years,data.Both sexes,15.0
2018,data.Newfoundland and Labrador,data.12 to 17 years,data.Both sexes,
2019,data.Newfoundland and Labrador,data.12 to 17 years,data.Both sexes,
2015,data.Newfoundland and Labrador,data.12 to 17 years,data.Males,24.8
2016,data.Newfoundland and Labrador,data.12 to 17 years,data.Males,16.8
2017,data.Newfoundland and Labrador,data.12 to 17 years,data.Males,
2018,data.Newfoundland and Labrador,data.12 to 17 years,data.Males,
2019,data.Newfoundland and Labrador,data.12 to 17 years,data.Males,
2015,data.Newfoundland and Labrador,data.12 to 17 years,data.Females,26.5
2016,data.Newfoundland and Labrador,data.12 to 17 years,data.Females,27.9
2017,data.Newfoundland and Labrador,data.12 to 17 years,data.Females,15.5
2018,data.Newfoundland and Labrador,data.12 to 17 years,data.Females,
2019,data.Newfoundland and Labrador,data.12 to 17 years,data.Females,
2015,data.Newfoundland and Labrador,data.18 to 34 years,data.Both sexes,18.9
2016,data.Newfoundland and Labrador,data.18 to 34 years,data.Both sexes,16.7
2017,data.Newfoundland and Labrador,data.18 to 34 years,data.Both sexes,19.9
2018,data.Newfoundland and Labrador,data.18 to 34 years,data.Both sexes,
2019,data.Newfoundland and Labrador,data.18 to 34 years,data.Both sexes,
2015,data.Newfoundland and Labrador,data.18 to 34 years,data.Males,16.9
2016,data.Newfoundland and Labrador,data.18 to 34 years,data.Males,15.0
2017,data.Newfoundland and Labrador,data.18 to 34 years,data.Males,14.6
2018,data.Newfoundland and Labrador,data.18 to 34 years,data.Males,
2019,data.Newfoundland and Labrador,data.18 to 34 years,data.Males,
2015,data.Newfoundland and Labrador,data.18 to 34 years,data.Females,20.9
2016,data.Newfoundland and Labrador,data.18 to 34 years,data.Females,18.3
2017,data.Newfoundland and Labrador,data.18 to 34 years,data.Females,25.3
2018,data.Newfoundland and Labrador,data.18 to 34 years,data.Females,
2019,data.Newfoundland and Labrador,data.18 to 34 years,data.Females,
2015,data.Newfoundland and Labrador,data.35 to 49 years,data.Both sexes,27.1
2016,data.Newfoundland and Labrador,data.35 to 49 years,data.Both sexes,21.0
2017,data.Newfoundland and Labrador,data.35 to 49 years,data.Both sexes,18.6
2018,data.Newfoundland and Labrador,data.35 to 49 years,data.Both sexes,
2019,data.Newfoundland and Labrador,data.35 to 49 years,data.Both sexes,
2015,data.Newfoundland and Labrador,data.35 to 49 years,data.Males,20.7
2016,data.Newfoundland and Labrador,data.35 to 49 years,data.Males,9.4
2017,data.Newfoundland and Labrador,data.35 to 49 years,data.Males,11.2
2018,data.Newfoundland and Labrador,data.35 to 49 years,data.Males,
2019,data.Newfoundland and Labrador,data.35 to 49 years,data.Males,
2015,data.Newfoundland and Labrador,data.35 to 49 years,data.Females,32.8
2016,data.Newfoundland and Labrador,data.35 to 49 years,data.Females,31.9
2017,data.Newfoundland and Labrador,data.35 to 49 years,data.Females,25.9
2018,data.Newfoundland and Labrador,data.35 to 49 years,data.Females,
2019,data.Newfoundland and Labrador,data.35 to 49 years,data.Females,
2015,data.Newfoundland and Labrador,data.50 to 64 years,data.Both sexes,21.2
2016,data.Newfoundland and Labrador,data.50 to 64 years,data.Both sexes,18.0
2017,data.Newfoundland and Labrador,data.50 to 64 years,data.Both sexes,16.8
2018,data.Newfoundland and Labrador,data.50 to 64 years,data.Both sexes,
2019,data.Newfoundland and Labrador,data.50 to 64 years,data.Both sexes,
2015,data.Newfoundland and Labrador,data.50 to 64 years,data.Males,17.3
2016,data.Newfoundland and Labrador,data.50 to 64 years,data.Males,20.2
2017,data.Newfoundland and Labrador,data.50 to 64 years,data.Males,17.3
2018,data.Newfoundland and Labrador,data.50 to 64 years,data.Males,
2019,data.Newfoundland and Labrador,data.50 to 64 years,data.Males,
2015,data.Newfoundland and Labrador,data.50 to 64 years,data.Females,24.9
2016,data.Newfoundland and Labrador,data.50 to 64 years,data.Females,15.9
2017,data.Newfoundland and Labrador,data.50 to 64 years,data.Females,16.3
2018,data.Newfoundland and Labrador,data.50 to 64 years,data.Females,
2019,data.Newfoundland and Labrador,data.50 to 64 years,data.Females,
2015,data.Newfoundland and Labrador,data.65 years and over,data.Both sexes,21.8
2016,data.Newfoundland and Labrador,data.65 years and over,data.Both sexes,16.0
2017,data.Newfoundland and Labrador,data.65 years and over,data.Both sexes,19.4
2018,data.Newfoundland and Labrador,data.65 years and over,data.Both sexes,
2019,data.Newfoundland and Labrador,data.65 years and over,data.Both sexes,
2015,data.Newfoundland and Labrador,data.65 years and over,data.Males,21.4
2016,data.Newfoundland and Labrador,data.65 years and over,data.Males,7.7
2017,data.Newfoundland and Labrador,data.65 years and over,data.Males,9.6
2018,data.Newfoundland and Labrador,data.65 years and over,data.Males,
2019,data.Newfoundland and Labrador,data.65 years and over,data.Males,
2015,data.Newfoundland and Labrador,data.65 years and over,data.Females,22.1
2016,data.Newfoundland and Labrador,data.65 years and over,data.Females,23.1
2017,data.Newfoundland and Labrador,data.65 years and over,data.Females,27.7
2018,data.Newfoundland and Labrador,data.65 years and over,data.Females,
