Year,Geography,Age group,Gender,Progress,GeoCode,Value
2015,Canada,"Total, 15 years and over","Total, all persons",1.5,,12.5
2015,Canada,"Total, 15 years and over",Men+,,,10.0
2015,Canada,"Total, 15 years and over",Women+,,,15.0
2015,Canada,15 to 24 years,"Total, all persons",,,5.4
2015,Canada,25 to 54 years,"Total, all persons",,,13.3
2015,Canada,25 to 34 years,"Total, all persons",,,12.1
2015,Canada,35 to 44 years,"Total, all persons",,,15.0
2015,Canada,45 to 54 years,"Total, all persons",,,13.3
2015,Canada,55 to 64 years,"Total, all persons",,,14.2
2015,Canada,65 years and over,"Total, all persons",,,15.0
2015,Atlantic,"Total, 15 years and over","Total, all persons",,1,13.3
2015,Quebec,"Total, 15 years and over","Total, all persons",,24,12.5
2015,Ontario,"Total, 15 years and over","Total, all persons",,35,12.5
2015,Prairies,"Total, 15 years and over","Total, all persons",,4,12.9
2015,British Columbia,"Total, 15 years and over","Total, all persons",,59,12.5
2022,Canada,"Total, 15 years and over","Total, all persons",1.42592592592593,,13.3
2022,Canada,"Total, 15 years and over",Men+,,,10.8
2022,Canada,"Total, 15 years and over",Women+,,,15.4
2022,Canada,15 to 24 years,"Total, all persons",1.5,,5.0
2022,Canada,15 to 24 years,Men+,,,4.2
2022,Canada,15 to 24 years,Women+,,,6.3
2022,Canada,25 to 54 years,"Total, all persons",1.65740740740741,,14.6
2022,Canada,25 to 54 years,Men+,,,10.8
2022,Canada,25 to 54 years,Women+,,,17.9
2022,Canada,25 to 34 years,"Total, all persons",1.85227272727273,,12.5
2022,Canada,25 to 34 years,Men+,,,8.8
2022,Canada,25 to 34 years,Women+,,,16.3
2022,Canada,35 to 44 years,"Total, all persons",1.632,,16.3
2022,Canada,35 to 44 years,Men+,,,12.5
2022,Canada,35 to 44 years,Women+,,,20.4
2022,Canada,45 to 54 years,"Total, all persons",1.3801652892562,,14.2
2022,Canada,45 to 54 years,Men+,,,12.1
2022,Canada,45 to 54 years,Women+,,,16.7
2022,Canada,55 to 64 years,"Total, all persons",1.29457364341085,,14.6
2022,Canada,55 to 64 years,Men+,,,12.9
2022,Canada,55 to 64 years,Women+,,,16.7
2022,Canada,65 years and over,"Total, all persons",1.18796992481203,,14.6
2022,Canada,65 years and over,Men+,,,13.3
2022,Canada,65 years and over,Women+,,,15.8
2022,Atlantic,"Total, 15 years and over","Total, all persons",1.42735042735043,1,14.2
2022,Atlantic,"Total, 15 years and over",Men+,,1,11.7
2022,Atlantic,"Total, 15 years and over",Women+,,1,16.7
2022,Atlantic,15 to 24 years,"Total, all persons",,1,
2022,Atlantic,15 to 24 years,Men+,,1,
2022,Atlantic,15 to 24 years,Women+,,1,
2022,Atlantic,25 to 54 years,"Total, all persons",1.4957264957265,1,14.6
2022,Atlantic,25 to 54 years,Men+,,1,11.7
2022,Atlantic,25 to 54 years,Women+,,1,17.5
2022,Atlantic,25 to 34 years,"Total, all persons",,1,13.8
2022,Atlantic,25 to 34 years,Men+,,1,
2022,Atlantic,25 to 34 years,Women+,,1,16.3
2022,Atlantic,35 to 44 years,"Total, all persons",,1,17.5
2022,Atlantic,35 to 44 years,Men+,,1,
2022,Atlantic,35 to 44 years,Women+,,1,20.0
2022,Atlantic,45 to 54 years,"Total, all persons",1.85869565217391,1,13.3
2022,Atlantic,45 to 54 years,Men+,,1,9.2
2022,Atlantic,45 to 54 years,Women+,,1,17.1
2022,Atlantic,55 to 64 years,"Total, all persons",1.18796992481203,1,14.6
2022,Atlantic,55 to 64 years,Men+,,1,13.3
2022,Atlantic,55 to 64 years,Women+,,1,15.8
2022,Atlantic,65 years and over,"Total, all persons",1.14,1,16.3
2022,Atlantic,65 years and over,Men+,,1,15.0
2022,Atlantic,65 years and over,Women+,,1,17.1
2022,Quebec,"Total, 15 years and over","Total, all persons",1.42,24,12.1
2022,Quebec,"Total, 15 years and over",Men+,,24,10.0
2022,Quebec,"Total, 15 years and over",Women+,,24,14.2
2022,Quebec,15 to 24 years,"Total, all persons",,24,
2022,Quebec,15 to 24 years,Men+,,24,
2022,Quebec,15 to 24 years,Women+,,24,
2022,Quebec,25 to 54 years,"Total, all persons",1.69791666666667,24,12.9
2022,Quebec,25 to 54 years,Men+,,24,9.6
2022,Quebec,25 to 54 years,Women+,,24,16.3
2022,Quebec,25 to 34 years,"Total, all persons",2.22666666666667,24,11.7
2022,Quebec,25 to 34 years,Men+,,24,7.5
2022,Quebec,25 to 34 years,Women+,,24,16.7
2022,Quebec,35 to 44 years,"Total, all persons",1.75961538461538,24,14.2
2022,Quebec,35 to 44 years,Men+,,24,10.4
2022,Quebec,35 to 44 years,Women+,,24,18.3
2022,Quebec,45 to 54 years,"Total, all persons",1.29203539823009,24,12.9
2022,Quebec,45 to 54 years,Men+,,24,11.3
2022,Quebec,45 to 54 years,Women+,,24,14.6
2022,Quebec,55 to 64 years,"Total, all persons",1.232,24,14.2
2022,Quebec,55 to 64 years,Men+,,24,12.5
2022,Quebec,55 to 64 years,Women+,,24,15.4
2022,Quebec,65 years and over,"Total, all persons",1.136,24,13.3
2022,Quebec,65 years and over,Men+,,24,12.5
2022,Quebec,65 years and over,Women+,,24,14.2
2022,Ontario,"Total, 15 years and over","Total, all persons",1.50925925925926,35,13.8
2022,Ontario,"Total, 15 years and over",Men+,,35,10.8
2022,Ontario,"Total, 15 years and over",Women+,,35,16.3
2022,Ontario,15 to 24 years,"Total, all persons",,35,5.0
2022,Ontario,15 to 24 years,Men+,,35,
2022,Ontario,15 to 24 years,Women+,,35,
2022,Ontario,25 to 54 years,"Total, all persons",1.51239669421488,35,15.0
2022,Ontario,25 to 54 years,Men+,,35,12.1
2022,Ontario,25 to 54 years,Women+,,35,18.3
