Year,data.Geography,GeoCode,Value
2000,,,1.9
2001,,,2.0
2002,,,2.0
2003,,,2.0
2004,,,2.0
2005,,,2.0
2006,,,1.9
2007,,,1.9
2008,,,1.9
2009,,,1.9
2010,,,1.8
2011,,,1.8
2012,,,1.8
2013,,,1.7
2014,,,1.7
2015,,,1.7
2016,,,1.7
2017,,,1.7
2018,,,1.7
2019,,,1.8
2020,,,1.9
2021,,,1.9
2022,,,1.8
2023,,,1.8
2000,data.Newfoundland and Labrador,10,
2000,data.Prince Edward Island,11,
2000,data.Nova Scotia,12,
2000,data.New Brunswick,13,
2000,data.Quebec,24,
2000,data.Ontario,35,
2000,data.Manitoba,46,
2000,data.Saskatchewan,47,
2000,data.Alberta,48,
2000,data.British Columbia,59,
2001,data.Newfoundland and Labrador,10,
2001,data.Prince Edward Island,11,
2001,data.Nova Scotia,12,
2001,data.New Brunswick,13,
2001,data.Quebec,24,
2001,data.Ontario,35,
2001,data.Manitoba,46,
2001,data.Saskatchewan,47,
2001,data.Alberta,48,
2001,data.British Columbia,59,
2002,data.Newfoundland and Labrador,10,
2002,data.Prince Edward Island,11,
2002,data.Nova Scotia,12,
2002,data.New Brunswick,13,
2002,data.Quebec,24,
2002,data.Ontario,35,
2002,data.Manitoba,46,
2002,data.Saskatchewan,47,
2002,data.Alberta,48,
2002,data.British Columbia,59,
2003,data.Newfoundland and Labrador,10,
2003,data.Prince Edward Island,11,
2003,data.Nova Scotia,12,
2003,data.New Brunswick,13,
2003,data.Quebec,24,
2003,data.Ontario,35,
2003,data.Manitoba,46,
2003,data.Saskatchewan,47,
2003,data.Alberta,48,
2003,data.British Columbia,59,
2004,data.Newfoundland and Labrador,10,
2004,data.Prince Edward Island,11,
2004,data.Nova Scotia,12,
2004,data.New Brunswick,13,
2004,data.Quebec,24,
2004,data.Ontario,35,
2004,data.Manitoba,46,
2004,data.Saskatchewan,47,
2004,data.Alberta,48,
2004,data.British Columbia,59,
2005,data.Newfoundland and Labrador,10,
2005,data.Prince Edward Island,11,
2005,data.Nova Scotia,12,
2005,data.New Brunswick,13,
2005,data.Quebec,24,
2005,data.Ontario,35,
2005,data.Manitoba,46,
2005,data.Saskatchewan,47,
2005,data.Alberta,48,
2005,data.British Columbia,59,
2006,data.Newfoundland and Labrador,10,
2006,data.Prince Edward Island,11,
2006,data.Nova Scotia,12,
2006,data.New Brunswick,13,
2006,data.Quebec,24,
2006,data.Ontario,35,
2006,data.Manitoba,46,
2006,data.Saskatchewan,47,
2006,data.Alberta,48,
2006,data.British Columbia,59,
2007,data.Newfoundland and Labrador,10,
2007,data.Prince Edward Island,11,
2007,data.Nova Scotia,12,
2007,data.New Brunswick,13,
2007,data.Quebec,24,
2007,data.Ontario,35,
2007,data.Manitoba,46,
2007,data.Saskatchewan,47,
2007,data.Alberta,48,
2007,data.British Columbia,59,
2008,data.Newfoundland and Labrador,10,
2008,data.Prince Edward Island,11,
2008,data.Nova Scotia,12,
2008,data.New Brunswick,13,
2008,data.Quebec,24,
2008,data.Ontario,35,
2008,data.Manitoba,46,
2008,data.Saskatchewan,47,
2008,data.Alberta,48,
2008,data.British Columbia,59,
2009,data.Newfoundland and Labrador,10,
2009,data.Prince Edward Island,11,
2009,data.Nova Scotia,12,
2009,data.New Brunswick,13,
2009,data.Quebec,24,
2009,data.Ontario,35,
2009,data.Manitoba,46,
2009,data.Saskatchewan,47,
2009,data.Alberta,48,
2009,data.British Columbia,59,
2010,data.Newfoundland and Labrador,10,0.9
2010,data.Prince Edward Island,11,1.3
2010,data.Nova Scotia,12,1.4
2010,data.New Brunswick,13,1.0
2010,data.Quebec,24,2.4
2010,data.Ontario,35,2.2
2010,data.Manitoba,46,1.3
2010,data.Saskatchewan,47,0.9
2010,data.Alberta,48,1.1
2010,data.British Columbia,59,1.5
2011,data.Newfoundland and Labrador,10,0.9
2011,data.Prince Edward Island,11,1.2
2011,data.Nova Scotia,12,1.3
2011,data.New Brunswick,13,0.9
