Year,data.Age at time of death,data.Sex,data.Leading causes of death (ICD-10),Value
2015,data.All ages,data.Both sexes,data.Malignant neoplasms [C00-C97],215.9
2015,data.All ages,data.Both sexes,data.Diabetes mellitus [E10-E14],20.1
2015,data.All ages,data.Both sexes,data.Alzheimer's disease [G30],18.5
2015,data.All ages,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",144.6
2015,data.All ages,data.Both sexes,data.Cerebrovascular diseases [I60-I69],38.7
2015,data.All ages,data.Both sexes,data.Influenza and pneumonia [J09-J18],21.4
2015,data.All ages,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],35.2
2015,data.All ages,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",8.9
2015,data.All ages,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",34.0
2015,data.All ages,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",12.6
2015,data.All ages,data.Males,data.Malignant neoplasms [C00-C97],228.3
2015,data.All ages,data.Males,data.Diabetes mellitus [E10-E14],22.3
2015,data.All ages,data.Males,data.Alzheimer's disease [G30],12.0
2015,data.All ages,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",154.5
2015,data.All ages,data.Males,data.Cerebrovascular diseases [I60-I69],32.6
2015,data.All ages,data.Males,data.Influenza and pneumonia [J09-J18],19.4
2015,data.All ages,data.Males,data.Chronic lower respiratory diseases [J40-J47],35.2
2015,data.All ages,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",11.9
2015,data.All ages,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",40.0
2015,data.All ages,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",18.8
2015,data.All ages,data.Females,data.Malignant neoplasms [C00-C97],203.7
2015,data.All ages,data.Females,data.Diabetes mellitus [E10-E14],17.9
2015,data.All ages,data.Females,data.Alzheimer's disease [G30],24.8
2015,data.All ages,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",134.9
2015,data.All ages,data.Females,data.Cerebrovascular diseases [I60-I69],44.7
2015,data.All ages,data.Females,data.Influenza and pneumonia [J09-J18],23.4
2015,data.All ages,data.Females,data.Chronic lower respiratory diseases [J40-J47],35.3
2015,data.All ages,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",6.0
2015,data.All ages,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",28.0
2015,data.All ages,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",6.4
2015,data.1 to 14 years,data.Both sexes,data.Malignant neoplasms [C00-C97],2.4
2015,data.1 to 14 years,data.Both sexes,data.Diabetes mellitus [E10-E14],0.1
2015,data.1 to 14 years,data.Both sexes,data.Alzheimer's disease [G30],0.0
2015,data.1 to 14 years,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.3
2015,data.1 to 14 years,data.Both sexes,data.Cerebrovascular diseases [I60-I69],0.2
2015,data.1 to 14 years,data.Both sexes,data.Influenza and pneumonia [J09-J18],0.3
2015,data.1 to 14 years,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],0.2
2015,data.1 to 14 years,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2015,data.1 to 14 years,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",2.9
2015,data.1 to 14 years,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",1.8
2015,data.1 to 14 years,data.Males,data.Malignant neoplasms [C00-C97],2.5
2015,data.1 to 14 years,data.Males,data.Diabetes mellitus [E10-E14],0.1
2015,data.1 to 14 years,data.Males,data.Alzheimer's disease [G30],0.0
2015,data.1 to 14 years,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.5
2015,data.1 to 14 years,data.Males,data.Cerebrovascular diseases [I60-I69],0.3
2015,data.1 to 14 years,data.Males,data.Influenza and pneumonia [J09-J18],0.4
2015,data.1 to 14 years,data.Males,data.Chronic lower respiratory diseases [J40-J47],0.2
2015,data.1 to 14 years,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2015,data.1 to 14 years,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",3.6
2015,data.1 to 14 years,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",1.4
2015,data.1 to 14 years,data.Females,data.Malignant neoplasms [C00-C97],2.3
2015,data.1 to 14 years,data.Females,data.Diabetes mellitus [E10-E14],0.0
2015,data.1 to 14 years,data.Females,data.Alzheimer's disease [G30],0.0
2015,data.1 to 14 years,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.2
2015,data.1 to 14 years,data.Females,data.Cerebrovascular diseases [I60-I69],0.2
2015,data.1 to 14 years,data.Females,data.Influenza and pneumonia [J09-J18],0.3
2015,data.1 to 14 years,data.Females,data.Chronic lower respiratory diseases [J40-J47],0.2
2015,data.1 to 14 years,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.0
2015,data.1 to 14 years,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",2.2
2015,data.1 to 14 years,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",2.3
2015,data.15 to 24,data.Both sexes,data.Malignant neoplasms [C00-C97],3.3
2015,data.15 to 24,data.Both sexes,data.Diabetes mellitus [E10-E14],0.3
2015,data.15 to 24,data.Both sexes,data.Alzheimer's disease [G30],0.0
2015,data.15 to 24,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",1.0
2015,data.15 to 24,data.Both sexes,data.Cerebrovascular diseases [I60-I69],0.2
2015,data.15 to 24,data.Both sexes,data.Influenza and pneumonia [J09-J18],0.3
2015,data.15 to 24,data.Both sexes,data.Chronic lower respiratory diseases [J40-J47],0.1
2015,data.15 to 24,data.Both sexes,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.2
2015,data.15 to 24,data.Both sexes,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",16.4
2015,data.15 to 24,data.Both sexes,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",11.7
2015,data.15 to 24,data.Males,data.Malignant neoplasms [C00-C97],4.1
2015,data.15 to 24,data.Males,data.Diabetes mellitus [E10-E14],0.3
2015,data.15 to 24,data.Males,data.Alzheimer's disease [G30],0.0
2015,data.15 to 24,data.Males,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",1.1
2015,data.15 to 24,data.Males,data.Cerebrovascular diseases [I60-I69],0.1
2015,data.15 to 24,data.Males,data.Influenza and pneumonia [J09-J18],0.5
2015,data.15 to 24,data.Males,data.Chronic lower respiratory diseases [J40-J47],0.2
2015,data.15 to 24,data.Males,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.2
2015,data.15 to 24,data.Males,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",23.0
2015,data.15 to 24,data.Males,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",16.1
2015,data.15 to 24,data.Females,data.Malignant neoplasms [C00-C97],2.5
2015,data.15 to 24,data.Females,data.Diabetes mellitus [E10-E14],0.2
2015,data.15 to 24,data.Females,data.Alzheimer's disease [G30],0.0
2015,data.15 to 24,data.Females,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",0.9
2015,data.15 to 24,data.Females,data.Cerebrovascular diseases [I60-I69],0.3
2015,data.15 to 24,data.Females,data.Influenza and pneumonia [J09-J18],0.1
2015,data.15 to 24,data.Females,data.Chronic lower respiratory diseases [J40-J47],0.2
2015,data.15 to 24,data.Females,"data.Chronic liver disease and cirrhosis [K70, K73-K74]",0.2
2015,data.15 to 24,data.Females,"data.Accidents (unintentional injuries) [V01-X59, Y85-Y86]",9.4
2015,data.15 to 24,data.Females,"data.Intentional self-harm (suicide) [X60-X84, Y87.0]",7.0
2015,data.25 to 34 years,data.Both sexes,data.Malignant neoplasms [C00-C97],8.3
2015,data.25 to 34 years,data.Both sexes,data.Diabetes mellitus [E10-E14],1.1
2015,data.25 to 34 years,data.Both sexes,data.Alzheimer's disease [G30],0.0
2015,data.25 to 34 years,data.Both sexes,"data.Diseases of heart [I00-I09, I11, I13, I20-I51]",3.0
2015,data.25 to 34 years,data.Both sexes,data.Cerebrovascular diseases [I60-I69],0.7
2015,data.25 to 34 years,data.Both sexes,data.Influenza and pneumonia [J09-J18],0.4
