Year,Age,Generation,Type of household,Ownership status,Income quintile,Main source of household income,Value
2015 Q4,,,,,,,178.2
2016 Q4,,,,,,,187.1
2017 Q4,,,,,,,187.3
2018 Q4,,,,,,,188.7
2019 Q4,,,,,,,187.7
2020 Q4,,,,,,,175.2
2021 Q4,,,,,,,181.5
2022 Q4,,,,,,,178.5
2023 Q4,,,,,,,175.0
2024 Q4,,,,,,,169.7
2015 Q4,Less than 35 years,,,,,,204.0
2015 Q4,35 to 44 years,,,,,,244.9
2015 Q4,45 to 54 years,,,,,,201.7
2015 Q4,55 to 64 years,,,,,,165.6
2015 Q4,65 years and over,,,,,,69.9
2016 Q4,Less than 35 years,,,,,,209.5
2016 Q4,35 to 44 years,,,,,,249.7
2016 Q4,45 to 54 years,,,,,,219.3
2016 Q4,55 to 64 years,,,,,,181.0
2016 Q4,65 years and over,,,,,,73.9
2017 Q4,Less than 35 years,,,,,,207.2
2017 Q4,35 to 44 years,,,,,,244.0
2017 Q4,45 to 54 years,,,,,,223.4
2017 Q4,55 to 64 years,,,,,,185.0
2017 Q4,65 years and over,,,,,,75.1
2018 Q4,Less than 35 years,,,,,,202.7
2018 Q4,35 to 44 years,,,,,,252.4
2018 Q4,45 to 54 years,,,,,,236.5
2018 Q4,55 to 64 years,,,,,,177.3
2018 Q4,65 years and over,,,,,,73.9
2019 Q4,Less than 35 years,,,,,,200.0
2019 Q4,35 to 44 years,,,,,,258.3
2019 Q4,45 to 54 years,,,,,,243.4
2019 Q4,55 to 64 years,,,,,,168.2
2019 Q4,65 years and over,,,,,,71.3
2020 Q4,Less than 35 years,,,,,,187.0
2020 Q4,35 to 44 years,,,,,,235.2
2020 Q4,45 to 54 years,,,,,,212.0
2020 Q4,55 to 64 years,,,,,,166.4
2020 Q4,65 years and over,,,,,,72.0
2021 Q4,Less than 35 years,,,,,,188.6
2021 Q4,35 to 44 years,,,,,,245.1
2021 Q4,45 to 54 years,,,,,,216.5
2021 Q4,55 to 64 years,,,,,,171.1
2021 Q4,65 years and over,,,,,,77.2
2022 Q4,Less than 35 years,,,,,,184.5
2022 Q4,35 to 44 years,,,,,,245.9
2022 Q4,45 to 54 years,,,,,,212.2
2022 Q4,55 to 64 years,,,,,,168.5
2022 Q4,65 years and over,,,,,,74.5
2023 Q4,Less than 35 years,,,,,,175.3
2023 Q4,35 to 44 years,,,,,,245.1
2023 Q4,45 to 54 years,,,,,,211.1
2023 Q4,55 to 64 years,,,,,,172.3
2023 Q4,65 years and over,,,,,,71.6
2024 Q4,Less than 35 years,,,,,,160.8
2024 Q4,35 to 44 years,,,,,,238.2
2024 Q4,45 to 54 years,,,,,,203.3
2024 Q4,55 to 64 years,,,,,,173.7
2024 Q4,65 years and over,,,,,,72.7
2015 Q4,,Pre-1946,,,,,58.9
2015 Q4,,Baby boom,,,,,162.6
2015 Q4,,Generation X,,,,,230.7
2015 Q4,,Millennials,,,,,198.0
2016 Q4,,Pre-1946,,,,,56.9
2016 Q4,,Baby boom,,,,,168.9
2016 Q4,,Generation X,,,,,245.5
2016 Q4,,Millennials,,,,,204.8
2017 Q4,,Pre-1946,,,,,53.5
2017 Q4,,Baby boom,,,,,166.4
2017 Q4,,Generation X,,,,,244.0
2017 Q4,,Millennials,,,,,205.3
2018 Q4,,Pre-1946,,,,,45.1
2018 Q4,,Baby boom,,,,,160.7
2018 Q4,,Generation X,,,,,250.0
2018 Q4,,Millennials,,,,,206.8
2019 Q4,,Pre-1946,,,,,43.4
2019 Q4,,Baby boom,,,,,152.2
2019 Q4,,Generation X,,,,,244.2
2019 Q4,,Millennials,,,,,213.1
2020 Q4,,Pre-1946,,,,,41.4
2020 Q4,,Baby boom,,,,,142.9
2020 Q4,,Generation X,,,,,227.2
2020 Q4,,Millennials,,,,,186.0
2021 Q4,,Pre-1946,,,,,40.2
2021 Q4,,Baby boom,,,,,131.7
2021 Q4,,Generation X,,,,,231.2
2021 Q4,,Millennials,,,,,209.3
2022 Q4,,Pre-1946,,,,,31.3
2022 Q4,,Baby boom,,,,,114.5
2022 Q4,,Generation X,,,,,223.5
2022 Q4,,Millennials,,,,,231.1
2023 Q4,,Pre-1946,,,,,28.3
2023 Q4,,Baby boom,,,,,103.7
2023 Q4,,Generation X,,,,,212.0
2023 Q4,,Millennials,,,,,241.0
2024 Q4,,Pre-1946,,,,,26.9
2024 Q4,,Baby boom,,,,,100.0
2024 Q4,,Generation X,,,,,201.5
2024 Q4,,Millennials,,,,,224.4
2015 Q4,,,One-person households,,,,143.7
2015 Q4,,,Multiple-person households,,,,184.3
2016 Q4,,,One-person households,,,,150.8
2016 Q4,,,Multiple-person households,,,,193.5
2017 Q4,,,One-person households,,,,152.7
2017 Q4,,,Multiple-person households,,,,193.3
2018 Q4,,,One-person households,,,,154.1
2018 Q4,,,Multiple-person households,,,,194.8
2019 Q4,,,One-person households,,,,153.7
2019 Q4,,,Multiple-person households,,,,193.7
2020 Q4,,,One-person households,,,,148.4
2020 Q4,,,Multiple-person households,,,,179.9
2021 Q4,,,One-person households,,,,157.9
2021 Q4,,,Multiple-person households,,,,185.7
2022 Q4,,,One-person households,,,,149.5
2022 Q4,,,Multiple-person households,,,,183.8
2023 Q4,,,One-person households,,,,163.6
2023 Q4,,,Multiple-person households,,,,176.9
2024 Q4,,,One-person households,,,,172.0
