Year,Geography,Persons in low income,GeoCode,Value
2015,,,,14.5
2016,,,,12.9
2017,,,,11.9
2018,,,,11.2
2019,,,,10.3
2020,,,,6.4
2021,,,,7.4
2022,,,,9.9
2023,,,,10.2
2015,Alberta,All persons,48,9.4
2016,Alberta,All persons,48,10.1
2017,Alberta,All persons,48,8.5
2018,Alberta,All persons,48,8.8
2019,Alberta,All persons,48,7.7
2020,Alberta,All persons,48,5.5
2021,Alberta,All persons,48,7.8
2022,Alberta,All persons,48,9.7
2023,Alberta,All persons,48,8.9
2015,Alberta,Females,48,9.9
2016,Alberta,Females,48,10.5
2017,Alberta,Females,48,9.3
2018,Alberta,Females,48,8.7
2019,Alberta,Females,48,7.7
2020,Alberta,Females,48,5.5
2021,Alberta,Females,48,8.1
2022,Alberta,Females,48,10.2
2023,Alberta,Females,48,9.1
2015,Alberta,"Females, 18 to 64 years",48,9.5
2016,Alberta,"Females, 18 to 64 years",48,11.6
2017,Alberta,"Females, 18 to 64 years",48,10.8
2018,Alberta,"Females, 18 to 64 years",48,9.9
2019,Alberta,"Females, 18 to 64 years",48,9.1
2020,Alberta,"Females, 18 to 64 years",48,6.5
2021,Alberta,"Females, 18 to 64 years",48,8.6
2022,Alberta,"Females, 18 to 64 years",48,10.5
2023,Alberta,"Females, 18 to 64 years",48,10.1
2015,Alberta,"Females, 65 years and over",48,3.2
2016,Alberta,"Females, 65 years and over",48,4.1
2017,Alberta,"Females, 65 years and over",48,3.0
2018,Alberta,"Females, 65 years and over",48,4.3
2019,Alberta,"Females, 65 years and over",48,2.7
2020,Alberta,"Females, 65 years and over",48,3.5
2021,Alberta,"Females, 65 years and over",48,6.3
2022,Alberta,"Females, 65 years and over",48,5.9
2023,Alberta,"Females, 65 years and over",48,4.5
2015,Alberta,"Females, under 18 years",48,15.0
2016,Alberta,"Females, under 18 years",48,10.8
2017,Alberta,"Females, under 18 years",48,8.4
2018,Alberta,"Females, under 18 years",48,8.1
2019,Alberta,"Females, under 18 years",48,6.7
2020,Alberta,"Females, under 18 years",48,4.2
2021,Alberta,"Females, under 18 years",48,8.1
2022,Alberta,"Females, under 18 years",48,12.4
2023,Alberta,"Females, under 18 years",48,9.4
2015,Alberta,Males,48,8.9
2016,Alberta,Males,48,9.8
2017,Alberta,Males,48,7.8
2018,Alberta,Males,48,8.9
2019,Alberta,Males,48,7.8
2020,Alberta,Males,48,5.5
2021,Alberta,Males,48,7.5
2022,Alberta,Males,48,9.3
2023,Alberta,Males,48,8.7
2015,Alberta,"Males, 18 to 64 years",48,9.6
2016,Alberta,"Males, 18 to 64 years",48,10.3
2017,Alberta,"Males, 18 to 64 years",48,8.8
2018,Alberta,"Males, 18 to 64 years",48,9.9
2019,Alberta,"Males, 18 to 64 years",48,8.6
2020,Alberta,"Males, 18 to 64 years",48,6.6
2021,Alberta,"Males, 18 to 64 years",48,8.1
2022,Alberta,"Males, 18 to 64 years",48,9.8
2023,Alberta,"Males, 18 to 64 years",48,8.8
2016,Alberta,"Males, 65 years and over",48,4.5
2017,Alberta,"Males, 65 years and over",48,2.7
2018,Alberta,"Males, 65 years and over",48,2.4
2019,Alberta,"Males, 65 years and over",48,4.5
2020,Alberta,"Males, 65 years and over",48,2.3
2021,Alberta,"Males, 65 years and over",48,5.5
2022,Alberta,"Males, 65 years and over",48,5.3
2023,Alberta,"Males, 65 years and over",48,3.9
2015,Alberta,"Males, under 18 years",48,9.8
2016,Alberta,"Males, under 18 years",48,10.8
2017,Alberta,"Males, under 18 years",48,7.2
2018,Alberta,"Males, under 18 years",48,9.4
2019,Alberta,"Males, under 18 years",48,7.1
2020,Alberta,"Males, under 18 years",48,4.3
2021,Alberta,"Males, under 18 years",48,6.9
2022,Alberta,"Males, under 18 years",48,10.1
2023,Alberta,"Males, under 18 years",48,11.2
2015,Alberta,Persons 18 to 64 years,48,9.5
2016,Alberta,Persons 18 to 64 years,48,10.9
2017,Alberta,Persons 18 to 64 years,48,9.8
2018,Alberta,Persons 18 to 64 years,48,9.9
2019,Alberta,Persons 18 to 64 years,48,8.9
2020,Alberta,Persons 18 to 64 years,48,6.5
2021,Alberta,Persons 18 to 64 years,48,8.3
2022,Alberta,Persons 18 to 64 years,48,10.2
2023,Alberta,Persons 18 to 64 years,48,9.5
2015,Alberta,Persons 65 years and over,48,3.1
2016,Alberta,Persons 65 years and over,48,4.3
2017,Alberta,Persons 65 years and over,48,2.9
2018,Alberta,Persons 65 years and over,48,3.4
2019,Alberta,Persons 65 years and over,48,3.5
2020,Alberta,Persons 65 years and over,48,2.9
2021,Alberta,Persons 65 years and over,48,5.9
2022,Alberta,Persons 65 years and over,48,5.6
2023,Alberta,Persons 65 years and over,48,4.2
2015,Alberta,Persons under 18 years,48,12.3
2016,Alberta,Persons under 18 years,48,10.8
2017,Alberta,Persons under 18 years,48,7.8
2018,Alberta,Persons under 18 years,48,8.8
2019,Alberta,Persons under 18 years,48,6.9
2020,Alberta,Persons under 18 years,48,4.2
2021,Alberta,Persons under 18 years,48,7.5
2022,Alberta,Persons under 18 years,48,11.2
2023,Alberta,Persons under 18 years,48,10.3
2015,Atlantic provinces,All persons,,15.7
2016,Atlantic provinces,All persons,,14.5
2017,Atlantic provinces,All persons,,13.5
2018,Atlantic provinces,All persons,,12.3
2019,Atlantic provinces,All persons,,11.2
2020,Atlantic provinces,All persons,,7.5
2021,Atlantic provinces,All persons,,7.8
2022,Atlantic provinces,All persons,,11.5
2023,Atlantic provinces,All persons,,12.1
2015,Atlantic provinces,Females,,16.3
2016,Atlantic provinces,Females,,15.0
2017,Atlantic provinces,Females,,14.6
2018,Atlantic provinces,Females,,12.5
2019,Atlantic provinces,Females,,12.4
2020,Atlantic provinces,Females,,8.1
2021,Atlantic provinces,Females,,8.8
2022,Atlantic provinces,Females,,11.8
2023,Atlantic provinces,Females,,12.3
2015,Atlantic provinces,"Females, 18 to 64 years",,16.7
2016,Atlantic provinces,"Females, 18 to 64 years",,16.3
2017,Atlantic provinces,"Females, 18 to 64 years",,16.0
2018,Atlantic provinces,"Females, 18 to 64 years",,13.7
2019,Atlantic provinces,"Females, 18 to 64 years",,13.5
2020,Atlantic provinces,"Females, 18 to 64 years",,9.5
2021,Atlantic provinces,"Females, 18 to 64 years",,9.4
2022,Atlantic provinces,"Females, 18 to 64 years",,12.7
2023,Atlantic provinces,"Females, 18 to 64 years",,13.6
2015,Atlantic provinces,"Females, 65 years and over",,12.4
2016,Atlantic provinces,"Females, 65 years and over",,9.7
2017,Atlantic provinces,"Females, 65 years and over",,8.3
2018,Atlantic provinces,"Females, 65 years and over",,8.7
2019,Atlantic provinces,"Females, 65 years and over",,8.8
2020,Atlantic provinces,"Females, 65 years and over",,5.0
2021,Atlantic provinces,"Females, 65 years and over",,7.6
2022,Atlantic provinces,"Females, 65 years and over",,9.7
2023,Atlantic provinces,"Females, 65 years and over",,8.0
2015,Atlantic provinces,"Females, under 18 years",,19.3
2016,Atlantic provinces,"Females, under 18 years",,16.4
2017,Atlantic provinces,"Females, under 18 years",,17.5
2018,Atlantic provinces,"Females, under 18 years",,12.9
2019,Atlantic provinces,"Females, under 18 years",,13.2
2020,Atlantic provinces,"Females, under 18 years",,7.3
2021,Atlantic provinces,"Females, under 18 years",,8.3
2022,Atlantic provinces,"Females, under 18 years",,11.8
2023,Atlantic provinces,"Females, under 18 years",,14.2
2015,Atlantic provinces,Males,,15.0
2016,Atlantic provinces,Males,,14.0
2017,Atlantic provinces,Males,,12.3
2018,Atlantic provinces,Males,,12.1
2019,Atlantic provinces,Males,,9.9
2020,Atlantic provinces,Males,,6.9
2021,Atlantic provinces,Males,,6.7
2022,Atlantic provinces,Males,,11.1
2023,Atlantic provinces,Males,,11.8
2015,Atlantic provinces,"Males, 18 to 64 years",,15.8
2016,Atlantic provinces,"Males, 18 to 64 years",,14.7
2017,Atlantic provinces,"Males, 18 to 64 years",,13.4
2018,Atlantic provinces,"Males, 18 to 64 years",,13.8
2019,Atlantic provinces,"Males, 18 to 64 years",,10.9
2020,Atlantic provinces,"Males, 18 to 64 years",,8.4
2021,Atlantic provinces,"Males, 18 to 64 years",,7.3
2022,Atlantic provinces,"Males, 18 to 64 years",,12.1
2023,Atlantic provinces,"Males, 18 to 64 years",,12.7
2015,Atlantic provinces,"Males, 65 years and over",,8.2
2016,Atlantic provinces,"Males, 65 years and over",,7.4
2017,Atlantic provinces,"Males, 65 years and over",,5.6
2018,Atlantic provinces,"Males, 65 years and over",,5.2
2019,Atlantic provinces,"Males, 65 years and over",,4.8
2020,Atlantic provinces,"Males, 65 years and over",,3.8
2021,Atlantic provinces,"Males, 65 years and over",,5.8
2022,Atlantic provinces,"Males, 65 years and over",,7.2
2023,Atlantic provinces,"Males, 65 years and over",,6.3
2015,Atlantic provinces,"Males, under 18 years",,18.7
2016,Atlantic provinces,"Males, under 18 years",,17.9
2017,Atlantic provinces,"Males, under 18 years",,15.6
2018,Atlantic provinces,"Males, under 18 years",,13.9
2019,Atlantic provinces,"Males, under 18 years",,11.9
2020,Atlantic provinces,"Males, under 18 years",,5.4
2021,Atlantic provinces,"Males, under 18 years",,6.0
2022,Atlantic provinces,"Males, under 18 years",,12.4
2023,Atlantic provinces,"Males, under 18 years",,15.5
2015,Atlantic provinces,Persons 18 to 64 years,,16.3
2016,Atlantic provinces,Persons 18 to 64 years,,15.6
2017,Atlantic provinces,Persons 18 to 64 years,,14.7
2018,Atlantic provinces,Persons 18 to 64 years,,13.7
2019,Atlantic provinces,Persons 18 to 64 years,,12.2
2020,Atlantic provinces,Persons 18 to 64 years,,9.0
2021,Atlantic provinces,Persons 18 to 64 years,,8.4
2022,Atlantic provinces,Persons 18 to 64 years,,12.4
2023,Atlantic provinces,Persons 18 to 64 years,,13.1
2015,Atlantic provinces,Persons 65 years and over,,10.5
2016,Atlantic provinces,Persons 65 years and over,,8.6
2017,Atlantic provinces,Persons 65 years and over,,7.0
2018,Atlantic provinces,Persons 65 years and over,,7.0
2019,Atlantic provinces,Persons 65 years and over,,6.9
2020,Atlantic provinces,Persons 65 years and over,,4.4
2021,Atlantic provinces,Persons 65 years and over,,6.8
