Year,Geography,GeoCode,Value
2015,,,0.37
2016,,,0.63
2017,,,0.97
2018,,,2.24
2019,,,2.9
2020,,,3.52
2021,,,5.25
2022,,,8.17
2023,,,11.01
2024,,,14.63
2015,British Columbia and the Territories,,0.65
2015,Manitoba,46,0.06
2015,New Brunswick,13,0.02
2015,Ontario,35,0.29
2015,Prince Edward Island,11,0.0
2015,Quebec,24,0.7
2015,Saskatchewan,47,0.03
2016,British Columbia and the Territories,,0.94
2016,Manitoba,46,0.11
2016,New Brunswick,13,0.08
2016,Ontario,35,0.53
2016,Prince Edward Island,11,0.08
2016,Quebec,24,1.15
2016,Saskatchewan,47,0.06
2017,British Columbia,59,1.29
2017,Manitoba,46,0.09
2017,New Brunswick,13,0.06
2017,Northwest Territories,61,0.04
2017,Nova Scotia,12,0.05
2017,Ontario,35,1.02
2017,Prince Edward Island,11,0.08
2017,Quebec,24,1.64
2017,Saskatchewan,47,0.05
2017,Yukon,60,0.0
2018,British Columbia,59,3.68
2018,Manitoba,46,0.29
2018,New Brunswick,13,0.14
2018,Northwest Territories,61,0.14
2018,Nova Scotia,12,0.14
2018,Ontario,35,2.1
2018,Prince Edward Island,11,0.21
2018,Quebec,24,3.84
2018,Saskatchewan,47,0.17
2018,Yukon,60,0.1
2019,British Columbia,59,7.93
2019,Manitoba,46,0.56
2019,New Brunswick,13,0.41
2019,Northwest Territories,61,0.09
2019,Nova Scotia,12,0.3
2019,Ontario,35,1.21
2019,Prince Edward Island,11,0.6
2019,Quebec,24,5.9
2019,Saskatchewan,47,0.35
2019,Yukon,60,0.45
2020,British Columbia,59,8.55
2020,Manitoba,46,0.7
2020,New Brunswick,13,0.53
2020,Northwest Territories,61,0.34
2020,Nova Scotia,12,0.59
2020,Ontario,35,1.75
2020,Prince Edward Island,11,0.82
2020,Quebec,24,6.82
2020,Saskatchewan,47,0.44
2020,Yukon,60,1.73
2021,British Columbia,59,11.86
2021,Manitoba,46,1.36
2021,New Brunswick,13,1.29
2021,Northwest Territories,61,0.75
2021,Nova Scotia,12,1.37
2021,Ontario,35,3.16
2021,Prince Edward Island,11,2.1
2021,Quebec,24,8.95
2021,Saskatchewan,47,1.07
2021,Yukon,60,4.18
2022,British Columbia,59,16.51
2022,Manitoba,46,2.54
2022,New Brunswick,13,2.63
2022,Northwest Territories,61,1.42
2022,Nova Scotia,12,2.6
2022,Nunavut,62,0.0
2022,Ontario,35,6.5
2022,Prince Edward Island,11,4.02
2022,Quebec,24,12.3
2022,Saskatchewan,47,1.64
2022,Yukon,60,5.32
2023,British Columbia,59,21.05
2023,Manitoba,46,3.54
2023,New Brunswick,13,4.9
2023,Northwest Territories,61,1.53
2023,Nova Scotia,12,4.64
2023,Nunavut,62,0.83
2023,Ontario,35,7.41
2023,Prince Edward Island,11,7.68
2023,Quebec,24,19.2
2023,Saskatchewan,47,2.27
2023,Yukon,60,8.63
2024,British Columbia,59,21.23
2024,Manitoba,46,5.34
2024,New Brunswick,13,6.96
2024,Northwest Territories,61,2.08
2024,Nova Scotia,12,5.77
2024,Nunavut,62,0.78
2024,Ontario,35,8.09
2024,Prince Edward Island,11,8.62
2024,Quebec,24,30.88
2024,Saskatchewan,47,2.7
2024,Yukon,60,10.77
