Year,data.Geography,GeoCode,Value
2016,,,3.6
2018,,,4.5
2016,data.Newfoundland and Labrador,10,27.3
2018,data.Newfoundland and Labrador,10,20.6
2016,data.Prince Edward Island,11,0.0
2018,data.Prince Edward Island,11,0.0
2016,data.Nova Scotia,12,1.4
2018,data.Nova Scotia,12,3.4
2016,data.New Brunswick,13,2.4
2018,data.New Brunswick,13,3.6
2016,data.Quebec,24,5.7
2018,data.Quebec,24,6.5
2016,data.Ontario,35,0.7
2018,data.Ontario,35,0.6
2016,data.Manitoba,46,0.0
2018,data.Manitoba,46,2.7
2016,data.Saskatchewan,47,6.3
2018,data.Saskatchewan,47,5.9
2016,data.Alberta,48,0.0
2018,data.Alberta,48,0.9
2016,data.British Columbia,59,4.3
2018,data.British Columbia,59,3.9
2016,data.Yukon,60,0.0
2018,data.Yukon,60,0.0
2016,data.Northwest Territories,61,0.0
2018,data.Northwest Territories,61,0.0
2016,data.Nunavut,62,0.0
2018,data.Nunavut,62,0.0
