Year,Geography,Age group,Sex,GeoCode,Value
2018,,,,,5.1
2019,,,,,6.1
2020,,,,,7.2
2021,,,,,7.9
2022,,,,,9.2
2023,,,,,9.1
2018,Canada,15 to 24 years,Both sexes,,4.0
2018,Canada,15 to 24 years,Males,,3.5
2018,Canada,15 to 24 years,Females,,4.6
2018,Canada,25 to 54 years,Both sexes,,5.7
2018,Canada,25 to 54 years,Males,,4.9
2018,Canada,25 to 54 years,Females,,6.5
2018,Canada,25 to 34 years,Both sexes,,5.8
2018,Canada,25 to 34 years,Males,,4.9
2018,Canada,25 to 34 years,Females,,6.9
2018,Canada,35 to 44 years,Both sexes,,5.8
2018,Canada,35 to 44 years,Males,,5.5
2018,Canada,35 to 44 years,Females,,6.0
2018,Canada,45 to 54 years,Both sexes,,5.4
2018,Canada,45 to 54 years,Males,,4.4
2018,Canada,45 to 54 years,Females,,6.5
2018,Canada,55 to 64 years,Both sexes,,5.7
2018,Canada,55 to 64 years,Males,,6.1
2018,Canada,55 to 64 years,Females,,5.3
2018,Canada,65 years and over,Both sexes,,3.9
2018,Canada,65 years and over,Males,,3.2
2018,Canada,65 years and over,Females,,4.5
2019,Canada,15 to 24 years,Both sexes,,3.8
2019,Canada,15 to 24 years,Males,,1.8
2019,Canada,15 to 24 years,Females,,5.8
2019,Canada,25 to 54 years,Both sexes,,6.9
2019,Canada,25 to 54 years,Males,,6.4
2019,Canada,25 to 54 years,Females,,7.4
2019,Canada,25 to 34 years,Both sexes,,7.5
2019,Canada,25 to 34 years,Males,,6.9
2019,Canada,25 to 34 years,Females,,8.1
2019,Canada,35 to 44 years,Both sexes,,6.9
2019,Canada,35 to 44 years,Males,,6.5
2019,Canada,35 to 44 years,Females,,7.2
2019,Canada,45 to 54 years,Both sexes,,6.3
2019,Canada,45 to 54 years,Males,,5.8
2019,Canada,45 to 54 years,Females,,6.8
2019,Canada,55 to 64 years,Both sexes,,6.1
2019,Canada,55 to 64 years,Males,,5.1
2019,Canada,55 to 64 years,Females,,7.1
2019,Canada,65 years and over,Both sexes,,5.5
2019,Canada,65 years and over,Males,,5.1
2019,Canada,65 years and over,Females,,5.9
2020,Canada,15 to 24 years,Both sexes,,5.3
2020,Canada,15 to 24 years,Males,,4.7
2020,Canada,15 to 24 years,Females,,5.9
2020,Canada,25 to 54 years,Both sexes,,8.3
2020,Canada,25 to 54 years,Males,,6.9
2020,Canada,25 to 54 years,Females,,9.7
2020,Canada,25 to 34 years,Both sexes,,8.7
2020,Canada,25 to 34 years,Males,,7.2
2020,Canada,25 to 34 years,Females,,10.2
2020,Canada,35 to 44 years,Both sexes,,8.5
2020,Canada,35 to 44 years,Males,,7.4
2020,Canada,35 to 44 years,Females,,9.5
2020,Canada,45 to 54 years,Both sexes,,7.8
2020,Canada,45 to 54 years,Males,,6.2
2020,Canada,45 to 54 years,Females,,9.3
2020,Canada,55 to 64 years,Both sexes,,7.5
2020,Canada,55 to 64 years,Males,,6.9
2020,Canada,55 to 64 years,Females,,8.1
2020,Canada,65 years and over,Both sexes,,5.5
2020,Canada,65 years and over,Males,,5.1
2020,Canada,65 years and over,Females,,5.8
2021,Canada,15 to 24 years,Both sexes,,6.1
2021,Canada,15 to 24 years,Males,,4.0
2021,Canada,15 to 24 years,Females,,8.2
2021,Canada,25 to 54 years,Both sexes,,9.3
2021,Canada,25 to 54 years,Males,,8.1
2021,Canada,25 to 54 years,Females,,10.4
2021,Canada,25 to 34 years,Both sexes,,9.2
2021,Canada,25 to 34 years,Males,,8.2
2021,Canada,25 to 34 years,Females,,10.2
2021,Canada,35 to 44 years,Both sexes,,9.4
2021,Canada,35 to 44 years,Males,,7.5
2021,Canada,35 to 44 years,Females,,11.4
2021,Canada,45 to 54 years,Both sexes,,9.2
2021,Canada,45 to 54 years,Males,,8.7
2021,Canada,45 to 54 years,Females,,9.7
2021,Canada,55 to 64 years,Both sexes,,7.3
2021,Canada,55 to 64 years,Males,,6.8
2021,Canada,55 to 64 years,Females,,7.8
2021,Canada,65 years and over,Both sexes,,6.4
2021,Canada,65 years and over,Males,,5.9
2021,Canada,65 years and over,Females,,6.9
2022,Canada,15 to 24 years,Both sexes,,7.4
2022,Canada,15 to 24 years,Males,,5.1
2022,Canada,15 to 24 years,Females,,10.0
2022,Canada,25 to 54 years,Both sexes,,10.9
2022,Canada,25 to 54 years,Males,,9.5
2022,Canada,25 to 54 years,Females,,12.4
2022,Canada,25 to 34 years,Both sexes,,11.1
2022,Canada,25 to 34 years,Males,,9.0
2022,Canada,25 to 34 years,Females,,13.2
2022,Canada,35 to 44 years,Both sexes,,10.9
2022,Canada,35 to 44 years,Males,,9.6
2022,Canada,35 to 44 years,Females,,12.2
2022,Canada,45 to 54 years,Both sexes,,10.8
2022,Canada,45 to 54 years,Males,,10.0
2022,Canada,45 to 54 years,Females,,11.7
2022,Canada,55 to 64 years,Both sexes,,9.3
2022,Canada,55 to 64 years,Males,,8.8
2022,Canada,55 to 64 years,Females,,9.8
2022,Canada,65 years and over,Both sexes,,6.5
2022,Canada,65 years and over,Males,,5.9
2022,Canada,65 years and over,Females,,7.1
2023,Canada,15 to 24 years,Both sexes,,6.9
2023,Canada,15 to 24 years,Males,,5.5
2023,Canada,15 to 24 years,Females,,8.4
2023,Canada,25 to 54 years,Both sexes,,10.7
2023,Canada,25 to 54 years,Males,,9.5
2023,Canada,25 to 54 years,Females,,11.9
2023,Canada,25 to 34 years,Both sexes,,10.7
2023,Canada,25 to 34 years,Males,,9.3
2023,Canada,25 to 34 years,Females,,12.2
2023,Canada,35 to 44 years,Both sexes,,10.9
2023,Canada,35 to 44 years,Males,,9.9
2023,Canada,35 to 44 years,Females,,11.9
2023,Canada,45 to 54 years,Both sexes,,10.4
2023,Canada,45 to 54 years,Males,,9.2
2023,Canada,45 to 54 years,Females,,11.6
2023,Canada,55 to 64 years,Both sexes,,9.5
2023,Canada,55 to 64 years,Males,,8.8
2023,Canada,55 to 64 years,Females,,10.1
2023,Canada,65 years and over,Both sexes,,6.9
