Year,data.Geography,GeoCode,Value
2014/2015,,,85.46
2015/2016,,,87.93
2016/2017,,,86.96
2017/2018,,,83.88
2018/2019,,,79.57
2019/2020,,,78.66
2020/2021,,,61.56
2021/2022,,,66.84
2014/2015,data.Newfoundland and Labrador,10,71.93
2014/2015,data.Prince Edward Island,11,89.03
2014/2015,data.Nova Scotia,12,64.97
2014/2015,data.New Brunswick,13,65.86
2014/2015,data.Quebec,24,77.38
2014/2015,data.Ontario,35,70.77
2014/2015,data.Manitoba,46,240.88
2014/2015,data.Saskatchewan,47,196.23
2014/2015,data.Alberta,48,102.31
2014/2015,data.British Columbia,59,63.12
2014/2015,data.Yukon,60,258.9
2014/2015,data.Northwest Territories,61,528.66
2014/2015,data.Nunavut,62,542.56
2015/2016,data.Newfoundland and Labrador,10,82.11
2015/2016,data.Prince Edward Island,11,70.68
2015/2016,data.Nova Scotia,12,61.94
2015/2016,data.New Brunswick,13,71.25
2015/2016,data.Quebec,24,75.74
2015/2016,data.Ontario,35,71.6
2015/2016,data.Manitoba,46,241.74
2015/2016,data.Saskatchewan,47,207.16
2015/2016,data.Alberta,48,112.29
2015/2016,data.British Columbia,59,68.81
2015/2016,data.Yukon,60,316.78
2015/2016,data.Northwest Territories,61,568.39
2015/2016,data.Nunavut,62,580.62
2016/2017,data.Newfoundland and Labrador,10,78.56
2016/2017,data.Prince Edward Island,11,65.64
2016/2017,data.Nova Scotia,12,62.19
2016/2017,data.New Brunswick,13,72.04
2016/2017,data.Quebec,24,74.71
2016/2017,data.Ontario,35,68.19
2016/2017,data.Manitoba,46,240.36
2016/2017,data.Saskatchewan,47,214.17
2016/2017,data.Alberta,48,115.46
2016/2017,data.British Columbia,59,69.91
2016/2017,data.Yukon,60,273.13
2016/2017,data.Northwest Territories,61,546.61
2016/2017,data.Nunavut,62,578.87
2017/2018,data.Newfoundland and Labrador,10,78.18
2017/2018,data.Prince Edward Island,11,72.38
2017/2018,data.Nova Scotia,12,59.78
2017/2018,data.New Brunswick,13,74.78
2017/2018,data.Quebec,24,71.68
2017/2018,data.Ontario,35,65.91
2017/2018,data.Manitoba,46,232.73
2017/2018,data.Saskatchewan,47,212.95
2017/2018,data.Alberta,48,112.49
2017/2018,data.British Columbia,59,64.56
2017/2018,data.Yukon,60,186.41
2017/2018,data.Northwest Territories,61,517.24
2017/2018,data.Nunavut,62,642.41
2018/2019,data.Newfoundland and Labrador,10,76.74
2018/2019,data.Prince Edward Island,11,81.76
2018/2019,data.Nova Scotia,12,58.9
2018/2019,data.New Brunswick,13,73.73
2018/2019,data.Quebec,24,65.82
2018/2019,data.Ontario,35,64.36
2018/2019,data.Manitoba,46,201.03
2018/2019,data.Saskatchewan,47,215.17
2018/2019,data.Alberta,48,108.15
2018/2019,data.British Columbia,59,58.61
2018/2019,data.Yukon,60,205.85
2018/2019,data.Northwest Territories,61,533.77
2018/2019,data.Nunavut,62,667.42
2019/2020,data.Newfoundland and Labrador,10,70.31
2019/2020,data.Prince Edward Island,11,88.07
2019/2020,data.Nova Scotia,12,52.88
2019/2020,data.New Brunswick,13,74.75
2019/2020,data.Quebec,24,62.96
2019/2020,data.Ontario,35,68.81
2019/2020,data.Manitoba,46,203.37
2019/2020,data.Saskatchewan,47,216.26
2019/2020,data.Alberta,48,100.72
2019/2020,data.British Columbia,59,53.05
2019/2020,data.Yukon,60,148.88
2019/2020,data.Northwest Territories,61,421.73
2019/2020,data.Nunavut,62,615.2
2020/2021,data.Newfoundland and Labrador,10,70.64
2020/2021,data.Prince Edward Island,11,84.31
2020/2021,data.Nova Scotia,12,38.15
2020/2021,data.New Brunswick,13,61.77
2020/2021,data.Quebec,24,51.92
2020/2021,data.Ontario,35,53.5
2020/2021,data.Manitoba,46,158.36
2020/2021,data.Saskatchewan,47,186.39
2020/2021,data.Alberta,48,76.31
2020/2021,data.British Columbia,59,34.72
2020/2021,data.Yukon,60,134.46
2020/2021,data.Northwest Territories,61,309.48
2020/2021,data.Nunavut,62,555.24
2021/2022,data.Newfoundland and Labrador,10,
2021/2022,data.Prince Edward Island,11,66.57
2021/2022,data.Nova Scotia,12,43.94
2021/2022,data.New Brunswick,13,70.84
2021/2022,data.Quebec,24,56.17
2021/2022,data.Ontario,35,60.02
2021/2022,data.Manitoba,46,153.47
2021/2022,data.Saskatchewan,47,212.04
2021/2022,data.Alberta,48,84.17
2021/2022,data.British Columbia,59,35.93
2021/2022,data.Yukon,60,141.84
2021/2022,data.Northwest Territories,61,253.14
2021/2022,data.Nunavut,62,607.29
