Year,Units,Geography,Offences,Age,Sex,Value
2014/2015,Adult criminal courts,,,,,123.0
2015/2016,Adult criminal courts,,,,,126.0
2016/2017,Adult criminal courts,,,,,136.0
2017/2018,Adult criminal courts,,,,,138.0
2018/2019,Adult criminal courts,,,,,139.0
2014/2015,Adult criminal courts,Canada,Total offences,Total,Males,124.0
2015/2016,Adult criminal courts,Canada,Total offences,Total,Males,127.0
2016/2017,Adult criminal courts,Canada,Total offences,Total,Males,138.0
2017/2018,Adult criminal courts,Canada,Total offences,Total,Males,140.0
2018/2019,Adult criminal courts,Canada,Total offences,Total,Males,141.0
2014/2015,Adult criminal courts,Canada,Total offences,Total,Females,113.0
2015/2016,Adult criminal courts,Canada,Total offences,Total,Females,114.0
2016/2017,Adult criminal courts,Canada,Total offences,Total,Females,127.0
2017/2018,Adult criminal courts,Canada,Total offences,Total,Females,129.0
2018/2019,Adult criminal courts,Canada,Total offences,Total,Females,133.0
2014/2015,Adult criminal courts,Canada,Total offences,Total,Company,215.0
2015/2016,Adult criminal courts,Canada,Total offences,Total,Company,239.0
2016/2017,Adult criminal courts,Canada,Total offences,Total,Company,205.0
2017/2018,Adult criminal courts,Canada,Total offences,Total,Company,344.0
2018/2019,Adult criminal courts,Canada,Total offences,Total,Company,243.0
2014/2015,Adult criminal courts,Canada,Total offences,Total,Sex unknown,148.0
2015/2016,Adult criminal courts,Canada,Total offences,Total,Sex unknown,148.0
2016/2017,Adult criminal courts,Canada,Total offences,Total,Sex unknown,155.0
2017/2018,Adult criminal courts,Canada,Total offences,Total,Sex unknown,138.0
2018/2019,Adult criminal courts,Canada,Total offences,Total,Sex unknown,137.0
2014/2015,Adult criminal courts,Canada,Total offences,18 to 24 years,Total,129.0
2015/2016,Adult criminal courts,Canada,Total offences,18 to 24 years,Total,133.0
2016/2017,Adult criminal courts,Canada,Total offences,18 to 24 years,Total,148.0
2017/2018,Adult criminal courts,Canada,Total offences,18 to 24 years,Total,149.0
2018/2019,Adult criminal courts,Canada,Total offences,18 to 24 years,Total,154.0
2014/2015,Adult criminal courts,Canada,Total offences,18 to 24 years,Males,131.0
2015/2016,Adult criminal courts,Canada,Total offences,18 to 24 years,Males,135.0
2016/2017,Adult criminal courts,Canada,Total offences,18 to 24 years,Males,149.0
2017/2018,Adult criminal courts,Canada,Total offences,18 to 24 years,Males,154.0
2018/2019,Adult criminal courts,Canada,Total offences,18 to 24 years,Males,158.0
2014/2015,Adult criminal courts,Canada,Total offences,18 to 24 years,Females,115.0
2015/2016,Adult criminal courts,Canada,Total offences,18 to 24 years,Females,116.0
2016/2017,Adult criminal courts,Canada,Total offences,18 to 24 years,Females,129.0
2017/2018,Adult criminal courts,Canada,Total offences,18 to 24 years,Females,136.0
2018/2019,Adult criminal courts,Canada,Total offences,18 to 24 years,Females,139.0
2014/2015,Adult criminal courts,Canada,Total offences,18 to 24 years,Sex unknown,154.0
2015/2016,Adult criminal courts,Canada,Total offences,18 to 24 years,Sex unknown,148.0
2016/2017,Adult criminal courts,Canada,Total offences,18 to 24 years,Sex unknown,162.0
2017/2018,Adult criminal courts,Canada,Total offences,18 to 24 years,Sex unknown,149.0
2018/2019,Adult criminal courts,Canada,Total offences,18 to 24 years,Sex unknown,154.0
2014/2015,Adult criminal courts,Canada,Total offences,25 to 34 years,Total,121.0
2015/2016,Adult criminal courts,Canada,Total offences,25 to 34 years,Total,126.0
2016/2017,Adult criminal courts,Canada,Total offences,25 to 34 years,Total,134.0
2017/2018,Adult criminal courts,Canada,Total offences,25 to 34 years,Total,135.0
2018/2019,Adult criminal courts,Canada,Total offences,25 to 34 years,Total,139.0
2014/2015,Adult criminal courts,Canada,Total offences,25 to 34 years,Males,121.0
2015/2016,Adult criminal courts,Canada,Total offences,25 to 34 years,Males,126.0
2016/2017,Adult criminal courts,Canada,Total offences,25 to 34 years,Males,134.0
2017/2018,Adult criminal courts,Canada,Total offences,25 to 34 years,Males,137.0
2018/2019,Adult criminal courts,Canada,Total offences,25 to 34 years,Males,140.0
2014/2015,Adult criminal courts,Canada,Total offences,25 to 34 years,Females,113.0
2015/2016,Adult criminal courts,Canada,Total offences,25 to 34 years,Females,119.0
2016/2017,Adult criminal courts,Canada,Total offences,25 to 34 years,Females,128.0
2017/2018,Adult criminal courts,Canada,Total offences,25 to 34 years,Females,132.0
2018/2019,Adult criminal courts,Canada,Total offences,25 to 34 years,Females,135.0
2014/2015,Adult criminal courts,Canada,Total offences,25 to 34 years,Sex unknown,148.0
2015/2016,Adult criminal courts,Canada,Total offences,25 to 34 years,Sex unknown,149.0
2016/2017,Adult criminal courts,Canada,Total offences,25 to 34 years,Sex unknown,151.0
2017/2018,Adult criminal courts,Canada,Total offences,25 to 34 years,Sex unknown,135.0
2018/2019,Adult criminal courts,Canada,Total offences,25 to 34 years,Sex unknown,136.0
2014/2015,Adult criminal courts,Canada,Total offences,35 to 44 years,Total,123.0
2015/2016,Adult criminal courts,Canada,Total offences,35 to 44 years,Total,125.0
2016/2017,Adult criminal courts,Canada,Total offences,35 to 44 years,Total,134.0
2017/2018,Adult criminal courts,Canada,Total offences,35 to 44 years,Total,134.0
2018/2019,Adult criminal courts,Canada,Total offences,35 to 44 years,Total,134.0
2014/2015,Adult criminal courts,Canada,Total offences,35 to 44 years,Males,123.0
2015/2016,Adult criminal courts,Canada,Total offences,35 to 44 years,Males,124.0
2016/2017,Adult criminal courts,Canada,Total offences,35 to 44 years,Males,134.0
2017/2018,Adult criminal courts,Canada,Total offences,35 to 44 years,Males,136.0
2018/2019,Adult criminal courts,Canada,Total offences,35 to 44 years,Males,135.0
2014/2015,Adult criminal courts,Canada,Total offences,35 to 44 years,Females,116.0
2015/2016,Adult criminal courts,Canada,Total offences,35 to 44 years,Females,120.0
2016/2017,Adult criminal courts,Canada,Total offences,35 to 44 years,Females,127.0
2017/2018,Adult criminal courts,Canada,Total offences,35 to 44 years,Females,132.0
2018/2019,Adult criminal courts,Canada,Total offences,35 to 44 years,Females,133.0
2014/2015,Adult criminal courts,Canada,Total offences,35 to 44 years,Sex unknown,149.0
2015/2016,Adult criminal courts,Canada,Total offences,35 to 44 years,Sex unknown,155.0
2016/2017,Adult criminal courts,Canada,Total offences,35 to 44 years,Sex unknown,142.0
2017/2018,Adult criminal courts,Canada,Total offences,35 to 44 years,Sex unknown,131.0
