Year,data.Geography,Value
2015,,0.314
2016,,0.306
2017,,0.309
2018,,0.304
2019,,0.299
2020,,0.281
2015,data.Newfoundland and Labrador,0.314
2016,data.Newfoundland and Labrador,0.302
2017,data.Newfoundland and Labrador,0.309
2018,data.Newfoundland and Labrador,0.298
2019,data.Newfoundland and Labrador,0.302
2020,data.Newfoundland and Labrador,0.27
2015,data.Prince Edward Island,0.282
2016,data.Prince Edward Island,0.278
2017,data.Prince Edward Island,0.287
2018,data.Prince Edward Island,0.286
2019,data.Prince Edward Island,0.266
2020,data.Prince Edward Island,0.257
2015,data.Nova Scotia,0.297
2016,data.Nova Scotia,0.297
2017,data.Nova Scotia,0.295
2018,data.Nova Scotia,0.288
2019,data.Nova Scotia,0.277
2020,data.Nova Scotia,0.26
2015,data.New Brunswick,0.273
2016,data.New Brunswick,0.279
2017,data.New Brunswick,0.278
2018,data.New Brunswick,0.283
2019,data.New Brunswick,0.272
2020,data.New Brunswick,0.265
2015,data.Quebec,0.284
2016,data.Quebec,0.283
2017,data.Quebec,0.287
2018,data.Quebec,0.283
2019,data.Quebec,0.282
2020,data.Quebec,0.261
2015,data.Ontario,0.317
2016,data.Ontario,0.318
2017,data.Ontario,0.321
2018,data.Ontario,0.313
2019,data.Ontario,0.304
2020,data.Ontario,0.29
2015,data.Manitoba,0.3
2016,data.Manitoba,0.289
2017,data.Manitoba,0.304
2018,data.Manitoba,0.291
2019,data.Manitoba,0.29
2020,data.Manitoba,0.269
2015,data.Saskatchewan,0.302
2016,data.Saskatchewan,0.289
2017,data.Saskatchewan,0.302
2018,data.Saskatchewan,0.289
2019,data.Saskatchewan,0.291
2020,data.Saskatchewan,0.266
2015,data.Alberta,0.322
2016,data.Alberta,0.296
2017,data.Alberta,0.294
2018,data.Alberta,0.296
2019,data.Alberta,0.291
2020,data.Alberta,0.274
2015,data.British Columbia,0.314
2016,data.British Columbia,0.298
2017,data.British Columbia,0.303
2018,data.British Columbia,0.304
2019,data.British Columbia,0.305
2020,data.British Columbia,0.28
