Year,Geography,Industry,Enterprise size,Innovations with environmental benefits,GeoCode,Value
2017/2019,,,,,,56.9
2020/2022,,,,,,46.5
2017/2019,Canada,"Total, all surveyed industries","Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,,49.3
2017/2019,Canada,"Total, all surveyed industries","Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,,22.3
2017/2019,Canada,"Total, all surveyed industries","Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,,23.5
2017/2019,Canada,"Total, all surveyed industries","Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,15.4
2017/2019,Canada,"Total, all surveyed industries","Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",,32.8
2017/2019,Canada,"Total, all surveyed industries","Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,4.8
2017/2019,Canada,"Total, all surveyed industries","Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,,23.0
2017/2019,Canada,"Total, all surveyed industries","Total, all enterprise sizes","Reduced air, water, soil or noise pollution",,17.9
2017/2019,Canada,"Total, all surveyed industries","Total, all enterprise sizes",Reduced greenhouse gas emissions,,15.5
2017/2019,Canada,"Total, all surveyed industries","Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,,35.8
2017/2019,Canada,"Total, all surveyed industries","Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,,20.1
2017/2019,Canada,"Total, all surveyed industries","Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,,26.0
2017/2019,Canada,"Total, all surveyed industries","Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",,13.8
2017/2019,Canada,"Total, all surveyed industries","Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,,10.3
2017/2019,Canada,"Total, all surveyed industries","Total, all enterprise sizes",Innovations with other environmental benefits,,8.8
2017/2019,Canada,"Total, all surveyed industries",Small enterprises (20 to 99 employees),Innovations with any environmental benefits,,56.4
2017/2019,Canada,"Total, all surveyed industries",Small enterprises (20 to 99 employees),Innovations with environmental benefits from production through efficient use of resources,,48.9
2017/2019,Canada,"Total, all surveyed industries",Small enterprises (20 to 99 employees),Improved resource efficiency through reduced material use per unit of output,,21.1
2017/2019,Canada,"Total, all surveyed industries",Small enterprises (20 to 99 employees),Improved resource efficiency through reduced energy use per unit of output,,22.3
2017/2019,Canada,"Total, all surveyed industries",Small enterprises (20 to 99 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,15.0
2017/2019,Canada,"Total, all surveyed industries",Small enterprises (20 to 99 employees),"Reduced consumption of resources through recycling (water, waste or material)",,32.5
2017/2019,Canada,"Total, all surveyed industries",Small enterprises (20 to 99 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,4.7
2017/2019,Canada,"Total, all surveyed industries",Small enterprises (20 to 99 employees),Innovations with environmental benefits related to increased environmental protection activities,,22.0
