Year,Sexe,Groupe d'âge,Value
2000,,,3
2000,Hommes,"Total, tous les âges",3
2000,Femmes,"Total, tous les âges",0
2000,Les deux sexes,Moins d'un an,0
2000,Hommes,Moins d'un an,0
2000,Femmes,Moins d'un an,0
2000,Les deux sexes,1 à 4 ans,0
2000,Hommes,1 à 4 ans,0
2000,Femmes,1 à 4 ans,0
2000,Les deux sexes,5 à 9 ans,0
2000,Hommes,5 à 9 ans,0
2000,Femmes,5 à 9 ans,0
2000,Les deux sexes,10 à 14 ans,0
2000,Hommes,10 à 14 ans,0
2000,Femmes,10 à 14 ans,0
2000,Les deux sexes,15 à 19 ans,0
2000,Hommes,15 à 19 ans,0
2000,Femmes,15 à 19 ans,0
2000,Les deux sexes,20 à 24 ans,0
2000,Hommes,20 à 24 ans,0
2000,Femmes,20 à 24 ans,0
2000,Les deux sexes,25 à 29 ans,0
2000,Hommes,25 à 29 ans,0
2000,Femmes,25 à 29 ans,0
2000,Les deux sexes,30 à 34 ans,0
2000,Hommes,30 à 34 ans,0
2000,Femmes,30 à 34 ans,0
2000,Les deux sexes,35 à 39 ans,0
2000,Hommes,35 à 39 ans,0
2000,Femmes,35 à 39 ans,0
2000,Les deux sexes,40 à 44 ans,1
2000,Hommes,40 à 44 ans,1
2000,Femmes,40 à 44 ans,0
2000,Les deux sexes,45 à 49 ans,0
2000,Hommes,45 à 49 ans,0
2000,Femmes,45 à 49 ans,0
2000,Les deux sexes,50 à 54 ans,0
2000,Hommes,50 à 54 ans,0
2000,Femmes,50 à 54 ans,0
2000,Les deux sexes,55 à 59 ans,0
2000,Hommes,55 à 59 ans,0
2000,Femmes,55 à 59 ans,0
2000,Les deux sexes,60 à 64 ans,1
2000,Hommes,60 à 64 ans,1
2000,Femmes,60 à 64 ans,0
2000,Les deux sexes,65 à 69 ans,0
2000,Hommes,65 à 69 ans,0
2000,Femmes,65 à 69 ans,0
2000,Les deux sexes,70 à 74 ans,0
2000,Hommes,70 à 74 ans,0
2000,Femmes,70 à 74 ans,0
2000,Les deux sexes,75 à 79 ans,0
2000,Hommes,75 à 79 ans,0
2000,Femmes,75 à 79 ans,0
2000,Les deux sexes,80 à 84 ans,1
2000,Hommes,80 à 84 ans,1
2000,Femmes,80 à 84 ans,0
2000,Les deux sexes,85 à 89 ans,0
2000,Hommes,85 à 89 ans,0
2000,Femmes,85 à 89 ans,0
2000,Les deux sexes,90 ans et plus,0
2000,Hommes,90 ans et plus,0
2000,Femmes,90 ans et plus,0
2000,Les deux sexes,"Âge, non déclaré",0
2000,Hommes,"Âge, non déclaré",0
2000,Femmes,"Âge, non déclaré",0
2001,,,17
2001,Hommes,"Total, tous les âges",8
