Year,Géographie,Population,Genre,Groupe d'âge,GeoCode,Value
2015,,,,,,7.0
2016,,,,,,7.1
2017,,,,,,6.4
2018,,,,,,5.8
2019,,,,,,5.7
2020,,,,,,9.7
2021,,,,,,7.5
2022,,,,,,5.3
2023,,,,,,5.4
2024,,,,,,6.3
2025,,,,,,6.8
2015,Canada,Population totale,Total - Genre,15 à 24 ans,,12.8
2015,Canada,Population totale,Total - Genre,25 ans et plus,,6.0
2015,Canada,Population totale,Total - Genre,25 à 44 ans,,6.2
2015,Canada,Population totale,Total - Genre,45 à 64 ans,,5.8
2015,Canada,Population totale,Total - Genre,45 ans et plus,,5.7
2015,Canada,Population totale,Total - Genre,25 à 54 ans,,5.9
2015,Canada,Population totale,Total - Genre,55 ans et plus,,6.0
2015,Canada,Population totale,Total - Genre,15 à 64 ans,,7.1
2015,Canada,Population totale,Total - Genre,15 à 19 ans,,17.5
2015,Canada,Population totale,Total - Genre,20 à 24 ans,,10.1
2015,Canada,Population totale,Total - Genre,25 à 29 ans,,7.5
2015,Canada,Population totale,Total - Genre,30 à 34 ans,,5.8
2015,Canada,Population totale,Total - Genre,35 à 39 ans,,5.8
2015,Canada,Population totale,Total - Genre,40 à 44 ans,,5.6
2015,Canada,Population totale,Total - Genre,45 à 49 ans,,5.2
2015,Canada,Population totale,Total - Genre,50 à 54 ans,,5.7
2015,Canada,Population totale,Total - Genre,55 à 59 ans,,6.1
2015,Canada,Population totale,Total - Genre,60 à 64 ans,,6.7
2015,Canada,Population totale,Total - Genre,65 ans et plus,,4.6
2015,Canada,Population totale,Total - Genre,65 à 69 ans,,5.4
2015,Canada,Population totale,Total - Genre,70 ans et plus,,2.9
2015,Canada,Population totale,Hommes+,15 ans et plus,,7.5
2015,Canada,Population totale,Hommes+,15 à 24 ans,,14.7
2015,Canada,Population totale,Hommes+,25 ans et plus,,6.3
2015,Canada,Population totale,Hommes+,25 à 44 ans,,6.5
2015,Canada,Population totale,Hommes+,45 à 64 ans,,6.3
2015,Canada,Population totale,Hommes+,45 ans et plus,,6.1
2015,Canada,Population totale,Hommes+,25 à 54 ans,,6.3
2015,Canada,Population totale,Hommes+,55 ans et plus,,6.4
2015,Canada,Population totale,Hommes+,15 à 64 ans,,7.7
2015,Canada,Population totale,Hommes+,15 à 19 ans,,19.2
2015,Canada,Population totale,Hommes+,20 à 24 ans,,12.2
2015,Canada,Population totale,Hommes+,25 à 29 ans,,8.3
2015,Canada,Population totale,Hommes+,30 à 34 ans,,6.1
2015,Canada,Population totale,Hommes+,35 à 39 ans,,6.0
2015,Canada,Population totale,Hommes+,40 à 44 ans,,5.7
2015,Canada,Population totale,Hommes+,45 à 49 ans,,5.5
2015,Canada,Population totale,Hommes+,50 à 54 ans,,6.2
2015,Canada,Population totale,Hommes+,55 à 59 ans,,6.5
2015,Canada,Population totale,Hommes+,60 à 64 ans,,7.5
2015,Canada,Population totale,Hommes+,65 ans et plus,,4.8
2015,Canada,Population totale,Hommes+,65 à 69 ans,,6.0
2015,Canada,Population totale,Hommes+,70 ans et plus,,2.6
2015,Canada,Population totale,Femmes+,15 ans et plus,,6.4
2015,Canada,Population totale,Femmes+,15 à 24 ans,,10.8
2015,Canada,Population totale,Femmes+,25 ans et plus,,5.6
2015,Canada,Population totale,Femmes+,25 à 44 ans,,5.9
2015,Canada,Population totale,Femmes+,45 à 64 ans,,5.3
2015,Canada,Population totale,Femmes+,45 ans et plus,,5.3
2015,Canada,Population totale,Femmes+,25 à 54 ans,,5.6
2015,Canada,Population totale,Femmes+,55 ans et plus,,5.5
2015,Canada,Population totale,Femmes+,15 à 64 ans,,6.4
2015,Canada,Population totale,Femmes+,15 à 19 ans,,15.8
2015,Canada,Population totale,Femmes+,20 à 24 ans,,7.8
2015,Canada,Population totale,Femmes+,25 à 29 ans,,6.6
2015,Canada,Population totale,Femmes+,30 à 34 ans,,5.6
2015,Canada,Population totale,Femmes+,35 à 39 ans,,5.7
2015,Canada,Population totale,Femmes+,40 à 44 ans,,5.6
2015,Canada,Population totale,Femmes+,45 à 49 ans,,5.0
2015,Canada,Population totale,Femmes+,50 à 54 ans,,5.1
2015,Canada,Population totale,Femmes+,55 à 59 ans,,5.8
