Year,Geography,Geographic location,Selected census metropolitan areas,Tenure,GeoCode,Value
2018,,,,,,11.3
2021,,,,,,9.8
2018,Canada,Canada,,Owner,,6.1
2018,Canada,Canada,,Owner who is a first-time homebuyer,,6.4
2018,Canada,Canada,,Owner who is not a first-time homebuyer,,6.1
2018,Canada,Canada,,Renter,,22.0
2018,Canada,Canada,,Renter not in social and affordable housing,,21.0
2018,Canada,Canada,,Renter in social and affordable housing,,32.0
2021,Canada,Canada,,Owner,,5.1
2021,Canada,Canada,,Owner who is a first-time homebuyer,,4.1
2021,Canada,Canada,,Owner who is not a first-time homebuyer,,5.3
2021,Canada,Canada,,Renter,,19.7
2021,Canada,Canada,,Renter not in social and affordable housing,,18.7
2021,Canada,Canada,,Renter in social and affordable housing,,27.0
2018,Newfoundland and Labrador,Provinces and territories,,"Total, tenure",10,8.9
2018,Newfoundland and Labrador,Provinces and territories,,Owner,10,4.4
2018,Newfoundland and Labrador,Provinces and territories,,Owner who is not a first-time homebuyer,10,4.7
2018,Newfoundland and Labrador,Provinces and territories,,Renter,10,26.0
2018,Newfoundland and Labrador,Provinces and territories,,Renter not in social and affordable housing,10,23.0
2018,Newfoundland and Labrador,Provinces and territories,,Renter in social and affordable housing,10,38.0
2018,Prince Edward Island,Provinces and territories,,"Total, tenure",11,8.9
2018,Prince Edward Island,Provinces and territories,,Owner,11,6.9
2018,Prince Edward Island,Provinces and territories,,Owner who is a first-time homebuyer,11,4.8
2018,Prince Edward Island,Provinces and territories,,Owner who is not a first-time homebuyer,11,7.1
2018,Prince Edward Island,Provinces and territories,,Renter,11,13.8
2018,Prince Edward Island,Provinces and territories,,Renter not in social and affordable housing,11,12.2
2018,Prince Edward Island,Provinces and territories,,Renter in social and affordable housing,11,23.0
2018,Nova Scotia,Provinces and territories,,"Total, tenure",12,11.0
2018,Nova Scotia,Provinces and territories,,Owner,12,5.2
2018,Nova Scotia,Provinces and territories,,Owner who is a first-time homebuyer,12,4.9
2018,Nova Scotia,Provinces and territories,,Owner who is not a first-time homebuyer,12,5.2
2018,Nova Scotia,Provinces and territories,,Renter,12,25.0
2018,Nova Scotia,Provinces and territories,,Renter not in social and affordable housing,12,22.0
