Year,Geography,Gender,Main mode of commuting,GeoCode,Value
2016,Newfoundland and Labrador,Total,Sustainable transportation,10,7.5
2016,Newfoundland and Labrador,Total,Public transit,10,2.5
2016,Newfoundland and Labrador,Total,Active transportation,10,5.0
2016,"St. John's (CMA), N.L.",Total,Sustainable transportation,001,7.9
2016,"St. John's (CMA), N.L.",Total,Public transit,001,3.1
2016,"St. John's (CMA), N.L.",Total,Active transportation,001,4.8
2016,Prince Edward Island,Total,Sustainable transportation,11,7.2
2016,Prince Edward Island,Total,Public transit,11,1.4
2016,Prince Edward Island,Total,Active transportation,11,5.8
2016,Nova Scotia,Total,Sustainable transportation,12,13.3
2016,Nova Scotia,Total,Public transit,12,6.4
2016,Nova Scotia,Total,Active transportation,12,6.9
2016,"Halifax (CMA), N.S.",Total,Sustainable transportation,205,21.0
2016,"Halifax (CMA), N.S.",Total,Public transit,205,11.8
2016,"Halifax (CMA), N.S.",Total,Active transportation,205,9.2
2016,New Brunswick,Total,Sustainable transportation,13,7.3
2016,New Brunswick,Total,Public transit,13,2.3
2016,New Brunswick,Total,Active transportation,13,5.0
2016,"Moncton (CMA), N.B.",Total,Sustainable transportation,305,9.4
2016,"Moncton (CMA), N.B.",Total,Public transit,305,3.4
2016,"Moncton (CMA), N.B.",Total,Active transportation,305,6.0
2016,"Saint John (CMA), N.B.",Total,Sustainable transportation,310,9.5
2016,"Saint John (CMA), N.B.",Total,Public transit,310,4.1
2016,"Saint John (CMA), N.B.",Total,Active transportation,310,5.4
2016,Quebec,Total,Sustainable transportation,24,20.8
2016,Quebec,Total,Public transit,24,13.7
2016,Quebec,Total,Active transportation,24,7.1
2016,"Montréal (CMA), Que.",Total,Sustainable transportation,462,29.5
2016,"Montréal (CMA), Que.",Total,Public transit,462,22.3
2016,"Montréal (CMA), Que.",Total,Active transportation,462,7.2
2016,"Ottawa - Gatineau (Quebec part) (CMA), Que.",Total,Sustainable transportation,24505,20.5
2016,"Ottawa - Gatineau (Quebec part) (CMA), Que.",Total,Public transit,24505,14.5
2016,"Ottawa - Gatineau (Quebec part) (CMA), Que.",Total,Active transportation,24505,6.0
2016,"Québec (CMA), Que.",Total,Sustainable transportation,421,18.7
2016,"Québec (CMA), Que.",Total,Public transit,421,11.1
2016,"Québec (CMA), Que.",Total,Active transportation,421,7.6
2016,"Saguenay (CMA), Que.",Total,Sustainable transportation,408,6.5
2016,"Saguenay (CMA), Que.",Total,Public transit,408,2.2
2016,"Saguenay (CMA), Que.",Total,Active transportation,408,4.3
2016,"Sherbrooke (CMA), Que.",Total,Sustainable transportation,433,10.5
2016,"Sherbrooke (CMA), Que.",Total,Public transit,433,4.2
2016,"Sherbrooke (CMA), Que.",Total,Active transportation,433,6.3
2016,"Trois-Rivières (CMA), Que.",Total,Sustainable transportation,442,7.6
2016,"Trois-Rivières (CMA), Que.",Total,Public transit,442,2.3
