Year,Units,Geography,Type of event,GeoCode,Value
2016,"data.Rate per 100,000 population",data.Canada,data.Apparent opioid toxicity deaths,,7.8
2016,data.Number,data.Canada,data.Apparent opioid toxicity deaths,,2830.0
2017,"data.Rate per 100,000 population",data.Canada,data.Apparent opioid toxicity deaths,,10.7
2017,data.Number,data.Canada,data.Apparent opioid toxicity deaths,,3924.0
2018,"data.Rate per 100,000 population",data.Canada,data.Apparent opioid toxicity deaths,,11.3
2018,data.Number,data.Canada,data.Apparent opioid toxicity deaths,,4201.0
2019,"data.Rate per 100,000 population",data.Canada,data.Apparent opioid toxicity deaths,,9.9
2019,data.Number,data.Canada,data.Apparent opioid toxicity deaths,,3711.0
2020,"data.Rate per 100,000 population",data.Canada,data.Apparent opioid toxicity deaths,,16.9
2020,data.Number,data.Canada,data.Apparent opioid toxicity deaths,,6423.0
2021,"data.Rate per 100,000 population",data.Canada,data.Apparent opioid toxicity deaths,,20.9
2021,data.Number,data.Canada,data.Apparent opioid toxicity deaths,,8006.0
2016,"data.Rate per 100,000 population",data.British Columbia,data.Apparent opioid toxicity deaths,59,16.6
2016,data.Number,data.British Columbia,data.Apparent opioid toxicity deaths,59,805.0
2017,"data.Rate per 100,000 population",data.British Columbia,data.Apparent opioid toxicity deaths,59,26.3
2017,data.Number,data.British Columbia,data.Apparent opioid toxicity deaths,59,1296.0
2018,"data.Rate per 100,000 population",data.British Columbia,data.Apparent opioid toxicity deaths,59,26.9
2018,data.Number,data.British Columbia,data.Apparent opioid toxicity deaths,59,1348.0
2019,"data.Rate per 100,000 population",data.British Columbia,data.Apparent opioid toxicity deaths,59,20.0
2019,data.Number,data.British Columbia,data.Apparent opioid toxicity deaths,59,1020.0
2020,"data.Rate per 100,000 population",data.British Columbia,data.Apparent opioid toxicity deaths,59,34.8
2020,data.Number,data.British Columbia,data.Apparent opioid toxicity deaths,59,1794.0
2021,"data.Rate per 100,000 population",data.British Columbia,data.Apparent opioid toxicity deaths,59,44.8
2021,data.Number,data.British Columbia,data.Apparent opioid toxicity deaths,59,2333.0
2016,"data.Rate per 100,000 population",data.Alberta,data.Apparent opioid toxicity deaths,48,14.3
2016,data.Number,data.Alberta,data.Apparent opioid toxicity deaths,48,602.0
2017,"data.Rate per 100,000 population",data.Alberta,data.Apparent opioid toxicity deaths,48,17.5
2017,data.Number,data.Alberta,data.Apparent opioid toxicity deaths,48,744.0
2018,"data.Rate per 100,000 population",data.Alberta,data.Apparent opioid toxicity deaths,48,18.7
2018,data.Number,data.Alberta,data.Apparent opioid toxicity deaths,48,805.0
