Year,Geography,Value
2015,,0.314
2016,,0.306
2017,,0.31
2018,,0.303
2019,,0.299
2015,Newfoundland and Labrador,0.314
2016,Newfoundland and Labrador,0.301
2017,Newfoundland and Labrador,0.307
2018,Newfoundland and Labrador,0.297
2019,Newfoundland and Labrador,0.299
2015,Prince Edward Island,0.279
2016,Prince Edward Island,0.269
2017,Prince Edward Island,0.279
2018,Prince Edward Island,0.279
2019,Prince Edward Island,0.26
2015,Nova Scotia,0.298
2016,Nova Scotia,0.297
2017,Nova Scotia,0.294
2018,Nova Scotia,0.286
2019,Nova Scotia,0.279
2015,New Brunswick,0.273
2016,New Brunswick,0.278
2017,New Brunswick,0.276
2018,New Brunswick,0.281
2019,New Brunswick,0.27
2015,Quebec,0.285
2016,Quebec,0.284
2017,Quebec,0.288
2018,Quebec,0.283
2019,Quebec,0.282
2015,Ontario,0.318
2016,Ontario,0.32
2017,Ontario,0.322
2018,Ontario,0.311
2019,Ontario,0.306
2015,Manitoba,0.3
2016,Manitoba,0.29
2017,Manitoba,0.303
2018,Manitoba,0.291
2019,Manitoba,0.29
2015,Saskatchewan,0.303
2016,Saskatchewan,0.29
2017,Saskatchewan,0.304
2018,Saskatchewan,0.29
2019,Saskatchewan,0.292
2015,Alberta,0.324
2016,Alberta,0.297
2017,Alberta,0.296
2018,Alberta,0.299
2019,Alberta,0.293
2015,British Columbia,0.312
2016,British Columbia,0.296
2017,British Columbia,0.302
2018,British Columbia,0.3
2019,British Columbia,0.302
