Year,Geography,GeoCode,Value
2014/2015,,,85.46
2015/2016,,,87.93
2016/2017,,,86.96
2017/2018,,,83.88
2018/2019,,,79.57
2019/2020,,,78.66
2014/2015,Newfoundland and Labrador,10,71.93
2015/2016,Newfoundland and Labrador,10,82.11
2016/2017,Newfoundland and Labrador,10,78.56
2017/2018,Newfoundland and Labrador,10,78.18
2018/2019,Newfoundland and Labrador,10,76.74
2019/2020,Newfoundland and Labrador,10,70.31
2014/2015,Prince Edward Island,11,89.03
2015/2016,Prince Edward Island,11,70.68
2016/2017,Prince Edward Island,11,65.64
2017/2018,Prince Edward Island,11,72.38
2018/2019,Prince Edward Island,11,81.76
2019/2020,Prince Edward Island,11,88.07
2014/2015,Nova Scotia,12,64.97
2015/2016,Nova Scotia,12,61.94
2016/2017,Nova Scotia,12,62.19
2017/2018,Nova Scotia,12,59.78
2018/2019,Nova Scotia,12,58.9
2019/2020,Nova Scotia,12,52.88
2014/2015,New Brunswick,13,65.86
2015/2016,New Brunswick,13,71.25
2016/2017,New Brunswick,13,72.04
2017/2018,New Brunswick,13,74.78
2018/2019,New Brunswick,13,73.73
2019/2020,New Brunswick,13,74.75
2014/2015,Quebec,24,77.38
2015/2016,Quebec,24,75.74
2016/2017,Quebec,24,74.71
2017/2018,Quebec,24,71.68
2018/2019,Quebec,24,65.82
2019/2020,Quebec,24,62.96
2014/2015,Ontario,35,70.77
2015/2016,Ontario,35,71.6
2016/2017,Ontario,35,68.19
2017/2018,Ontario,35,65.91
2018/2019,Ontario,35,64.36
2019/2020,Ontario,35,68.81
2014/2015,Manitoba,46,240.88
2015/2016,Manitoba,46,241.74
2016/2017,Manitoba,46,240.36
2017/2018,Manitoba,46,232.73
2018/2019,Manitoba,46,201.03
2019/2020,Manitoba,46,203.37
2014/2015,Saskatchewan,47,196.23
2015/2016,Saskatchewan,47,207.16
2016/2017,Saskatchewan,47,214.17
2017/2018,Saskatchewan,47,212.95
2018/2019,Saskatchewan,47,215.17
2019/2020,Saskatchewan,47,216.26
2014/2015,Alberta,48,102.31
2015/2016,Alberta,48,112.29
2016/2017,Alberta,48,115.46
2017/2018,Alberta,48,112.49
2018/2019,Alberta,48,108.15
2019/2020,Alberta,48,100.72
2014/2015,British Columbia,59,63.12
2015/2016,British Columbia,59,68.81
2016/2017,British Columbia,59,69.91
2017/2018,British Columbia,59,64.56
2018/2019,British Columbia,59,58.61
2019/2020,British Columbia,59,53.05
2014/2015,Yukon,60,258.9
2015/2016,Yukon,60,316.78
2016/2017,Yukon,60,273.13
2017/2018,Yukon,60,186.41
2018/2019,Yukon,60,205.85
2019/2020,Yukon,60,148.88
2014/2015,Northwest Territories,61,528.66
2015/2016,Northwest Territories,61,568.39
2016/2017,Northwest Territories,61,546.61
2017/2018,Northwest Territories,61,517.24
2018/2019,Northwest Territories,61,533.77
2019/2020,Northwest Territories,61,421.73
2014/2015,Nunavut,62,542.56
2015/2016,Nunavut,62,580.62
2016/2017,Nunavut,62,578.87
2017/2018,Nunavut,62,642.41
2018/2019,Nunavut,62,667.42
2019/2020,Nunavut,62,615.2
