Year,data.Geography,Value
2014/2015,,85.46
2015/2016,,87.93
2016/2017,,86.96
2017/2018,,83.88
2018/2019,,79.57
2014/2015,data.Newfoundland and Labrador,71.93
2015/2016,data.Newfoundland and Labrador,82.11
2016/2017,data.Newfoundland and Labrador,78.56
2017/2018,data.Newfoundland and Labrador,78.18
2018/2019,data.Newfoundland and Labrador,76.74
2014/2015,data.Prince Edward Island,89.03
2015/2016,data.Prince Edward Island,70.68
2016/2017,data.Prince Edward Island,65.64
2017/2018,data.Prince Edward Island,72.38
2018/2019,data.Prince Edward Island,81.76
2014/2015,data.Nova Scotia,64.97
2015/2016,data.Nova Scotia,61.94
2016/2017,data.Nova Scotia,62.19
2017/2018,data.Nova Scotia,59.78
2018/2019,data.Nova Scotia,58.9
2014/2015,data.New Brunswick,65.86
2015/2016,data.New Brunswick,71.25
2016/2017,data.New Brunswick,72.04
2017/2018,data.New Brunswick,74.78
2018/2019,data.New Brunswick,73.73
2014/2015,data.Quebec,77.38
2015/2016,data.Quebec,75.74
2016/2017,data.Quebec,74.71
2017/2018,data.Quebec,71.68
2018/2019,data.Quebec,65.82
2014/2015,data.Ontario,70.77
2015/2016,data.Ontario,71.6
2016/2017,data.Ontario,68.19
2017/2018,data.Ontario,65.91
2018/2019,data.Ontario,64.36
2014/2015,data.Manitoba,240.88
2015/2016,data.Manitoba,241.74
2016/2017,data.Manitoba,240.36
2017/2018,data.Manitoba,232.73
2018/2019,data.Manitoba,201.03
2014/2015,data.Saskatchewan,196.23
2015/2016,data.Saskatchewan,207.16
2016/2017,data.Saskatchewan,214.17
2017/2018,data.Saskatchewan,212.95
2018/2019,data.Saskatchewan,215.17
2014/2015,data.Alberta,102.31
2015/2016,data.Alberta,112.29
2016/2017,data.Alberta,115.46
2017/2018,data.Alberta,112.49
2018/2019,data.Alberta,108.15
2014/2015,data.British Columbia,63.12
2015/2016,data.British Columbia,68.81
2016/2017,data.British Columbia,69.91
2017/2018,data.British Columbia,64.56
2018/2019,data.British Columbia,58.61
2014/2015,data.Yukon,258.9
2015/2016,data.Yukon,316.78
2016/2017,data.Yukon,273.13
2017/2018,data.Yukon,186.41
2018/2019,data.Yukon,205.85
2014/2015,data.Northwest Territories,528.66
2015/2016,data.Northwest Territories,568.39
2016/2017,data.Northwest Territories,546.61
2017/2018,data.Northwest Territories,517.24
2018/2019,data.Northwest Territories,533.77
2014/2015,data.Nunavut,542.56
2015/2016,data.Nunavut,580.62
2016/2017,data.Nunavut,578.87
2017/2018,data.Nunavut,642.41
2018/2019,data.Nunavut,667.42
