Year,Population centres,Value
2016,,84.3
2016,First Nations reserves,
2016,Large population centres,98.9
2016,Medium population centres,91.1
2016,Rural areas,38.9
2016,Small population centres,84.4
2017,First Nations reserves,
2017,,84.1
2017,Large population centres,98.7
2017,Medium population centres,98.6
2017,Rural areas,37.2
2017,Small population centres,86.0
2018,First Nations reserves,31.3
2018,,85.7
2018,Large population centres,99.4
2018,Medium population centres,99.2
2018,Rural areas,40.8
2018,Small population centres,88.7
2019,First Nations reserves,34.8
2019,,87.4
2019,Large population centres,99.6
2019,Medium population centres,99.4
2019,Rural areas,45.6
2019,Small population centres,93.1
