Year,data.Geography,data.Age group,data.Sex,GeoCode,Value
2015,,,,,13.0
2016,,,,,13.0
2017,,,,,12.0
2018,,,,,12.0
2019,,,,,11.0
2020,,,,,14.0
2021,,,,,14.0
2022,,,,,11.0
2015,data.Canada,"data.Total, 15 to 29 years",data.Males,,13.0
2015,data.Canada,"data.Total, 15 to 29 years",data.Females,,13.0
2015,data.Canada,data.15 to 19 years,data.Both sexes,,7.0
2015,data.Canada,data.15 to 19 years,data.Males,,7.0
2015,data.Canada,data.15 to 19 years,data.Females,,6.0
2015,data.Canada,data.15 to 24 years,data.Both sexes,,11.0
2015,data.Canada,data.15 to 24 years,data.Males,,11.0
2015,data.Canada,data.15 to 24 years,data.Females,,10.0
2015,data.Canada,data.18 to 24 years,data.Both sexes,,13.0
2015,data.Canada,data.18 to 24 years,data.Males,,14.0
2015,data.Canada,data.18 to 24 years,data.Females,,12.0
2015,data.Canada,data.20 to 24 years,data.Both sexes,,14.0
2015,data.Canada,data.20 to 24 years,data.Males,,15.0
2015,data.Canada,data.20 to 24 years,data.Females,,13.0
2015,data.Canada,data.25 to 29 years,data.Both sexes,,18.0
2015,data.Canada,data.25 to 29 years,data.Males,,17.0
2015,data.Canada,data.25 to 29 years,data.Females,,19.0
2015,data.Newfoundland and Labrador,"data.Total, 15 to 29 years",data.Both sexes,10,17.0
2015,data.Newfoundland and Labrador,"data.Total, 15 to 29 years",data.Males,10,19.0
2015,data.Newfoundland and Labrador,"data.Total, 15 to 29 years",data.Females,10,15.0
2015,data.Newfoundland and Labrador,data.15 to 19 years,data.Both sexes,10,7.0
2015,data.Newfoundland and Labrador,data.15 to 19 years,data.Males,10,9.0
2015,data.Newfoundland and Labrador,data.15 to 19 years,data.Females,10,6.0
2015,data.Newfoundland and Labrador,data.15 to 24 years,data.Both sexes,10,13.0
2015,data.Newfoundland and Labrador,data.15 to 24 years,data.Males,10,17.0
2015,data.Newfoundland and Labrador,data.15 to 24 years,data.Females,10,10.0
2015,data.Newfoundland and Labrador,data.18 to 24 years,data.Both sexes,10,18.0
2015,data.Newfoundland and Labrador,data.18 to 24 years,data.Males,10,23.0
2015,data.Newfoundland and Labrador,data.18 to 24 years,data.Females,10,12.0
2015,data.Newfoundland and Labrador,data.20 to 24 years,data.Both sexes,10,19.0
2015,data.Newfoundland and Labrador,data.20 to 24 years,data.Males,10,24.0
2015,data.Newfoundland and Labrador,data.20 to 24 years,data.Females,10,14.0
2015,data.Newfoundland and Labrador,data.25 to 29 years,data.Both sexes,10,24.0
2015,data.Newfoundland and Labrador,data.25 to 29 years,data.Males,10,25.0
2015,data.Newfoundland and Labrador,data.25 to 29 years,data.Females,10,24.0
2015,data.Prince Edward Island,"data.Total, 15 to 29 years",data.Both sexes,11,15.0
2015,data.Prince Edward Island,"data.Total, 15 to 29 years",data.Males,11,16.0
2015,data.Prince Edward Island,"data.Total, 15 to 29 years",data.Females,11,15.0
2015,data.Prince Edward Island,data.15 to 19 years,data.Both sexes,11,8.0
2015,data.Prince Edward Island,data.15 to 19 years,data.Males,11,8.0
2015,data.Prince Edward Island,data.15 to 19 years,data.Females,11,
2015,data.Prince Edward Island,data.15 to 24 years,data.Both sexes,11,13.0
2015,data.Prince Edward Island,data.15 to 24 years,data.Males,11,15.0
2015,data.Prince Edward Island,data.15 to 24 years,data.Females,11,11.0
2015,data.Prince Edward Island,data.18 to 24 years,data.Both sexes,11,17.0
2015,data.Prince Edward Island,data.18 to 24 years,data.Males,11,21.0
2015,data.Prince Edward Island,data.18 to 24 years,data.Females,11,14.0
2015,data.Prince Edward Island,data.20 to 24 years,data.Both sexes,11,19.0
2015,data.Prince Edward Island,data.20 to 24 years,data.Males,11,22.0
2015,data.Prince Edward Island,data.20 to 24 years,data.Females,11,15.0
2015,data.Prince Edward Island,data.25 to 29 years,data.Both sexes,11,19.0
2015,data.Prince Edward Island,data.25 to 29 years,data.Males,11,17.0
2015,data.Prince Edward Island,data.25 to 29 years,data.Females,11,22.0
2015,data.Nova Scotia,"data.Total, 15 to 29 years",data.Both sexes,12,13.0
2015,data.Nova Scotia,"data.Total, 15 to 29 years",data.Males,12,14.0
