Year,Géographie,Centres de population,GeoCode,Value
2016,,,,84.3
2017,,,,84.1
2018,,,,85.5
2019,,,,87.4
2020,,,,89.7
2021,,,,91.4
2022,,,,93.1
2016,Canada,Réserves des Premières Nations,,27.3
2017,Canada,Réserves des Premières Nations,,27.7
2018,Canada,Réserves des Premières Nations,,31.3
2019,Canada,Réserves des Premières Nations,,34.8
2020,Canada,Réserves des Premières Nations,,39.1
2021,Canada,Réserves des Premières Nations,,43.3
2022,Canada,Réserves des Premières Nations,,50.1
2016,Canada,Réserves des Premières Nations Régions urbaines,,73.0
2017,Canada,Réserves des Premières Nations Régions urbaines,,73.0
2018,Canada,Réserves des Premières Nations Régions urbaines,,75.6
2019,Canada,Réserves des Premières Nations Régions urbaines,,80.7
2020,Canada,Réserves des Premières Nations Régions urbaines,,84.2
2021,Canada,Réserves des Premières Nations Régions urbaines,,81.8
2022,Canada,Réserves des Premières Nations Régions urbaines,,81.7
2016,Canada,Réserves des Premières Nations Régions rurales,,14.2
2017,Canada,Réserves des Premières Nations Régions rurales,,14.8
2018,Canada,Réserves des Premières Nations Régions rurales,,18.7
2019,Canada,Réserves des Premières Nations Régions rurales,,21.7
2020,Canada,Réserves des Premières Nations Régions rurales,,26.2
2021,Canada,Réserves des Premières Nations Régions rurales,,32.3
2022,Canada,Réserves des Premières Nations Régions rurales,,37.8
2016,Canada,Régions urbaines,,96.4
2017,Canada,Régions urbaines,,96.6
2018,Canada,Régions urbaines,,97.4
2019,Canada,Régions urbaines,,98.6
2020,Canada,Régions urbaines,,99.2
2021,Canada,Régions urbaines,,99.2
2022,Canada,Régions urbaines,,99.4
2016,Canada,Régions rurales,,38.9
2017,Canada,Régions rurales,,37.2
2018,Canada,Régions rurales,,40.7
2019,Canada,Régions rurales,,45.6
2020,Canada,Régions rurales,,54.4
2021,Canada,Régions rurales,,62.0
2022,Canada,Régions rurales,,67.4
2016,Colombie-Britannique,Réserves des Premières Nations,59,60.01
2017,Colombie-Britannique,Réserves des Premières Nations,59,62.13
2018,Colombie-Britannique,Réserves des Premières Nations,59,66.68
2019,Colombie-Britannique,Réserves des Premières Nations,59,68.32
2020,Colombie-Britannique,Réserves des Premières Nations,59,70.73
2021,Colombie-Britannique,Réserves des Premières Nations,59,71.52
2022,Colombie-Britannique,Réserves des Premières Nations,59,74.82
2016,Alberta,Réserves des Premières Nations,48,1.13
2017,Alberta,Réserves des Premières Nations,48,0.3
2018,Alberta,Réserves des Premières Nations,48,12.02
2019,Alberta,Réserves des Premières Nations,48,19.6
2020,Alberta,Réserves des Premières Nations,48,17.13
2021,Alberta,Réserves des Premières Nations,48,26.91
2022,Alberta,Réserves des Premières Nations,48,29.74
2016,Saskatchewan,Réserves des Premières Nations,47,
2017,Saskatchewan,Réserves des Premières Nations,47,
2018,Saskatchewan,Réserves des Premières Nations,47,
2019,Saskatchewan,Réserves des Premières Nations,47,1.65
2020,Saskatchewan,Réserves des Premières Nations,47,4.04
2021,Saskatchewan,Réserves des Premières Nations,47,10.05
2022,Saskatchewan,Réserves des Premières Nations,47,10.65
2016,Manitoba,Réserves des Premières Nations,46,2.29
2017,Manitoba,Réserves des Premières Nations,46,1.48
2018,Manitoba,Réserves des Premières Nations,46,1.82
2019,Manitoba,Réserves des Premières Nations,46,2.04
2020,Manitoba,Réserves des Premières Nations,46,4.27
2021,Manitoba,Réserves des Premières Nations,46,14.58
2022,Manitoba,Réserves des Premières Nations,46,24.04
2016,Ontario,Réserves des Premières Nations,35,18.03
2017,Ontario,Réserves des Premières Nations,35,14.79
2018,Ontario,Réserves des Premières Nations,35,16.98
2019,Ontario,Réserves des Premières Nations,35,16.11
2020,Ontario,Réserves des Premières Nations,35,27.87
2021,Ontario,Réserves des Premières Nations,35,33.41
2022,Ontario,Réserves des Premières Nations,35,34.9
2016,Québec,Réserves des Premières Nations,24,31.79
2017,Québec,Réserves des Premières Nations,24,38.35
2018,Québec,Réserves des Premières Nations,24,44.72
2019,Québec,Réserves des Premières Nations,24,62.76
2020,Québec,Réserves des Premières Nations,24,65.75
2021,Québec,Réserves des Premières Nations,24,66.7
2022,Québec,Réserves des Premières Nations,24,81.98
2016,Nouveau-Brunswick,Réserves des Premières Nations,13,87.8
2017,Nouveau-Brunswick,Réserves des Premières Nations,13,87.18
2018,Nouveau-Brunswick,Réserves des Premières Nations,13,87.18
2019,Nouveau-Brunswick,Réserves des Premières Nations,13,92.89
2020,Nouveau-Brunswick,Réserves des Premières Nations,13,97.35
2021,Nouveau-Brunswick,Réserves des Premières Nations,13,95.77
2022,Nouveau-Brunswick,Réserves des Premières Nations,13,96.25
2016,Île-du-Prince-Édouard,Réserves des Premières Nations,11,29.72
2017,Île-du-Prince-Édouard,Réserves des Premières Nations,11,29.74
2018,Île-du-Prince-Édouard,Réserves des Premières Nations,11,29.74
2019,Île-du-Prince-Édouard,Réserves des Premières Nations,11,30.43
2020,Île-du-Prince-Édouard,Réserves des Premières Nations,11,50.38
2021,Île-du-Prince-Édouard,Réserves des Premières Nations,11,97.61
2022,Île-du-Prince-Édouard,Réserves des Premières Nations,11,97.99
2016,Nouvelle-Écosse,Réserves des Premières Nations,12,45.03
2017,Nouvelle-Écosse,Réserves des Premières Nations,12,43.92
2018,Nouvelle-Écosse,Réserves des Premières Nations,12,43.92
2019,Nouvelle-Écosse,Réserves des Premières Nations,12,44.14
2020,Nouvelle-Écosse,Réserves des Premières Nations,12,67.68
2021,Nouvelle-Écosse,Réserves des Premières Nations,12,44.87
2022,Nouvelle-Écosse,Réserves des Premières Nations,12,79.31
2016,Terre-Neuve-et-Labrador,Réserves des Premières Nations,10,26.74
2017,Terre-Neuve-et-Labrador,Réserves des Premières Nations,10,24.4
2018,Terre-Neuve-et-Labrador,Réserves des Premières Nations,10,
2019,Terre-Neuve-et-Labrador,Réserves des Premières Nations,10,
2020,Terre-Neuve-et-Labrador,Réserves des Premières Nations,10,
2021,Terre-Neuve-et-Labrador,Réserves des Premières Nations,10,25.92
