Year,Géographie,Value
2015,,0.314
2016,,0.306
2017,,0.31
2018,,0.303
2019,,0.299
2015,Terre-Neuve-et-Labrador,0.314
2016,Terre-Neuve-et-Labrador,0.301
2017,Terre-Neuve-et-Labrador,0.307
2018,Terre-Neuve-et-Labrador,0.297
2019,Terre-Neuve-et-Labrador,0.299
2015,Île-du-Prince-Édouard,0.279
2016,Île-du-Prince-Édouard,0.269
2017,Île-du-Prince-Édouard,0.279
2018,Île-du-Prince-Édouard,0.279
2019,Île-du-Prince-Édouard,0.26
2015,Nouvelle-Écosse,0.298
2016,Nouvelle-Écosse,0.297
2017,Nouvelle-Écosse,0.294
2018,Nouvelle-Écosse,0.286
2019,Nouvelle-Écosse,0.279
2015,Nouveau-Brunswick,0.273
2016,Nouveau-Brunswick,0.278
2017,Nouveau-Brunswick,0.276
2018,Nouveau-Brunswick,0.281
2019,Nouveau-Brunswick,0.27
2015,Québec,0.285
2016,Québec,0.284
2017,Québec,0.288
2018,Québec,0.283
2019,Québec,0.282
2015,Ontario,0.318
2016,Ontario,0.32
2017,Ontario,0.322
2018,Ontario,0.311
2019,Ontario,0.306
2015,Manitoba,0.3
2016,Manitoba,0.29
2017,Manitoba,0.303
2018,Manitoba,0.291
2019,Manitoba,0.29
2015,Saskatchewan,0.303
2016,Saskatchewan,0.29
2017,Saskatchewan,0.304
2018,Saskatchewan,0.29
2019,Saskatchewan,0.292
2015,Alberta,0.324
2016,Alberta,0.297
2017,Alberta,0.296
2018,Alberta,0.299
2019,Alberta,0.293
2015,Colombie-Britannique,0.312
2016,Colombie-Britannique,0.296
2017,Colombie-Britannique,0.302
2018,Colombie-Britannique,0.3
2019,Colombie-Britannique,0.302
