Year,Géographie,GeoCode,Value
2016,,,3.6
2018,,,4.5
2016,Terre-Neuve-et-Labrador,10,27.3
2018,Terre-Neuve-et-Labrador,10,20.6
2016,Île-du-Prince-Édouard,11,0.0
2018,Île-du-Prince-Édouard,11,0.0
2016,Nouvelle-Écosse,12,1.4
2018,Nouvelle-Écosse,12,3.4
2016,Nouveau-Brunswick,13,2.4
2018,Nouveau-Brunswick,13,3.6
2016,Québec,24,5.7
2018,Québec,24,6.5
2016,Ontario,35,0.7
2018,Ontario,35,0.6
2016,Manitoba,46,0.0
2018,Manitoba,46,2.7
2016,Saskatchewan,47,6.3
2018,Saskatchewan,47,5.9
2016,Alberta,48,0.0
2018,Alberta,48,0.9
2016,Colombie-Britannique,59,4.3
2018,Colombie-Britannique,59,3.9
2016,Yukon,60,0.0
2018,Yukon,60,0.0
2016,Territoires du Nord-Ouest,61,0.0
2018,Territoires du Nord-Ouest,61,0.0
2016,Nunavut,62,0.0
2018,Nunavut,62,0.0
