Year,Région,Biens et services (produits),Value
2015,,,1003.855
2015,Toutes les régions,Produits environnementaux,663.88
2015,Toutes les régions,Produits de technologies propres,339.977
2016,,,930.2
2016,Toutes les régions,Produits environnementaux,616.125
2016,Toutes les régions,Produits de technologies propres,314.07
2017,,,1026.533
2017,Toutes les régions,Produits environnementaux,718.013
2017,Toutes les régions,Produits de technologies propres,308.525
2018,,,977.25
2018,Toutes les régions,Produits environnementaux,647.58
2018,Toutes les régions,Produits de technologies propres,329.674
2019,,,1121.822
2019,Toutes les régions,Produits environnementaux,586.709
2019,Toutes les régions,Produits de technologies propres,535.114
2020,,,1050.244
2020,Toutes les régions,Produits environnementaux,500.825
2020,Toutes les régions,Produits de technologies propres,549.419
2021,,,1139.218
2021,Toutes les régions,Produits environnementaux,540.781
2021,Toutes les régions,Produits de technologies propres,598.436
2022,,,1340.725
2022,Toutes les régions,Produits environnementaux,804.454
2022,Toutes les régions,Produits de technologies propres,536.267
2023,,,1410.165
2023,Toutes les régions,Produits environnementaux,914.588
2023,Toutes les régions,Produits de technologies propres,495.578
2015,Europe,Produits environnementaux et de technologies propres,1.947
2015,Europe,Produits environnementaux,0.0
2015,Europe,Produits de technologies propres,1.947
2015,Amérique du Nord,Produits environnementaux et de technologies propres,47.027
2015,Amérique du Nord,Produits environnementaux,0.866
2015,Amérique du Nord,Produits de technologies propres,46.161
2015,Afrique,Produits environnementaux et de technologies propres,54.396
2015,Afrique,Produits environnementaux,16.184
2015,Afrique,Produits de technologies propres,38.215
2015,Amérique du Sud,Produits environnementaux et de technologies propres,59.309
2015,Amérique du Sud,Produits environnementaux,2.093
2015,Amérique du Sud,Produits de technologies propres,57.215
2015,Amérique Centrale,Produits environnementaux et de technologies propres,7.706
2015,Amérique Centrale,Produits environnementaux,1.218
2015,Amérique Centrale,Produits de technologies propres,6.488
2015,Antilles,Produits environnementaux et de technologies propres,16.134
2015,Antilles,Produits environnementaux,1.543
2015,Antilles,Produits de technologies propres,14.593
2015,Moyen-Orient,Produits environnementaux et de technologies propres,8.263
2015,Moyen-Orient,Produits environnementaux,0.05
2015,Moyen-Orient,Produits de technologies propres,8.213
2015,Océanie,Produits environnementaux et de technologies propres,1.736
2015,Océanie,Produits environnementaux,0.001
2015,Océanie,Produits de technologies propres,1.735
2015,Asie,Produits environnementaux et de technologies propres,807.337
2015,Asie,Produits environnementaux,641.925
2015,Asie,Produits de technologies propres,165.41
2016,Europe,Produits environnementaux et de technologies propres,1.677
2016,Europe,Produits environnementaux,0.015
2016,Europe,Produits de technologies propres,1.661
2016,Amérique du Nord,Produits environnementaux et de technologies propres,44.726
2016,Amérique du Nord,Produits environnementaux,1.819
2016,Amérique du Nord,Produits de technologies propres,42.907
2016,Afrique,Produits environnementaux et de technologies propres,61.197
2016,Afrique,Produits environnementaux,3.641
2016,Afrique,Produits de technologies propres,57.554
2016,Amérique du Sud,Produits environnementaux et de technologies propres,37.531
2016,Amérique du Sud,Produits environnementaux,0.796
2016,Amérique du Sud,Produits de technologies propres,36.735
2016,Amérique Centrale,Produits environnementaux et de technologies propres,3.391
2016,Amérique Centrale,Produits environnementaux,0.003
