Year,Series,Units,Value
2016,Nombre d'usagers des refuges en situation d'itinérance chronique,Nombre,26866.0
2017,Nombre d'usagers des refuges en situation d'itinérance chronique,Nombre,28900.0
2018,Nombre d'usagers des refuges en situation d'itinérance chronique,Nombre,27289.0
2019,Nombre d'usagers des refuges en situation d'itinérance chronique,Nombre,29927.0
2020,Nombre d'usagers des refuges en situation d'itinérance chronique,Nombre,28004.0
2021,Nombre d'usagers des refuges en situation d'itinérance chronique,Nombre,28631.0
2022,Nombre d'usagers des refuges en situation d'itinérance chronique,Nombre,31476.0
2023,Nombre d'usagers des refuges en situation d'itinérance chronique,Nombre,32660.0
2024,Nombre d'usagers des refuges en situation d'itinérance chronique,Nombre,36058.0
2017,Changement en pourcentage du nombre d'usagers des refuges en situation d'itinérance chronique par rapport au niveau de référence de 2016,Changement en pourcentage comparé à 2016,7.57
2018,Changement en pourcentage du nombre d'usagers des refuges en situation d'itinérance chronique par rapport au niveau de référence de 2016,Changement en pourcentage comparé à 2016,1.57
2019,Changement en pourcentage du nombre d'usagers des refuges en situation d'itinérance chronique par rapport au niveau de référence de 2016,Changement en pourcentage comparé à 2016,11.39
2020,Changement en pourcentage du nombre d'usagers des refuges en situation d'itinérance chronique par rapport au niveau de référence de 2016,Changement en pourcentage comparé à 2016,4.24
2021,Changement en pourcentage du nombre d'usagers des refuges en situation d'itinérance chronique par rapport au niveau de référence de 2016,Changement en pourcentage comparé à 2016,6.57
2022,Changement en pourcentage du nombre d'usagers des refuges en situation d'itinérance chronique par rapport au niveau de référence de 2016,Changement en pourcentage comparé à 2016,17.16
2023,Changement en pourcentage du nombre d'usagers des refuges en situation d'itinérance chronique par rapport au niveau de référence de 2016,Changement en pourcentage comparé à 2016,21.57
2024,Changement en pourcentage du nombre d'usagers des refuges en situation d'itinérance chronique par rapport au niveau de référence de 2016,Changement en pourcentage comparé à 2016,34.21
