Year,Géographie,Groupe d'âge et type de famille,Statistiques,GeoCode,Value
1999,,,,,63.6
2005,,,,,65.1
2012,,,,,65.3
2016,,,,,66.6
2019,,,,,67.1
1999,Canada,Personnes de tous âge et types de familles,data.Persons who are asset resilient for at least one month,,74.5
1999,Canada,Personnes de tous âge et types de familles,data.Persons who are asset resilient for at least six months,,54.5
1999,Canada,Personnes de moins de 18 ans,data.Persons who are asset resilient for at least one month,,67.8
1999,Canada,Personnes de moins de 18 ans,data.Persons who are asset resilient for at least three months,,55.7
1999,Canada,Personnes de moins de 18 ans,data.Persons who are asset resilient for at least six months,,45.5
1999,Canada,Personnes de 18 à 64 ans,data.Persons who are asset resilient for at least one month,,75.3
1999,Canada,Personnes de 18 à 64 ans,data.Persons who are asset resilient for at least three months,,64.0
1999,Canada,Personnes de 18 à 64 ans,data.Persons who are asset resilient for at least six months,,55.0
1999,Canada,Personnes de 65 ans et plus,data.Persons who are asset resilient for at least one month,,83.7
1999,Canada,Personnes de 65 ans et plus,data.Persons who are asset resilient for at least three months,,76.6
1999,Canada,Personnes de 65 ans et plus,data.Persons who are asset resilient for at least six months,,69.9
1999,Canada,Personnes dans une famille économique,data.Persons who are asset resilient for at least one month,,75.4
1999,Canada,Personnes dans une famille économique,data.Persons who are asset resilient for at least three months,,64.6
1999,Canada,Personnes dans une famille économique,data.Persons who are asset resilient for at least six months,,55.4
1999,Canada,Personnes dans une famille ayant un couple seulement,data.Persons who are asset resilient for at least one month,,83.8
1999,Canada,Personnes dans une famille ayant un couple seulement,data.Persons who are asset resilient for at least three months,,76.4
1999,Canada,Personnes dans une famille ayant un couple seulement,data.Persons who are asset resilient for at least six months,,69.2
1999,Canada,Personnes dans une famille ayant un couple avec enfant,data.Persons who are asset resilient for at least one month,,74.8
1999,Canada,Personnes dans une famille ayant un couple avec enfant,data.Persons who are asset resilient for at least three months,,61.7
1999,Canada,Personnes dans une famille ayant un couple avec enfant,data.Persons who are asset resilient for at least six months,,50.6
1999,Canada,Personnes dans une famille monoparentale,data.Persons who are asset resilient for at least one month,,39.7
1999,Canada,Personnes dans une famille monoparentale,data.Persons who are asset resilient for at least three months,,30.1
1999,Canada,Personnes dans une famille monoparentale,data.Persons who are asset resilient for at least six months,,24.1
1999,Canada,Personnes dans un autre type de famille économique,data.Persons who are asset resilient for at least one month,,80.1
1999,Canada,Personnes dans un autre type de famille économique,data.Persons who are asset resilient for at least three months,,70.6
1999,Canada,Personnes dans un autre type de famille économique,data.Persons who are asset resilient for at least six months,,63.0
1999,Canada,Personnes hors famille économique,data.Persons who are asset resilient for at least one month,,69.0
1999,Canada,Personnes hors famille économique,data.Persons who are asset resilient for at least three months,,56.9
1999,Canada,Personnes hors famille économique,data.Persons who are asset resilient for at least six months,,48.6
1999,Terre-Neuve-et-Labrador,Personnes de tous âge et types de familles,data.Persons who are asset resilient for at least one month,10,56.8
1999,Terre-Neuve-et-Labrador,Personnes de tous âge et types de familles,data.Persons who are asset resilient for at least three months,10,42.7
